seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state,label
0.0,1.0,12299,97807,29400,51882,221145,20130,133805,68859,192363,87977,133110,58086,12218,80840,5863,1459,60163,29697,104834,253160,177585,21659,349753,8677,29166,263626,42944,53734,286258,39682,408468,242229,2022-11-15T14:39:25.526000-05:00,25.06,37.55,100360_9606_705204,20221115_1439_agritech_batch2bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,0176597f-033e-4bbb-8989-23a20e3e8522,baseline,fresh
1.0,1.0,12301,97854,29425,51885,221342,20127,133904,68815,192360,87976,133074,58097,12217,80912,5862,1457,60159,29689,105012,253092,177413,21649,349646,8667,29169,263670,42971,53732,286136,39649,408162,242316,2022-11-15T14:39:26.526000-05:00,25.079154639175258,37.54042268041237,100360_9606_705204,20221115_1439_agritech_batch2bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,0176597f-033e-4bbb-8989-23a20e3e8522,baseline,fresh
2.0,1.0,12300,97831,29425,51857,221335,20130,133794,68833,192354,87961,133092,58126,12214,80938,5861,1456,60121,29692,105155,253127,177276,21671,349535,8670,29167,263605,42961,53738,285945,39617,408250,242234,2022-11-15T14:39:27.526000-05:00,25.05926804123711,37.54853608247422,100360_9606_705204,20221115_1439_agritech_batch2bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,0176597f-033e-4bbb-8989-23a20e3e8522,baseline,fresh
3.0,1.0,12297,97798,29393,51850,221288,20125,133604,68866,192451,87966,133078,58129,12216,80899,5859,1457,60112,29689,105170,253223,177302,21675,349635,8670,29162,263678,42960,53725,286143,39651,408398,242252,2022-11-15T14:39:28.526000-05:00,25.045830753353975,37.53104231166151,100360_9606_705204,20221115_1439_agritech_batch2bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,0176597f-033e-4bbb-8989-23a20e3e8522,baseline,fresh
4.0,1.0,12298,97798,29420,51868,221306,20121,133740,68875,192422,87974,133099,58102,12215,80881,5860,1458,60098,29692,105093,253199,177540,21676,349601,8665,29177,263711,42957,53693,286045,39620,408066,242272,2022-11-15T14:39:29.526000-05:00,25.016875000000002,37.53725,100360_9606_705204,20221115_1439_agritech_batch2bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,0176597f-033e-4bbb-8989-23a20e3e8522,baseline,fresh
5.0,1.0,12298,97802,29412,51861,221218,20127,133745,68833,192434,87972,133055,58052,12217,80812,5857,1457,60132,29704,105169,253056,177578,21669,349823,8655,29183,263719,42952,53671,285963,39618,407978,242181,2022-11-15T14:39:30.526000-05:00,25.056449948400413,37.52,100360_9606_705204,20221115_1439_agritech_batch2bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,0176597f-033e-4bbb-8989-23a20e3e8522,baseline,fresh
6.0,1.0,12299,97824,29393,51832,221197,20128,133750,68866,192441,87999,133036,58084,12217,80817,5860,1457,60109,29700,104938,253137,177441,21661,349823,8655,29180,263756,42953,53693,286059,39624,408342,242149,2022-11-15T14:39:31.526000-05:00,25.042092783505154,37.52,100360_9606_705204,20221115_1439_agritech_batch2bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,0176597f-033e-4bbb-8989-23a20e3e8522,baseline,fresh
7.0,1.0,12300,97823,29404,51837,221243,20125,133652,68849,192364,88001,132999,58080,12214,80950,5861,1458,60096,29702,104956,253204,177524,21649,349824,8654,29182,263628,42944,53681,286039,39596,408308,242131,2022-11-15T14:39:32.526000-05:00,25.05240206185567,37.52,100360_9606_705204,20221115_1439_agritech_batch2bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,0176597f-033e-4bbb-8989-23a20e3e8522,baseline,fresh
8.0,1.0,12301,97802,29436,51821,221336,20126,133552,68853,192421,87994,132981,58102,12215,80902,5858,1455,60158,29703,105128,253195,177652,21667,349837,8650,29175,263599,42951,53688,285911,39594,408326,242205,2022-11-15T14:39:33.526000-05:00,25.06,37.51727178423236,100360_9606_705204,20221115_1439_agritech_batch2bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,0176597f-033e-4bbb-8989-23a20e3e8522,baseline,fresh
9.0,1.0,12300,97755,29439,51812,221255,20130,133616,68841,192399,87994,132994,58092,12214,80892,5857,1454,60160,29692,105258,253190,177782,21672,349712,8647,29183,263635,42957,53705,285973,39581,408479,242268,2022-11-15T14:39:34.526000-05:00,25.063085655314758,37.50691434468524,100360_9606_705204,20221115_1439_agritech_batch2bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,0176597f-033e-4bbb-8989-23a20e3e8522,baseline,fresh
10.0,1.0,12300,97756,29405,51820,221144,20130,133397,68827,192396,88011,133032,58097,12215,80957,5853,1455,60171,29684,105195,253244,177640,21672,349899,8642,29173,263568,42939,53684,286003,39563,408492,242214,2022-11-15T14:39:35.526000-05:00,25.05298969072165,37.49659793814433,100360_9606_705204,20221115_1439_agritech_batch2bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,0176597f-033e-4bbb-8989-23a20e3e8522,baseline,fresh
11.0,1.0,12297,97767,29402,51793,221104,20128,133460,68852,192403,88010,132982,58117,12216,80898,5853,1456,60136,29688,105215,253254,177585,21674,349879,8639,29176,263561,42933,53672,285881,39552,408311,242320,2022-11-15T14:39:36.526000-05:00,25.031134020618556,37.49,100360_9606_705204,20221115_1439_agritech_batch2bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,0176597f-033e-4bbb-8989-23a20e3e8522,baseline,fresh
12.0,1.0,12298,97736,29415,51793,221112,20125,133506,68877,192397,87988,132945,58093,12217,80924,5857,1456,60139,29690,105232,253241,177604,21672,349769,8635,29175,263508,42914,53646,285818,39539,408103,242332,2022-11-15T14:39:37.526000-05:00,25.05,37.49,100360_9606_705204,20221115_1439_agritech_batch2bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,0176597f-033e-4bbb-8989-23a20e3e8522,baseline,fresh
