seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state,label
0.0,1.0,12323,98866,29408,51751,221470,20181,133659,68969,192447,87943,137687,63416,12218,80362,5853,1460,60211,29708,104936,252953,178134,21650,350372,8518,29140,262369,42631,50668,296816,38168,409682,242569,2022-11-15T14:59:48.724000-05:00,24.91,36.63,100360_9606_705204,20221115_1459_agritech_batch2bfusmalljarfresh_4_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,779ac278-34fa-4820-b51b-9afe775a7a57,baseline,fresh
1.0,1.0,12324,98847,29418,51735,221505,20184,133322,68982,192618,87956,137684,63401,12220,80373,5855,1457,60167,29707,105176,252932,177736,21647,350269,8514,29146,262449,42618,50724,296810,38182,409875,242262,2022-11-15T14:59:49.724000-05:00,24.919680412371136,36.60031958762887,100360_9606_705204,20221115_1459_agritech_batch2bfusmalljarfresh_4_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,779ac278-34fa-4820-b51b-9afe775a7a57,baseline,fresh
2.0,1.0,12325,98841,29419,51739,221310,20184,133397,69038,192418,87960,137657,63448,12218,80417,5854,1457,60220,29692,105060,253039,177740,21649,350091,8510,29154,262484,42643,50711,296580,38135,409674,242344,2022-11-15T14:59:50.724000-05:00,24.909367219917012,36.60873443983402,100360_9606_705204,20221115_1459_agritech_batch2bfusmalljarfresh_4_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,779ac278-34fa-4820-b51b-9afe775a7a57,baseline,fresh
3.0,1.0,12326,98835,29408,51740,221394,20183,133496,69043,192488,87962,137683,63453,12217,80374,5851,1456,60207,29700,105149,253002,177794,21642,350191,8511,29144,262495,42628,50690,296869,38136,409804,242395,2022-11-15T14:59:51.724000-05:00,24.901010416666665,36.59,100360_9606_705204,20221115_1459_agritech_batch2bfusmalljarfresh_4_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,779ac278-34fa-4820-b51b-9afe775a7a57,baseline,fresh
4.0,1.0,12328,98860,29398,51742,221321,20186,133435,69047,192469,87970,137643,63426,12217,80321,5851,1453,60179,29701,105106,252932,177841,21639,350328,8512,29145,262524,42642,50703,296704,38152,409701,242356,2022-11-15T14:59:52.724000-05:00,24.911415289256198,36.591415289256204,100360_9606_705204,20221115_1459_agritech_batch2bfusmalljarfresh_4_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,779ac278-34fa-4820-b51b-9afe775a7a57,baseline,fresh
5.0,1.0,12324,98847,29436,51764,221332,20185,133367,69075,192477,87952,137702,63441,12219,80277,5851,1456,60205,29702,105055,252857,177657,21652,350287,8510,29158,262556,42626,50666,296548,38149,410069,242427,2022-11-15T14:59:53.724000-05:00,24.921740473738414,36.60174047373842,100360_9606_705204,20221115_1459_agritech_batch2bfusmalljarfresh_4_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,779ac278-34fa-4820-b51b-9afe775a7a57,baseline,fresh
6.0,1.0,12323,98869,29430,51752,221370,20184,133483,69034,192446,87941,137690,63428,12219,80334,5852,1457,60212,29701,105120,252781,177613,21640,350474,8506,29169,262613,42630,50679,296528,38127,410079,242467,2022-11-15T14:59:54.724000-05:00,24.9259133126935,36.60795665634675,100360_9606_705204,20221115_1459_agritech_batch2bfusmalljarfresh_4_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,779ac278-34fa-4820-b51b-9afe775a7a57,baseline,fresh
7.0,1.0,12326,98878,29428,51760,221419,20186,133632,69025,192464,87946,137629,63441,12219,80357,5850,1457,60207,29697,105131,252877,177935,21652,350509,8501,29136,262581,42628,50670,296451,38094,409945,242308,2022-11-15T14:59:55.724000-05:00,24.914726522187824,36.6,100360_9606_705204,20221115_1459_agritech_batch2bfusmalljarfresh_4_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,779ac278-34fa-4820-b51b-9afe775a7a57,baseline,fresh
8.0,1.0,12325,98902,29433,51708,221353,20191,133609,69010,192501,87956,137641,63417,12216,80343,5849,1454,60218,29694,105025,252938,177677,21646,350512,8495,29130,262567,42633,50673,296434,38102,409779,242345,2022-11-15T14:59:56.724000-05:00,24.924644696189496,36.59732234809475,100360_9606_705204,20221115_1459_agritech_batch2bfusmalljarfresh_4_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,779ac278-34fa-4820-b51b-9afe775a7a57,baseline,fresh
9.0,1.0,12324,98875,29431,51655,221513,20188,133380,69060,192507,87925,137666,63404,12219,80341,5849,1455,60254,29696,105238,252797,177827,21649,350466,8499,29123,262540,42634,50657,296548,38111,409637,242468,2022-11-15T14:59:57.724000-05:00,24.91,36.59,100360_9606_705204,20221115_1459_agritech_batch2bfusmalljarfresh_4_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,779ac278-34fa-4820-b51b-9afe775a7a57,baseline,fresh
10.0,1.0,12324,98884,29439,51664,221504,20194,133562,69061,192545,87920,137676,63410,12214,80364,5851,1455,60247,29700,105019,252878,177770,21656,350505,8497,29117,262633,42638,50658,296559,38104,409527,242345,2022-11-15T14:59:58.724000-05:00,24.91331606217617,36.59,100360_9606_705204,20221115_1459_agritech_batch2bfusmalljarfresh_4_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,779ac278-34fa-4820-b51b-9afe775a7a57,baseline,fresh
11.0,1.0,12326,98891,29439,51677,221410,20189,133709,69049,192598,87926,137685,63407,12216,80366,5848,1458,60250,29702,104882,252856,177773,21652,350488,8497,29114,262584,42641,50643,296457,38085,409489,242284,2022-11-15T14:59:59.724000-05:00,24.91634020618557,36.58634020618557,100360_9606_705204,20221115_1459_agritech_batch2bfusmalljarfresh_4_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,779ac278-34fa-4820-b51b-9afe775a7a57,baseline,fresh
12.0,1.0,12326,98882,29427,51703,221470,20191,133627,69023,192587,87935,137696,63391,12214,80360,5845,1458,60261,29707,104991,252864,177777,21651,350284,8495,29115,262507,42648,50626,296540,38090,409411,242389,2022-11-15T15:00:00.724000-05:00,24.91794633642931,36.58,100360_9606_705204,20221115_1459_agritech_batch2bfusmalljarfresh_4_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,779ac278-34fa-4820-b51b-9afe775a7a57,baseline,fresh
13.0,1.0,12327,98853,29425,51704,221471,20200,133558,68985,192545,87947,137686,63410,12217,80376,5847,1457,60260,29698,105047,252869,177797,21655,350367,8494,29106,262589,42641,50624,296743,38086,409276,242461,2022-11-15T15:00:01.724000-05:00,24.92142268041237,36.57571134020618,100360_9606_705204,20221115_1459_agritech_batch2bfusmalljarfresh_4_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,779ac278-34fa-4820-b51b-9afe775a7a57,baseline,fresh
14.0,1.0,12326,98848,29428,51673,221407,20197,133599,68977,192600,87942,137676,63417,12217,80364,5848,1456,60236,29705,104968,252804,177902,21656,350550,8493,29107,262578,42620,50617,296653,38083,409374,242460,2022-11-15T15:00:02.724000-05:00,24.90080412371134,36.57459793814433,100360_9606_705204,20221115_1459_agritech_batch2bfusmalljarfresh_4_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,779ac278-34fa-4820-b51b-9afe775a7a57,baseline,fresh
15.0,1.0,12328,98826,29437,51680,221372,20192,133453,69011,192644,87943,137640,63397,12216,80347,5848,1454,60237,29705,104913,252807,177745,21659,350551,8491,29119,262535,42627,50616,296504,38079,409419,242488,2022-11-15T15:00:03.724000-05:00,24.909649122807018,36.57017543859649,100360_9606_705204,20221115_1459_agritech_batch2bfusmalljarfresh_4_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,779ac278-34fa-4820-b51b-9afe775a7a57,baseline,fresh
16.0,1.0,12326,98833,29432,51711,221352,20187,133464,69025,192567,87938,137624,63387,12215,80358,5847,1456,60223,29699,105035,252771,177616,21667,350411,8490,29124,262597,42632,50601,296469,38067,409467,242523,2022-11-15T15:00:04.724000-05:00,24.919546391752576,36.56522680412371,100360_9606_705204,20221115_1459_agritech_batch2bfusmalljarfresh_4_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,779ac278-34fa-4820-b51b-9afe775a7a57,baseline,fresh
