seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state,label
0.0,1.0,12340,99305,29477,52500,221814,20201,132885,68834,192597,88288,139064,60114,12218,81213,5832,1458,60165,29657,105544,253391,177994,21671,351193,9164,29160,262955,42649,53003,292988,40228,409723,242888,2022-11-15T14:53:18.559000-05:00,25.07,38.38,100360_9606_705204,20221115_1453_agritech_batch2bfusmalljarmoldy_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,37b4cc57-2118-458e-ac6b-04d6fa1b18fc,baseline,moldy
1.0,1.0,12338,99270,29461,52466,221688,20207,132833,68834,192636,88305,139122,60098,12219,81068,5832,1457,60143,29638,105230,253488,178161,21675,351077,9157,29170,263091,42641,53011,292941,40262,409311,242806,2022-11-15T14:53:19.559000-05:00,25.048721649484538,38.37,100360_9606_705204,20221115_1453_agritech_batch2bfusmalljarmoldy_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,37b4cc57-2118-458e-ac6b-04d6fa1b18fc,baseline,moldy
2.0,1.0,12337,99337,29482,52500,221743,20200,132799,68808,192648,88299,139094,60106,12220,81207,5830,1456,60172,29655,105325,253353,178180,21677,350941,9150,29144,263040,42653,53037,293139,40230,409798,242740,2022-11-15T14:53:20.559000-05:00,25.01,38.369370485036114,100360_9606_705204,20221115_1453_agritech_batch2bfusmalljarmoldy_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,37b4cc57-2118-458e-ac6b-04d6fa1b18fc,baseline,moldy
3.0,1.0,12340,99319,29481,52482,221740,20204,132770,68837,192632,88322,139008,60071,12217,81271,5831,1458,60158,29660,105369,253289,177959,21675,350920,9149,29162,263004,42616,53008,293086,40200,409724,242767,2022-11-15T14:53:21.559000-05:00,25.011898864809083,38.35810113519092,100360_9606_705204,20221115_1453_agritech_batch2bfusmalljarmoldy_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,37b4cc57-2118-458e-ac6b-04d6fa1b18fc,baseline,moldy
4.0,1.0,12338,99274,29478,52462,221623,20202,132931,68875,192604,88314,139031,60087,12216,81211,5830,1457,60169,29646,105283,253301,178194,21677,351035,9142,29160,263046,42643,53023,292783,40197,409619,242799,2022-11-15T14:53:22.559000-05:00,25.028731958762886,38.341268041237115,100360_9606_705204,20221115_1453_agritech_batch2bfusmalljarmoldy_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,37b4cc57-2118-458e-ac6b-04d6fa1b18fc,baseline,moldy
5.0,1.0,12337,99240,29472,52448,221643,20200,132961,68820,192532,88327,138987,60062,12217,81148,5829,1458,60232,29650,105421,253236,178071,21684,351073,9141,29129,262945,42635,52985,292804,40162,409313,242801,2022-11-15T14:53:23.559000-05:00,25.02315789473684,38.34842105263158,100360_9606_705204,20221115_1453_agritech_batch2bfusmalljarmoldy_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,37b4cc57-2118-458e-ac6b-04d6fa1b18fc,baseline,moldy
6.0,1.0,12340,99310,29464,52441,221663,20203,133006,68863,192542,88331,138968,60051,12216,81269,5829,1456,60220,29655,105429,253297,177974,21684,351050,9139,29121,262999,42650,52969,292778,40127,409367,242815,2022-11-15T14:53:24.559000-05:00,25.045696594427245,38.33620227038184,100360_9606_705204,20221115_1453_agritech_batch2bfusmalljarmoldy_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,37b4cc57-2118-458e-ac6b-04d6fa1b18fc,baseline,moldy
7.0,1.0,12336,99345,29475,52405,221661,20202,132926,68855,192651,88306,138919,60014,12219,81270,5826,1457,60241,29644,105285,253277,178054,21682,351153,9135,29142,263013,42635,52971,292579,40153,409277,242907,2022-11-15T14:53:25.559000-05:00,25.05890608875129,38.31778121775026,100360_9606_705204,20221115_1453_agritech_batch2bfusmalljarmoldy_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,37b4cc57-2118-458e-ac6b-04d6fa1b18fc,baseline,moldy
8.0,1.0,12334,99313,29469,52387,221627,20199,133056,68884,192557,88314,138900,59988,12216,81230,5824,1457,60216,29638,105221,253332,177880,21680,351085,9134,29139,262962,42632,52958,292742,40151,409140,242839,2022-11-15T14:53:26.559000-05:00,25.02,38.30745867768595,100360_9606_705204,20221115_1453_agritech_batch2bfusmalljarmoldy_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,37b4cc57-2118-458e-ac6b-04d6fa1b18fc,baseline,moldy
9.0,1.0,12337,99302,29464,52399,221738,20206,133148,68895,192536,88304,138894,59959,12217,81268,5827,1457,60204,29645,105254,253294,177828,21672,350989,9130,29137,263018,42635,52942,292709,40147,409175,242814,2022-11-15T14:53:27.559000-05:00,25.025791666666667,38.3,100360_9606_705204,20221115_1453_agritech_batch2bfusmalljarmoldy_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,37b4cc57-2118-458e-ac6b-04d6fa1b18fc,baseline,moldy
