seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state,label
0.0,1.0,12376,99783,29362,52561,221857,20264,133983,69018,192952,88210,141536,69255,12235,80973,5844,1461,60168,29739,104525,253039,178169,21655,352367,8619,29248,262517,42834,50566,305735,38388,410189,242578,2022-11-15T15:27:47.281000-05:00,25.02,37.57,100360_9606_705204,20221115_1527_agritech_batch2bfusmalljarmoldy_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,0509bd71-ebda-48b5-ae2b-7b6c3d27525e,baseline,moldy
1.0,1.0,12377,99761,29342,52569,221830,20273,133854,69030,192921,88216,141501,69262,12231,80941,5843,1459,60175,29730,104875,253010,178171,21646,352670,8615,29237,262508,42842,50554,305912,38388,410377,242539,2022-11-15T15:27:48.281000-05:00,24.990929752066116,37.57,100360_9606_705204,20221115_1527_agritech_batch2bfusmalljarmoldy_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,0509bd71-ebda-48b5-ae2b-7b6c3d27525e,baseline,moldy
2.0,1.0,12377,99761,29358,52546,221767,20272,134024,69002,192899,88220,141492,69226,12236,80895,5842,1459,60162,29733,104467,253106,178210,21642,352734,8614,29230,262624,42835,50545,305884,38347,410296,242599,2022-11-15T15:27:49.281000-05:00,25.019360824742268,37.56872164948454,100360_9606_705204,20221115_1527_agritech_batch2bfusmalljarmoldy_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,0509bd71-ebda-48b5-ae2b-7b6c3d27525e,baseline,moldy
3.0,1.0,12377,99816,29356,52556,221852,20262,133894,69005,192904,88237,141540,69199,12236,80839,5842,1459,60184,29731,104549,253029,178245,21647,352549,8610,29236,262649,42835,50569,305890,38358,410460,242549,2022-11-15T15:27:50.281000-05:00,25.00904860392968,37.54904860392968,100360_9606_705204,20221115_1527_agritech_batch2bfusmalljarmoldy_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,0509bd71-ebda-48b5-ae2b-7b6c3d27525e,baseline,moldy
4.0,1.0,12377,99790,29347,52520,221828,20270,133886,68985,192880,88221,141441,69227,12239,80815,5841,1458,60181,29714,104867,252974,178212,21640,352603,8608,29238,262528,42840,50581,305878,38358,410562,242461,2022-11-15T15:27:51.281000-05:00,24.997401247401246,37.54129937629938,100360_9606_705204,20221115_1527_agritech_batch2bfusmalljarmoldy_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,0509bd71-ebda-48b5-ae2b-7b6c3d27525e,baseline,moldy
5.0,1.0,12377,99783,29360,52553,221804,20270,133915,68971,192864,88214,141439,69224,12234,80900,5840,1459,60154,29725,104641,253011,178280,21639,352577,8608,29241,262668,42853,50556,305635,38354,410589,242569,2022-11-15T15:27:52.281000-05:00,24.98,37.54831958762886,100360_9606_705204,20221115_1527_agritech_batch2bfusmalljarmoldy_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,0509bd71-ebda-48b5-ae2b-7b6c3d27525e,baseline,moldy
6.0,1.0,12378,99794,29347,52546,221818,20264,133719,68972,192842,88203,141423,69226,12241,80788,5840,1458,60210,29723,104879,253005,178421,21644,352713,8607,29246,262701,42843,50550,305490,38330,410334,242533,2022-11-15T15:27:53.281000-05:00,24.983995859213252,37.538002070393375,100360_9606_705204,20221115_1527_agritech_batch2bfusmalljarmoldy_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,0509bd71-ebda-48b5-ae2b-7b6c3d27525e,baseline,moldy
7.0,1.0,12377,99817,29357,52558,221893,20270,133681,68968,192871,88199,141418,69240,12238,80772,5838,1458,60196,29729,104678,253081,178243,21646,352813,8607,29213,262669,42842,50547,305584,38336,410306,242638,2022-11-15T15:27:54.281000-05:00,24.99300102774923,37.532332990750255,100360_9606_705204,20221115_1527_agritech_batch2bfusmalljarmoldy_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,0509bd71-ebda-48b5-ae2b-7b6c3d27525e,baseline,moldy
8.0,1.0,12378,99776,29360,52553,221780,20263,133613,68956,192872,88207,141469,69230,12237,80848,5841,1459,60163,29723,104776,253010,178227,21649,352905,8605,29227,262612,42840,50541,305794,38350,410306,242659,2022-11-15T15:27:55.281000-05:00,24.975242518059854,37.53737874097007,100360_9606_705204,20221115_1527_agritech_batch2bfusmalljarmoldy_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,0509bd71-ebda-48b5-ae2b-7b6c3d27525e,baseline,moldy
9.0,1.0,12375,99804,29361,52575,221840,20264,133707,68934,192857,88186,141436,69241,12237,80873,5840,1459,60149,29722,104731,252963,178259,21663,352891,8599,29208,262590,42834,50545,305436,38320,410447,242567,2022-11-15T15:27:56.281000-05:00,24.998906249999997,37.52703125,100360_9606_705204,20221115_1527_agritech_batch2bfusmalljarmoldy_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,0509bd71-ebda-48b5-ae2b-7b6c3d27525e,baseline,moldy
