seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state,label
0.0,1.0,12409,100751,29428,53390,222099,20303,133165,69034,193079,88679,145660,78850,12246,81506,5925,1457,60093,29767,105271,252977,178879,21689,353704,9039,29421,263108,43084,52269,312229,39814,410258,242553,2022-11-15T15:34:12.583000-05:00,25.06,39.39,100360_9606_705204,20221115_1534_agritech_batch2bfusmalljarmoldy_7_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,7f86e24c-61a9-4964-ab3c-73baf852e6f6,baseline,moldy
1.0,1.0,12408,100722,29434,53421,222149,20316,133315,69049,193032,88691,145733,78795,12247,81567,5923,1459,60099,29771,105392,253212,178563,21683,353643,9041,29431,262839,43075,52263,312171,39758,410703,242257,2022-11-15T15:34:13.583000-05:00,25.04142414860681,39.37905056759546,100360_9606_705204,20221115_1534_agritech_batch2bfusmalljarmoldy_7_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,7f86e24c-61a9-4964-ab3c-73baf852e6f6,baseline,moldy
2.0,1.0,12408,100772,29414,53351,221991,20309,133289,69067,193057,88682,145547,78764,12247,81573,5921,1459,60105,29774,105219,253090,178819,21682,353319,9033,29420,263073,43086,52273,312415,39788,410216,242186,2022-11-15T15:34:14.583000-05:00,25.07,39.35841073271414,100360_9606_705204,20221115_1534_agritech_batch2bfusmalljarmoldy_7_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,7f86e24c-61a9-4964-ab3c-73baf852e6f6,baseline,moldy
3.0,1.0,12408,100717,29464,53396,222008,20309,133177,69064,193068,88671,145647,78752,12244,81497,5925,1458,60090,29772,105277,253173,178806,21677,353604,9026,29432,263115,43073,52262,311978,39774,410557,242268,2022-11-15T15:34:15.583000-05:00,25.073347107438018,39.34,100360_9606_705204,20221115_1534_agritech_batch2bfusmalljarmoldy_7_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,7f86e24c-61a9-4964-ab3c-73baf852e6f6,baseline,moldy
4.0,1.0,12411,100730,29442,53359,222076,20309,133360,69072,193113,88683,145537,78750,12246,81624,5917,1459,60103,29770,105469,253086,178550,21685,353652,9025,29445,263000,43058,52249,311884,39760,410605,242247,2022-11-15T15:34:16.583000-05:00,25.0956745623069,39.33711637487127,100360_9606_705204,20221115_1534_agritech_batch2bfusmalljarmoldy_7_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,7f86e24c-61a9-4964-ab3c-73baf852e6f6,baseline,moldy
5.0,1.0,12410,100721,29449,53359,222022,20311,133246,69066,193078,88642,145509,78730,12245,81592,5914,1459,60092,29766,105793,253110,178686,21672,353611,9018,29411,263064,43078,52236,311830,39768,410722,242321,2022-11-15T15:34:17.583000-05:00,25.071744066047472,39.314767801857585,100360_9606_705204,20221115_1534_agritech_batch2bfusmalljarmoldy_7_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,7f86e24c-61a9-4964-ab3c-73baf852e6f6,baseline,moldy
6.0,1.0,12410,100707,29453,53386,222103,20310,133096,69053,193117,88661,145462,78670,12245,81521,5917,1458,60051,29764,105566,253081,178762,21670,353599,9018,29400,263002,43086,52247,311870,39737,411002,242308,2022-11-15T15:34:18.583000-05:00,25.08206398348813,39.29,100360_9606_705204,20221115_1534_agritech_batch2bfusmalljarmoldy_7_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,7f86e24c-61a9-4964-ab3c-73baf852e6f6,baseline,moldy
7.0,1.0,12411,100700,29445,53367,222129,20310,133208,69067,193060,88652,145438,78643,12247,81513,5917,1457,60067,29777,105782,253168,178667,21675,353572,9014,29407,262993,43067,52202,311649,39701,410748,242392,2022-11-15T15:34:19.583000-05:00,25.09241127348643,39.28517745302714,100360_9606_705204,20221115_1534_agritech_batch2bfusmalljarmoldy_7_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,7f86e24c-61a9-4964-ab3c-73baf852e6f6,baseline,moldy
8.0,1.0,12411,100707,29438,53384,222082,20312,133185,69048,193131,88653,145451,78612,12244,81484,5915,1456,60082,29772,105656,253181,178585,21669,353686,9003,29418,263015,43068,52176,311713,39709,410633,242362,2022-11-15T15:34:20.583000-05:00,25.088695652173914,39.27,100360_9606_705204,20221115_1534_agritech_batch2bfusmalljarmoldy_7_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,7f86e24c-61a9-4964-ab3c-73baf852e6f6,baseline,moldy
9.0,1.0,12410,100712,29436,53355,222111,20311,133186,69009,193098,88666,145401,78602,12244,81491,5913,1458,60085,29770,105518,253235,178579,21677,353727,9001,29417,263046,43061,52151,311756,39719,410875,242301,2022-11-15T15:34:21.583000-05:00,25.063168214654283,39.263663570691435,100360_9606_705204,20221115_1534_agritech_batch2bfusmalljarmoldy_7_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,7f86e24c-61a9-4964-ab3c-73baf852e6f6,baseline,moldy
