seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state,label
0.0,1.0,12390,99761,29433,52357,221754,20261,133183,69320,192806,87756,141911,71368,12221,80630,5846,1456,60082,29651,103625,252270,178255,21618,351285,8286,29170,261600,42642,48754,308591,36947,410616,242448,2022-11-15T15:48:11.895000-05:00,24.98,35.7,100360_9606_705204,20221115_1548_agritech_batch2bfusmalljarmoldy_8_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,f945f2a9-eede-424a-bcf9-35497db55cf2,baseline,moldy
1.0,1.0,12391,99776,29444,52398,221653,20267,133304,69310,192789,87724,141914,71368,12221,80666,5841,1456,60013,29654,103695,252264,178183,21608,351591,8288,29163,261624,42639,48762,308293,36950,410383,242305,2022-11-15T15:48:12.895000-05:00,24.959072164948456,35.68907216494845,100360_9606_705204,20221115_1548_agritech_batch2bfusmalljarmoldy_8_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,f945f2a9-eede-424a-bcf9-35497db55cf2,baseline,moldy
2.0,1.0,12390,99793,29413,52355,221636,20255,133423,69362,192796,87730,141886,71303,12222,80625,5839,1458,60082,29654,103874,252256,178349,21596,351507,8283,29184,261586,42637,48728,308486,36962,410446,242245,2022-11-15T15:48:13.895000-05:00,24.93061919504644,35.661238390092876,100360_9606_705204,20221115_1548_agritech_batch2bfusmalljarmoldy_8_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,f945f2a9-eede-424a-bcf9-35497db55cf2,baseline,moldy
3.0,1.0,12386,99752,29418,52344,221565,20260,133336,69322,192852,87726,141880,71255,12222,80640,5843,1458,60074,29665,103575,252214,178197,21606,351313,8280,29135,261509,42626,48722,308479,36948,410244,242327,2022-11-15T15:48:14.895000-05:00,24.939061855670104,35.67718556701031,100360_9606_705204,20221115_1548_agritech_batch2bfusmalljarmoldy_8_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,f945f2a9-eede-424a-bcf9-35497db55cf2,baseline,moldy
4.0,1.0,12389,99763,29431,52327,221661,20255,133336,69342,192786,87702,141850,71239,12220,80573,5842,1457,60027,29671,103828,252183,178331,21600,351397,8279,29149,261640,42630,48734,308609,36943,410574,242390,2022-11-15T15:48:15.895000-05:00,24.93124742268041,35.648752577319584,100360_9606_705204,20221115_1548_agritech_batch2bfusmalljarmoldy_8_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,f945f2a9-eede-424a-bcf9-35497db55cf2,baseline,moldy
5.0,1.0,12386,99721,29462,52353,221663,20256,133082,69362,192753,87713,141882,71252,12221,80579,5842,1455,60049,29660,103617,252098,178338,21602,351477,8274,29168,261462,42634,48715,308554,36926,410555,242427,2022-11-15T15:48:16.895000-05:00,24.94,35.63688338493292,100360_9606_705204,20221115_1548_agritech_batch2bfusmalljarmoldy_8_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,f945f2a9-eede-424a-bcf9-35497db55cf2,baseline,moldy
6.0,1.0,12389,99746,29441,52348,221678,20262,132992,69373,192750,87682,141860,71193,12224,80635,5838,1454,60027,29660,103472,252210,178487,21604,351600,8269,29158,261459,42640,48725,308651,36946,410509,242432,2022-11-15T15:48:17.895000-05:00,24.94375257731959,35.62187628865979,100360_9606_705204,20221115_1548_agritech_batch2bfusmalljarmoldy_8_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,f945f2a9-eede-424a-bcf9-35497db55cf2,baseline,moldy
7.0,1.0,12390,99771,29453,52368,221696,20261,133142,69372,192750,87707,141886,71189,12223,80579,5842,1457,60028,29655,103655,252111,178172,21607,351664,8265,29159,261508,42649,48706,308581,36934,410610,242424,2022-11-15T15:48:18.895000-05:00,24.957814432989693,35.63,100360_9606_705204,20221115_1548_agritech_batch2bfusmalljarmoldy_8_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,f945f2a9-eede-424a-bcf9-35497db55cf2,baseline,moldy
8.0,1.0,12387,99764,29448,52351,221595,20257,132992,69386,192739,87707,141862,71184,12223,80665,5839,1454,60049,29671,103443,252228,178207,21607,351678,8269,29173,261532,42635,48699,308484,36910,410695,242403,2022-11-15T15:48:19.895000-05:00,24.95,35.627505154639174,100360_9606_705204,20221115_1548_agritech_batch2bfusmalljarmoldy_8_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,f945f2a9-eede-424a-bcf9-35497db55cf2,baseline,moldy
9.0,1.0,12387,99725,29431,52332,221556,20258,133135,69376,192790,87731,141846,71148,12219,80625,5839,1456,60046,29674,103419,252219,178220,21609,351545,8274,29178,261518,42637,48698,308450,36901,410753,242287,2022-11-15T15:48:20.895000-05:00,24.95,35.62,100360_9606_705204,20221115_1548_agritech_batch2bfusmalljarmoldy_8_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,f945f2a9-eede-424a-bcf9-35497db55cf2,baseline,moldy
