seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state,label
0.0,1.0,12403,100389,29465,52836,221736,20277,133113,69062,192771,88135,144762,77232,12231,81112,5910,1457,60067,29703,103857,252390,178672,21621,352345,8415,29371,262197,42922,49785,315699,37734,410450,242478,2022-11-15T15:54:40.026000-05:00,25.13,36.92,100360_9606_705204,20221115_1554_agritech_batch2bfusmalljarmoldy_9_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,235f991a-bcbb-4872-b5f6-9082f1044c15,baseline,moldy
1.0,1.0,12402,100354,29456,52858,221683,20274,133374,69054,192757,88125,144731,77255,12230,81110,5909,1457,60062,29693,103655,252371,178568,21632,352374,8410,29367,262086,42931,49750,315896,37723,410019,242532,2022-11-15T15:54:41.026000-05:00,25.129680412371133,36.91,100360_9606_705204,20221115_1554_agritech_batch2bfusmalljarmoldy_9_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,235f991a-bcbb-4872-b5f6-9082f1044c15,baseline,moldy
2.0,1.0,12404,100370,29456,52837,221783,20282,133242,69053,192764,88089,144702,77219,12230,81083,5909,1458,60043,29684,104003,252233,178507,21635,352224,8403,29375,262181,42909,49758,315806,37723,410085,242504,2022-11-15T15:54:42.026000-05:00,25.120633437175496,36.9093665628245,100360_9606_705204,20221115_1554_agritech_batch2bfusmalljarmoldy_9_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,235f991a-bcbb-4872-b5f6-9082f1044c15,baseline,moldy
3.0,1.0,12403,100344,29469,52846,221822,20283,133419,69093,192724,88130,144733,77265,12234,81108,5909,1458,60044,29675,103985,252183,178577,21625,351939,8402,29352,262338,42909,49732,315658,37704,410388,242533,2022-11-15T15:54:43.026000-05:00,25.13101030927835,36.9,100360_9606_705204,20221115_1554_agritech_batch2bfusmalljarmoldy_9_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,235f991a-bcbb-4872-b5f6-9082f1044c15,baseline,moldy
4.0,1.0,12400,100295,29475,52826,221766,20282,133294,69063,192774,88116,144732,77196,12230,81184,5908,1458,60054,29695,103754,252285,178484,21624,352179,8399,29355,262342,42917,49730,315592,37690,410132,242451,2022-11-15T15:54:44.026000-05:00,25.138680412371134,36.898680412371135,100360_9606_705204,20221115_1554_agritech_batch2bfusmalljarmoldy_9_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,235f991a-bcbb-4872-b5f6-9082f1044c15,baseline,moldy
5.0,1.0,12402,100321,29463,52803,221746,20282,133483,69022,192868,88092,144642,77208,12227,81161,5906,1458,60051,29702,103650,252285,178391,21625,352187,8396,29345,262279,42909,49716,315520,37673,410569,242480,2022-11-15T15:54:45.026000-05:00,25.13,36.88673890608875,100360_9606_705204,20221115_1554_agritech_batch2bfusmalljarmoldy_9_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,235f991a-bcbb-4872-b5f6-9082f1044c15,baseline,moldy
6.0,1.0,12404,100297,29448,52783,221778,20289,133393,69048,192863,88100,144669,77191,12229,81143,5905,1458,60056,29693,103811,252254,178578,21632,352290,8397,29356,262170,42905,49690,315593,37665,410514,242533,2022-11-15T15:54:46.026000-05:00,25.128051546391752,36.86805154639175,100360_9606_705204,20221115_1554_agritech_batch2bfusmalljarmoldy_9_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,235f991a-bcbb-4872-b5f6-9082f1044c15,baseline,moldy
7.0,1.0,12402,100319,29455,52789,221710,20286,133266,69006,192831,88100,144559,77142,12225,81086,5904,1457,60061,29695,103767,252258,178533,21623,352152,8390,29343,262167,42904,49684,315487,37661,410563,242567,2022-11-15T15:54:47.026000-05:00,25.11547520661157,36.857737603305786,100360_9606_705204,20221115_1554_agritech_batch2bfusmalljarmoldy_9_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,235f991a-bcbb-4872-b5f6-9082f1044c15,baseline,moldy
8.0,1.0,12405,100277,29466,52773,221742,20282,133300,68964,192841,88083,144454,77129,12228,81063,5902,1458,60067,29686,103727,252273,178493,21598,352242,8391,29358,262151,42904,49676,315535,37646,410491,242525,2022-11-15T15:54:48.026000-05:00,25.105202072538862,36.852601036269434,100360_9606_705204,20221115_1554_agritech_batch2bfusmalljarmoldy_9_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,235f991a-bcbb-4872-b5f6-9082f1044c15,baseline,moldy
9.0,1.0,12406,100316,29432,52779,221751,20281,133468,68991,192877,88077,144475,77067,12228,81012,5902,1459,60062,29683,103855,252342,178657,21597,352243,8387,29350,262171,42891,49687,315372,37638,410765,242451,2022-11-15T15:54:49.026000-05:00,25.12,36.84820618556701,100360_9606_705204,20221115_1554_agritech_batch2bfusmalljarmoldy_9_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,235f991a-bcbb-4872-b5f6-9082f1044c15,baseline,moldy
