seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state
0.0,1.0,12374,99335,29402,52118,221650,20221,133430,69147,192603,87540,140972,66248,12219,80804,5813,1457,60032,29643,104213,252467,178034,21621,351851,8368,28982,261162,42426,48413,300892,36833,409987,242129,2022-11-15T15:37:51.372000-05:00,25.02,34.25,100360_9606_705204,20221115_1537_agritech_batch2bfusmalljarwater_7_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,2cfe5160-a1d7-41b6-bc11-c2cdc64b75f1,baseline
1.0,1.0,12368,99318,29397,52088,221620,20229,133540,69172,192648,87507,140865,66158,12218,80666,5808,1458,60021,29636,104901,252336,178160,21638,351466,8363,28990,261026,42422,48397,301031,36806,410099,241993,2022-11-15T15:37:52.372000-05:00,25.02,34.2484004127967,100360_9606_705204,20221115_1537_agritech_batch2bfusmalljarwater_7_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,2cfe5160-a1d7-41b6-bc11-c2cdc64b75f1,baseline
2.0,1.0,12367,99290,29411,52098,221625,20224,133633,69150,192660,87534,140870,66109,12220,80860,5805,1457,60070,29651,104535,252382,177929,21628,351996,8363,28994,261186,42420,48369,301083,36769,410059,242046,2022-11-15T15:37:53.372000-05:00,25.02319587628866,34.200639175257734,100360_9606_705204,20221115_1537_agritech_batch2bfusmalljarwater_7_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,2cfe5160-a1d7-41b6-bc11-c2cdc64b75f1,baseline
3.0,1.0,12371,99243,29398,52107,221673,20230,133250,69190,192644,87522,140852,66041,12220,80829,5805,1456,60096,29649,104535,252439,178150,21628,351952,8363,28973,261268,42427,48366,300831,36796,410099,241881,2022-11-15T15:37:54.372000-05:00,25.067154639175257,34.20715463917526,100360_9606_705204,20221115_1537_agritech_batch2bfusmalljarwater_7_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,2cfe5160-a1d7-41b6-bc11-c2cdc64b75f1,baseline
4.0,1.0,12366,99262,29389,52135,221517,20227,133290,69206,192745,87527,140798,65968,12218,80814,5806,1455,60052,29642,104069,252414,178038,21637,352153,8359,28993,261212,42418,48356,300928,36757,410174,241430,2022-11-15T15:37:55.372000-05:00,25.03622291021672,34.176222910216715,100360_9606_705204,20221115_1537_agritech_batch2bfusmalljarwater_7_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,2cfe5160-a1d7-41b6-bc11-c2cdc64b75f1,baseline
5.0,1.0,12368,99230,29388,52128,221476,20225,133327,69189,192704,87524,140781,65921,12218,80795,5805,1456,60086,29649,104247,252362,178156,21637,351751,8352,29014,261198,42429,48348,301034,36721,410004,241529,2022-11-15T15:37:56.372000-05:00,25.01315463917526,34.14842268041237,100360_9606_705204,20221115_1537_agritech_batch2bfusmalljarwater_7_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,2cfe5160-a1d7-41b6-bc11-c2cdc64b75f1,baseline
6.0,1.0,12368,99245,29393,52092,221540,20224,133317,69207,192635,87515,140764,65863,12218,80756,5804,1456,60083,29656,103922,252388,178100,21635,351764,8351,29017,261194,42419,48335,300776,36753,409983,241554,2022-11-15T15:37:57.372000-05:00,25.03,34.14,100360_9606_705204,20221115_1537_agritech_batch2bfusmalljarwater_7_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,2cfe5160-a1d7-41b6-bc11-c2cdc64b75f1,baseline
7.0,1.0,12368,99287,29395,52097,221455,20227,133560,69174,192687,87506,140809,65781,12219,80873,5801,1456,60098,29645,104159,252342,178260,21623,351709,8348,29008,261150,42404,48339,300757,36753,409892,241934,2022-11-15T15:37:58.372000-05:00,25.025583075335398,34.13116615067079,100360_9606_705204,20221115_1537_agritech_batch2bfusmalljarwater_7_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,2cfe5160-a1d7-41b6-bc11-c2cdc64b75f1,baseline
8.0,1.0,12370,99312,29431,52087,221492,20226,133433,69172,192704,87498,140754,65739,12219,80729,5803,1454,60069,29645,104198,252298,178131,21632,351679,8344,29014,261167,42408,48307,300612,36755,409962,241979,2022-11-15T15:37:59.372000-05:00,25.02262886597938,34.097474226804124,100360_9606_705204,20221115_1537_agritech_batch2bfusmalljarwater_7_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,2cfe5160-a1d7-41b6-bc11-c2cdc64b75f1,baseline
9.0,1.0,12369,99301,29447,52093,221595,20226,133261,69186,192677,87515,140769,65688,12220,80704,5802,1453,60033,29645,104285,252337,178028,21639,351972,8343,29016,261099,42399,48300,300766,36729,410223,241860,2022-11-15T15:38:00.372000-05:00,25.054329896907216,34.08432989690722,100360_9606_705204,20221115_1537_agritech_batch2bfusmalljarwater_7_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,2cfe5160-a1d7-41b6-bc11-c2cdc64b75f1,baseline
10.0,1.0,12372,99303,29454,52095,221499,20225,133185,69154,192687,87503,140763,65639,12221,80760,5800,1458,60081,29645,104160,252321,178130,21632,351733,8341,28996,261175,42388,48290,300552,36717,410047,241757,2022-11-15T15:38:01.372000-05:00,25.03045881126173,34.06681960375391,100360_9606_705204,20221115_1537_agritech_batch2bfusmalljarwater_7_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,2cfe5160-a1d7-41b6-bc11-c2cdc64b75f1,baseline
11.0,1.0,12371,99300,29450,52077,221566,20225,133472,69140,192704,87496,140690,65605,12220,80839,5799,1457,60124,29652,104330,252366,178094,21626,351694,8336,28988,261027,42391,48263,300640,36681,410199,241654,2022-11-15T15:38:02.372000-05:00,25.01713402061856,34.05643298969072,100360_9606_705204,20221115_1537_agritech_batch2bfusmalljarwater_7_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,2cfe5160-a1d7-41b6-bc11-c2cdc64b75f1,baseline
12.0,1.0,12372,99282,29437,52066,221628,20225,133481,69140,192645,87507,140713,65603,12216,80736,5799,1457,60136,29648,104417,252304,178024,21638,351767,8330,29000,260993,42390,48247,300534,36646,409913,241687,2022-11-15T15:38:03.372000-05:00,25.03,34.03835913312693,100360_9606_705204,20221115_1537_agritech_batch2bfusmalljarwater_7_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,2cfe5160-a1d7-41b6-bc11-c2cdc64b75f1,baseline
