seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state
0.0,1.0,12393,100088,29424,52611,221684,20266,133183,69125,192816,87931,142946,68096,12228,81075,5847,1458,59971,29667,104041,252237,178464,21652,351925,8514,29201,261918,42652,49291,309532,37634,410734,242492,2022-11-15T15:44:45.726000-05:00,24.99,36.53,100360_9606_705204,20221115_1544_agritech_batch2bfusmalljarwater_8_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,36c7e2b4-05d8-46be-a4a7-909aefadd399,baseline
1.0,1.0,12397,100044,29412,52612,221763,20266,132770,69140,192789,87939,142899,68079,12222,81074,5844,1453,59875,29647,103997,252149,178509,21645,352021,8513,29189,261921,42638,49290,309063,37611,410622,242466,2022-11-15T15:44:46.726000-05:00,25.0,36.520340557275546,100360_9606_705204,20221115_1544_agritech_batch2bfusmalljarwater_8_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,36c7e2b4-05d8-46be-a4a7-909aefadd399,baseline
2.0,1.0,12392,100019,29420,52594,221701,20261,132974,69179,192724,87959,142908,68060,12226,81138,5848,1458,59919,29650,104270,252070,178467,21645,351676,8508,29201,261899,42652,49299,309439,37586,410723,242619,2022-11-15T15:44:47.726000-05:00,24.9980206185567,36.5280206185567,100360_9606_705204,20221115_1544_agritech_batch2bfusmalljarwater_8_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,36c7e2b4-05d8-46be-a4a7-909aefadd399,baseline
3.0,1.0,12391,100023,29433,52588,221726,20270,133068,69150,192788,87944,142942,68036,12225,81084,5848,1455,59926,29665,104053,252303,178472,21628,352130,8507,29206,261994,42635,49302,309140,37602,410641,242548,2022-11-15T15:44:48.726000-05:00,24.970969072164948,36.5,100360_9606_705204,20221115_1544_agritech_batch2bfusmalljarwater_8_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,36c7e2b4-05d8-46be-a4a7-909aefadd399,baseline
4.0,1.0,12391,99998,29436,52561,221697,20266,133150,69138,192864,87909,142903,68034,12225,81103,5846,1455,59897,29662,103948,252135,178523,21629,351945,8505,29199,262007,42645,49273,309082,37602,410603,242672,2022-11-15T15:44:49.726000-05:00,24.977440660474716,36.5,100360_9606_705204,20221115_1544_agritech_batch2bfusmalljarwater_8_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,36c7e2b4-05d8-46be-a4a7-909aefadd399,baseline
5.0,1.0,12392,99954,29455,52557,221738,20265,133176,69128,192820,87922,142879,68054,12226,81241,5846,1456,59914,29646,104290,252122,178502,21628,352018,8504,29192,261908,42656,49274,308992,37579,410291,242681,2022-11-15T15:44:50.726000-05:00,24.96159793814433,36.49840206185567,100360_9606_705204,20221115_1544_agritech_batch2bfusmalljarwater_8_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,36c7e2b4-05d8-46be-a4a7-909aefadd399,baseline
6.0,1.0,12391,99996,29426,52534,221611,20267,132955,69148,192757,87916,142895,68039,12224,81011,5843,1458,59895,29644,104119,252185,178557,21625,351919,8500,29202,261889,42651,49277,309084,37578,410253,242740,2022-11-15T15:44:51.726000-05:00,24.973878406708593,36.49,100360_9606_705204,20221115_1544_agritech_batch2bfusmalljarwater_8_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,36c7e2b4-05d8-46be-a4a7-909aefadd399,baseline
7.0,1.0,12393,99951,29420,52545,221697,20261,133179,69130,192798,87886,142891,68021,12224,81197,5842,1457,59948,29647,104117,252243,178499,21622,352038,8495,29192,261833,42649,49259,309179,37547,410386,242655,2022-11-15T15:44:52.726000-05:00,24.987616099071207,36.48761609907121,100360_9606_705204,20221115_1544_agritech_batch2bfusmalljarwater_8_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,36c7e2b4-05d8-46be-a4a7-909aefadd399,baseline
8.0,1.0,12393,99959,29434,52548,221690,20268,133241,69132,192792,87898,142868,67988,12227,81175,5840,1455,59929,29645,104187,252161,178419,21614,351927,8492,29199,261863,42647,49255,309071,37546,410324,242645,2022-11-15T15:44:53.726000-05:00,24.974592363261095,36.474592363261095,100360_9606_705204,20221115_1544_agritech_batch2bfusmalljarwater_8_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,36c7e2b4-05d8-46be-a4a7-909aefadd399,baseline
9.0,1.0,12389,99972,29432,52510,221728,20268,133075,69105,192774,87900,142845,67982,12228,81110,5840,1457,59910,29644,104263,252207,178369,21617,352090,8494,29190,261818,42651,49244,308915,37526,410317,242643,2022-11-15T15:44:54.726000-05:00,24.9660412371134,36.4569793814433,100360_9606_705204,20221115_1544_agritech_batch2bfusmalljarwater_8_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,36c7e2b4-05d8-46be-a4a7-909aefadd399,baseline
