seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state,label
0.0,1.0,12006,87622,29083,44918,218168,19661,133197,68084,190754,84092,101820,27760,12020,77029,5457,1443,59632,29066,105947,253060,174036,21594,341821,6866,27871,259226,38660,39600,213376,31472,405098,239752,2022-11-15T11:02:01.129000-05:00,25.35,32.75,100360_9606_705204,20221115_1101_agritech_bfusmalljarfresh_3_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,98ac827f-5b28-4e6a-8d67-3ab183a7cebe,baseline,fresh
1.0,1.0,12007,87629,29079,44892,218068,19654,133219,68127,190693,84101,101808,27743,12016,76967,5457,1441,59640,29070,105599,252984,174015,21605,342200,6865,27863,259393,38666,39612,213464,31480,405153,239906,2022-11-15T11:02:02.129000-05:00,25.320361197110422,32.749277605779156,100360_9606_705204,20221115_1101_agritech_bfusmalljarfresh_3_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,98ac827f-5b28-4e6a-8d67-3ab183a7cebe,baseline,fresh
2.0,1.0,12011,87598,29090,44889,218063,19653,133322,68143,190715,84085,101762,27723,12017,77000,5456,1443,59660,29064,106315,252991,173771,21596,342040,6866,27896,259300,38663,39595,213393,31450,404984,240042,2022-11-15T11:02:03.129000-05:00,25.331362229102165,32.72931888544891,100360_9606_705204,20221115_1101_agritech_bfusmalljarfresh_3_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,98ac827f-5b28-4e6a-8d67-3ab183a7cebe,baseline,fresh
3.0,1.0,12010,87573,29088,44888,218042,19648,133181,68149,190718,84087,101751,27707,12017,77043,5456,1440,59661,29064,105857,253159,173691,21588,342191,6860,27892,259251,38654,39570,213426,31450,405095,240112,2022-11-15T11:02:04.129000-05:00,25.348000000000003,32.716,100360_9606_705204,20221115_1101_agritech_bfusmalljarfresh_3_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,98ac827f-5b28-4e6a-8d67-3ab183a7cebe,baseline,fresh
4.0,1.0,12005,87566,29097,44884,218021,19656,133269,68177,190725,84088,101786,27685,12019,77047,5455,1443,59678,29065,105877,253016,173918,21600,342171,6857,27863,259223,38652,39552,213461,31425,404978,240222,2022-11-15T11:02:05.129000-05:00,25.332634854771783,32.68131742738589,100360_9606_705204,20221115_1101_agritech_bfusmalljarfresh_3_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,98ac827f-5b28-4e6a-8d67-3ab183a7cebe,baseline,fresh
5.0,1.0,12006,87569,29097,44910,218092,19655,133198,68177,190628,84078,101777,27661,12016,76997,5452,1441,59664,29061,105965,253032,173960,21599,342030,6856,27866,259261,38647,39549,213321,31405,404804,240028,2022-11-15T11:02:06.129000-05:00,25.343271413828692,32.686635706914345,100360_9606_705204,20221115_1101_agritech_bfusmalljarfresh_3_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,98ac827f-5b28-4e6a-8d67-3ab183a7cebe,baseline,fresh
6.0,1.0,12002,87574,29074,44880,218062,19653,133226,68134,190681,84069,101735,27638,12011,76921,5452,1439,59661,29056,106023,253012,173776,21604,342158,6852,27891,259293,38658,39548,213285,31403,405424,240037,2022-11-15T11:02:07.129000-05:00,25.31,32.67,100360_9606_705204,20221115_1101_agritech_bfusmalljarfresh_3_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,98ac827f-5b28-4e6a-8d67-3ab183a7cebe,baseline,fresh
7.0,1.0,12002,87584,29042,44876,218005,19653,133300,68116,190614,84047,101749,27613,12015,76974,5449,1443,59661,29054,105584,252995,173709,21591,342223,6849,27875,259336,38661,39546,213440,31408,405209,240012,2022-11-15T11:02:08.129000-05:00,25.316934984520124,32.66075335397317,100360_9606_705204,20221115_1101_agritech_bfusmalljarfresh_3_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,98ac827f-5b28-4e6a-8d67-3ab183a7cebe,baseline,fresh
8.0,1.0,12001,87600,29073,44857,217966,19651,133256,68132,190631,84038,101736,27581,12015,77004,5450,1443,59637,29052,105989,252997,173636,21603,342289,6844,27875,259290,38660,39540,213378,31394,405257,240099,2022-11-15T11:02:09.129000-05:00,25.342659019812306,32.6273409801877,100360_9606_705204,20221115_1101_agritech_bfusmalljarfresh_3_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,98ac827f-5b28-4e6a-8d67-3ab183a7cebe,baseline,fresh
9.0,1.0,12003,87585,29088,44831,217893,19655,133258,68152,190626,84044,101724,27563,12017,77005,5446,1442,59621,29049,105993,252941,173484,21598,342049,6843,27872,259270,38650,39530,213326,31389,405424,240119,2022-11-15T11:02:10.129000-05:00,25.34694845360825,32.62305154639175,100360_9606_705204,20221115_1101_agritech_bfusmalljarfresh_3_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,98ac827f-5b28-4e6a-8d67-3ab183a7cebe,baseline,fresh
