seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state,label
0.0,1.0,12105,90703,29117,46496,218923,19827,133623,68252,191260,85726,105888,37560,12099,77809,5531,1447,60029,29263,105860,251965,175373,21677,345551,6866,28395,261871,40310,42604,222606,32952,406817,240282,2022-11-15T11:44:36.801000-05:00,25.11,33.74,100360_9606_705204,20221115_1144_agritech_bfusmalljarfresh_7_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,47e18384-14cf-4544-a380-411e08ef67b0,baseline,fresh
1.0,1.0,12105,90646,29137,46499,218942,19829,133790,68211,191265,85705,105945,37518,12099,77747,5530,1448,60061,29250,106094,251979,175458,21684,345299,6861,28391,261664,40311,42587,222293,32935,407057,240335,2022-11-15T11:44:37.801000-05:00,25.12936016511868,33.7,100360_9606_705204,20221115_1144_agritech_bfusmalljarfresh_7_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,47e18384-14cf-4544-a380-411e08ef67b0,baseline,fresh
2.0,1.0,12103,90676,29106,46478,218925,19830,133798,68204,191355,85694,105945,37484,12099,77729,5531,1449,60028,29250,105955,251950,175335,21677,345504,6859,28401,261545,40332,42577,222292,32931,406683,240477,2022-11-15T11:44:38.801000-05:00,25.11,33.69872164948454,100360_9606_705204,20221115_1144_agritech_bfusmalljarfresh_7_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,47e18384-14cf-4544-a380-411e08ef67b0,baseline,fresh
3.0,1.0,12106,90655,29108,46461,218983,19837,133762,68186,191295,85704,105941,37459,12097,77887,5529,1447,60026,29258,105978,251968,175210,21675,345483,6858,28411,261708,40316,42554,222439,32917,406848,240459,2022-11-15T11:44:39.801000-05:00,25.111896907216494,33.680948453608245,100360_9606_705204,20221115_1144_agritech_bfusmalljarfresh_7_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,47e18384-14cf-4544-a380-411e08ef67b0,baseline,fresh
4.0,1.0,12104,90634,29100,46483,219032,19832,133787,68231,191240,85655,105928,37426,12097,77867,5525,1447,60063,29264,106141,251977,175296,21655,345582,6857,28401,261811,40305,42568,222384,32910,406635,240254,2022-11-15T11:44:40.801000-05:00,25.127428872497365,33.68614330874605,100360_9606_705204,20221115_1144_agritech_bfusmalljarfresh_7_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,47e18384-14cf-4544-a380-411e08ef67b0,baseline,fresh
5.0,1.0,12104,90622,29110,46427,219009,19837,133823,68272,191217,85681,105937,37382,12098,77779,5527,1446,60020,29259,106106,251891,175294,21664,345723,6853,28395,261781,40300,42535,222233,32909,406672,240197,2022-11-15T11:44:41.801000-05:00,25.115350515463916,33.658216494845355,100360_9606_705204,20221115_1144_agritech_bfusmalljarfresh_7_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,47e18384-14cf-4544-a380-411e08ef67b0,baseline,fresh
6.0,1.0,12105,90623,29123,46449,218980,19828,133639,68254,191271,85666,105930,37374,12099,77746,5527,1444,60058,29247,106078,251909,175366,21668,345662,6853,28398,261776,40285,42509,222379,32904,406895,240324,2022-11-15T11:44:42.801000-05:00,25.12952528379773,33.64581011351909,100360_9606_705204,20221115_1144_agritech_bfusmalljarfresh_7_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,47e18384-14cf-4544-a380-411e08ef67b0,baseline,fresh
7.0,1.0,12102,90638,29113,46419,218886,19829,133691,68266,191301,85663,105923,37341,12099,77840,5526,1447,60067,29236,106238,251935,175216,21675,345457,6850,28404,261850,40294,42506,222475,32894,406745,240383,2022-11-15T11:44:43.801000-05:00,25.0924173553719,33.63,100360_9606_705204,20221115_1144_agritech_bfusmalljarfresh_7_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,47e18384-14cf-4544-a380-411e08ef67b0,baseline,fresh
8.0,1.0,12103,90609,29095,46384,218811,19830,133733,68282,191299,85659,105903,37324,12098,77824,5526,1448,60032,29238,106204,251937,175244,21670,345450,6849,28380,261799,40283,42521,222274,32894,406920,240301,2022-11-15T11:44:44.801000-05:00,25.1027394438723,33.62452111225541,100360_9606_705204,20221115_1144_agritech_bfusmalljarfresh_7_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,47e18384-14cf-4544-a380-411e08ef67b0,baseline,fresh
9.0,1.0,12104,90589,29110,46384,218956,19834,133606,68284,191233,85680,105904,37296,12100,77833,5528,1446,60051,29249,106162,251873,175243,21674,345487,6846,28382,261777,40306,42499,222248,32893,407057,240507,2022-11-15T11:44:45.801000-05:00,25.11608875128999,33.61,100360_9606_705204,20221115_1144_agritech_bfusmalljarfresh_7_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,47e18384-14cf-4544-a380-411e08ef67b0,baseline,fresh
