seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state,label
0.0,1.0,12155,91936,29194,47542,219439,19920,134110,68466,191683,86447,107730,50987,12152,77892,5559,1450,60023,29390,106651,251787,175345,21721,348254,6804,28648,262772,40999,43921,226213,33801,406951,240924,2022-11-15T12:11:11.679000-05:00,25.04,35.28,100360_9606_705204,20221115_1211_agritech_bfusmalljarhumidity_9_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,983d4c9d-dfef-46e9-bbc9-6d57ed9c14ea,baseline,humidity
1.0,1.0,12160,91954,29218,47514,219391,19918,134003,68556,191645,86431,107720,50951,12150,77884,5558,1447,60028,29385,106638,251805,175511,21716,348330,6802,28642,262895,40996,43902,225938,33809,407482,241015,2022-11-15T12:11:12.679000-05:00,25.03031991744066,35.28063983488132,100360_9606_705204,20221115_1211_agritech_bfusmalljarhumidity_9_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,983d4c9d-dfef-46e9-bbc9-6d57ed9c14ea,baseline,humidity
2.0,1.0,12154,91977,29209,47531,219401,19915,134016,68523,191631,86436,107747,50960,12153,77911,5558,1447,59997,29393,106732,251745,175578,21709,348237,6800,28648,262818,41019,43913,226060,33800,407584,241031,2022-11-15T12:11:13.679000-05:00,25.04063917525773,35.298721649484534,100360_9606_705204,20221115_1211_agritech_bfusmalljarhumidity_9_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,983d4c9d-dfef-46e9-bbc9-6d57ed9c14ea,baseline,humidity
3.0,1.0,12153,91944,29191,47547,219386,19913,133918,68461,191645,86434,107718,50931,12151,77879,5554,1452,59963,29379,106727,251879,175512,21713,348425,6799,28643,262706,41022,43911,226198,33773,407334,240879,2022-11-15T12:11:14.679000-05:00,25.04713692946058,35.27904564315353,100360_9606_705204,20221115_1211_agritech_bfusmalljarhumidity_9_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,983d4c9d-dfef-46e9-bbc9-6d57ed9c14ea,baseline,humidity
4.0,1.0,12155,91936,29187,47512,219434,19917,134005,68478,191635,86441,107742,50926,12148,77905,5554,1450,59990,29387,106849,251811,175399,21697,348244,6795,28644,262817,41011,43916,226059,33807,407651,240984,2022-11-15T12:11:15.679000-05:00,25.018679050567595,35.27132094943241,100360_9606_705204,20221115_1211_agritech_bfusmalljarhumidity_9_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,983d4c9d-dfef-46e9-bbc9-6d57ed9c14ea,baseline,humidity
5.0,1.0,12156,91986,29190,47525,219489,19922,134138,68482,191597,86433,107720,50919,12151,77936,5553,1450,59987,29391,106916,251847,175544,21714,348233,6796,28653,262782,41001,43908,226054,33789,407522,241118,2022-11-15T12:11:16.679000-05:00,25.013281733746133,35.27671826625387,100360_9606_705204,20221115_1211_agritech_bfusmalljarhumidity_9_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,983d4c9d-dfef-46e9-bbc9-6d57ed9c14ea,baseline,humidity
6.0,1.0,12157,91961,29202,47502,219408,19916,134025,68505,191580,86457,107678,50910,12152,77880,5553,1450,60014,29391,106641,251853,175305,21722,348267,6800,28644,262671,41008,43902,226197,33802,407383,241005,2022-11-15T12:11:17.679000-05:00,25.03,35.26,100360_9606_705204,20221115_1211_agritech_bfusmalljarhumidity_9_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,983d4c9d-dfef-46e9-bbc9-6d57ed9c14ea,baseline,humidity
7.0,1.0,12155,91934,29189,47512,219443,19915,133961,68472,191629,86443,107731,50891,12151,77909,5556,1449,60002,29392,106828,251803,175396,21709,348516,6792,28637,262624,41015,43900,226082,33796,407496,240959,2022-11-15T12:11:18.679000-05:00,25.03233230134159,35.26233230134159,100360_9606_705204,20221115_1211_agritech_bfusmalljarhumidity_9_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,983d4c9d-dfef-46e9-bbc9-6d57ed9c14ea,baseline,humidity
8.0,1.0,12154,91955,29195,47491,219431,19913,133979,68468,191633,86425,107733,50877,12152,77887,5555,1448,60010,29395,106799,251828,175488,21706,348387,6793,28644,262566,41010,43890,226015,33785,407356,240920,2022-11-15T12:11:19.679000-05:00,25.03204334365325,35.26734778121775,100360_9606_705204,20221115_1211_agritech_bfusmalljarhumidity_9_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,983d4c9d-dfef-46e9-bbc9-6d57ed9c14ea,baseline,humidity
9.0,1.0,12158,91994,29217,47505,219353,19914,133936,68480,191689,86431,107731,50864,12154,77929,5557,1448,59966,29395,106617,251814,175486,21709,348439,6794,28648,262611,41006,43893,225966,33805,407228,240906,2022-11-15T12:11:20.679000-05:00,25.01297213622291,35.25702786377709,100360_9606_705204,20221115_1211_agritech_bfusmalljarhumidity_9_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,983d4c9d-dfef-46e9-bbc9-6d57ed9c14ea,baseline,humidity
