seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state,label
0.0,1.0,12201,93683,29249,49077,220010,19999,133965,68598,192153,87222,111230,53164,12183,78754,5690,1449,60118,29505,106708,252647,176827,21766,350107,7267,28856,263703,41907,47394,234392,35979,408401,241493,2022-11-15T12:30:28.326000-05:00,24.86,37.3,100360_9606_705204,20221115_1230_agritech_bfusmalljarhumidity_10_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,d783c228-72ca-4009-9b89-487dea9ce5f6,baseline,humidity
1.0,1.0,12203,93679,29261,49041,219709,20001,134104,68550,192087,87238,111303,53138,12178,78749,5690,1452,60096,29499,106681,252773,176545,21774,350416,7265,28866,263787,41889,47377,234433,35945,408275,241515,2022-11-15T12:30:29.326000-05:00,24.89934088568486,37.3,100360_9606_705204,20221115_1230_agritech_bfusmalljarhumidity_10_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,d783c228-72ca-4009-9b89-487dea9ce5f6,baseline,humidity
2.0,1.0,12199,93669,29238,49027,219784,20005,134007,68551,192156,87232,111245,53106,12184,78673,5689,1452,60116,29497,106743,252605,176280,21757,350225,7265,28862,263684,41892,47378,234388,35960,408141,241264,2022-11-15T12:30:30.326000-05:00,24.878742268041236,37.29874226804124,100360_9606_705204,20221115_1230_agritech_bfusmalljarhumidity_10_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,d783c228-72ca-4009-9b89-487dea9ce5f6,baseline,humidity
3.0,1.0,12199,93699,29237,48997,219767,20009,133980,68543,192143,87243,111254,53090,12185,78662,5685,1452,60091,29498,106481,252673,176371,21758,350224,7262,28864,263810,41881,47351,234398,35933,408338,241426,2022-11-15T12:30:31.326000-05:00,24.86281443298969,37.27906185567011,100360_9606_705204,20221115_1230_agritech_bfusmalljarhumidity_10_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,d783c228-72ca-4009-9b89-487dea9ce5f6,baseline,humidity
4.0,1.0,12201,93693,29276,48994,219880,20008,133971,68544,192182,87250,111241,53051,12184,78704,5687,1452,60093,29512,106797,252603,176534,21742,350296,7262,28874,263843,41888,47330,234107,35938,408324,241453,2022-11-15T12:30:32.326000-05:00,24.89,37.27,100360_9606_705204,20221115_1230_agritech_bfusmalljarhumidity_10_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,d783c228-72ca-4009-9b89-487dea9ce5f6,baseline,humidity
5.0,1.0,12198,93695,29246,48999,219880,20005,134000,68507,192206,87246,111214,53059,12181,78703,5684,1451,60085,29499,106622,252658,176513,21749,349875,7255,28875,263857,41883,47338,234349,35956,408236,241480,2022-11-15T12:30:33.326000-05:00,24.89,37.266883384932925,100360_9606_705204,20221115_1230_agritech_bfusmalljarhumidity_10_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,d783c228-72ca-4009-9b89-487dea9ce5f6,baseline,humidity
6.0,1.0,12198,93714,29242,48998,219969,20003,134109,68528,192171,87266,111129,53046,12181,78763,5685,1451,60086,29511,106625,252676,176495,21751,349903,7254,28853,263702,41894,47336,234476,35931,408060,241259,2022-11-15T12:30:34.326000-05:00,24.891880165289255,37.25,100360_9606_705204,20221115_1230_agritech_bfusmalljarhumidity_10_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,d783c228-72ca-4009-9b89-487dea9ce5f6,baseline,humidity
7.0,1.0,12199,93707,29239,48999,219896,20010,134060,68518,192167,87258,111139,53013,12185,78761,5684,1451,60068,29502,106435,252627,176401,21755,350170,7252,28857,263828,41881,47317,234321,35922,407938,241247,2022-11-15T12:30:35.326000-05:00,24.89779608650875,37.24779608650876,100360_9606_705204,20221115_1230_agritech_bfusmalljarhumidity_10_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,d783c228-72ca-4009-9b89-487dea9ce5f6,baseline,humidity
8.0,1.0,12199,93670,29222,48995,219865,20010,134047,68507,192257,87246,111161,52957,12183,78735,5683,1451,60077,29496,106538,252665,176495,21752,350225,7253,28860,263723,41880,47304,234453,35919,407875,241219,2022-11-15T12:30:36.326000-05:00,24.87996904024768,37.23498452012384,100360_9606_705204,20221115_1230_agritech_bfusmalljarhumidity_10_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,d783c228-72ca-4009-9b89-487dea9ce5f6,baseline,humidity
9.0,1.0,12200,93639,29235,48985,219901,20014,133973,68545,192253,87246,111126,52915,12183,78715,5682,1452,60108,29498,106812,252670,176455,21752,350149,7250,28846,263746,41886,47288,234464,35904,407830,241345,2022-11-15T12:30:37.326000-05:00,24.858474226804123,37.22282474226804,100360_9606_705204,20221115_1230_agritech_bfusmalljarhumidity_10_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,d783c228-72ca-4009-9b89-487dea9ce5f6,baseline,humidity
