seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state,label
0.0,1.0,11960,85574,28972,45214,217129,19545,133613,67821,190596,82538,98055,32923,11989,76249,5441,1442,59391,28966,105573,256700,172526,21574,339478,6815,27239,258775,37427,39828,202932,31281,405516,239269,2022-11-15T10:42:29.121000-05:00,25.14,33.62,100360_9606_705204,20221115_1042_agritech_bfusmalljarmoldy_1_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,0384d85d-87a4-46d9-a5a1-5676351a2e1b,baseline,moldy
1.0,1.0,11960,85555,28971,45176,217172,19545,133469,67812,190625,82526,98028,32888,11986,76244,5445,1440,59315,28956,105575,256815,172551,21565,339792,6810,27231,258685,37430,39818,202961,31270,404918,239318,2022-11-15T10:42:30.121000-05:00,25.15,33.579040247678016,100360_9606_705204,20221115_1042_agritech_bfusmalljarmoldy_1_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,0384d85d-87a4-46d9-a5a1-5676351a2e1b,baseline,moldy
2.0,1.0,11961,85539,28988,45190,217099,19552,133435,67808,190585,82508,98072,32896,11986,76184,5442,1440,59320,28947,105378,256840,172580,21562,339713,6809,27228,258725,37418,39799,202926,31241,404891,239708,2022-11-15T10:42:31.121000-05:00,25.15,33.549360824742266,100360_9606_705204,20221115_1042_agritech_bfusmalljarmoldy_1_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,0384d85d-87a4-46d9-a5a1-5676351a2e1b,baseline,moldy
3.0,1.0,11960,85518,28976,45167,217051,19545,133500,67763,190603,82489,98065,32881,11986,76220,5442,1438,59324,28936,105222,256843,172592,21574,339643,6802,27231,258512,37424,39795,203040,31243,404686,239698,2022-11-15T10:42:32.121000-05:00,25.150959332638163,33.53904066736183,100360_9606_705204,20221115_1042_agritech_bfusmalljarmoldy_1_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,0384d85d-87a4-46d9-a5a1-5676351a2e1b,baseline,moldy
4.0,1.0,11959,85507,28968,45152,217095,19549,133526,67791,190530,82461,98062,32845,11987,76175,5439,1438,59361,28943,105108,256712,172650,21573,339571,6799,27238,258746,37411,39775,202923,31237,404955,239365,2022-11-15T10:42:33.121000-05:00,25.157254901960783,33.52725490196079,100360_9606_705204,20221115_1042_agritech_bfusmalljarmoldy_1_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,0384d85d-87a4-46d9-a5a1-5676351a2e1b,baseline,moldy
5.0,1.0,11958,85540,28972,45128,216981,19547,133457,67820,190536,82459,98033,32851,11987,76249,5434,1439,59354,28954,105289,256751,172573,21566,339450,6797,27214,258620,37409,39771,202876,31218,404929,239605,2022-11-15T10:42:34.121000-05:00,25.13830753353973,33.503230134158926,100360_9606_705204,20221115_1042_agritech_bfusmalljarmoldy_1_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,0384d85d-87a4-46d9-a5a1-5676351a2e1b,baseline,moldy
6.0,1.0,11959,85489,28974,45123,217026,19540,133416,67823,190527,82479,98009,32820,11987,76179,5434,1435,59393,28950,105287,256670,172452,21562,339593,6794,27215,258658,37403,39742,202917,31201,405159,239416,2022-11-15T10:42:35.121000-05:00,25.134045643153527,33.465954356846474,100360_9606_705204,20221115_1042_agritech_bfusmalljarmoldy_1_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,0384d85d-87a4-46d9-a5a1-5676351a2e1b,baseline,moldy
7.0,1.0,11963,85490,28965,45114,217000,19538,133379,67747,190561,82480,97991,32797,11986,76204,5433,1438,59395,28945,105800,256725,172663,21562,339644,6791,27227,258591,37407,39728,202881,31170,405607,239237,2022-11-15T10:42:36.121000-05:00,25.15,33.45238144329897,100360_9606_705204,20221115_1042_agritech_bfusmalljarmoldy_1_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,0384d85d-87a4-46d9-a5a1-5676351a2e1b,baseline,moldy
8.0,1.0,11961,85475,28972,45105,217006,19542,133305,67702,190645,82473,97991,32774,11988,76196,5435,1439,59400,28945,105506,256550,172616,21563,339933,6789,27240,258646,37409,39724,202778,31153,405144,239540,2022-11-15T10:42:37.121000-05:00,25.15,33.45191950464396,100360_9606_705204,20221115_1042_agritech_bfusmalljarmoldy_1_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,0384d85d-87a4-46d9-a5a1-5676351a2e1b,baseline,moldy
9.0,1.0,11960,85483,28967,45088,216986,19544,133432,67702,190543,82466,97970,32760,11988,76212,5432,1441,59347,28960,105384,256514,172552,21563,339743,6784,27239,258622,37417,39708,202743,31151,405028,239580,2022-11-15T10:42:38.121000-05:00,25.146986584107328,33.426986584107325,100360_9606_705204,20221115_1042_agritech_bfusmalljarmoldy_1_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,0384d85d-87a4-46d9-a5a1-5676351a2e1b,baseline,moldy
10.0,1.0,11959,85445,28953,45074,216961,19544,133576,67725,190502,82464,97978,32745,11988,76212,5432,1437,59356,28951,105002,256595,172561,21565,339664,6783,27223,258661,37415,39688,202846,31141,405055,239586,2022-11-15T10:42:39.121000-05:00,25.136666666666667,33.410000000000004,100360_9606_705204,20221115_1042_agritech_bfusmalljarmoldy_1_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,0384d85d-87a4-46d9-a5a1-5676351a2e1b,baseline,moldy
11.0,1.0,11962,85479,28949,45078,216987,19539,133609,67764,190556,82474,97957,32724,11987,76186,5432,1436,59385,28951,105157,256609,172593,21570,339701,6778,27211,258642,37410,39687,202830,31112,405161,239662,2022-11-15T10:42:40.121000-05:00,25.133653250773992,33.37904024767802,100360_9606_705204,20221115_1042_agritech_bfusmalljarmoldy_1_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,0384d85d-87a4-46d9-a5a1-5676351a2e1b,baseline,moldy
12.0,1.0,11961,85475,28954,45076,217073,19539,133597,67765,190594,82468,97946,32703,11984,76162,5431,1438,59351,28952,105405,256604,172404,21561,339631,6778,27215,258601,37407,39667,202864,31097,405257,239857,2022-11-15T10:42:41.121000-05:00,25.14,33.36396907216495,100360_9606_705204,20221115_1042_agritech_bfusmalljarmoldy_1_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,0384d85d-87a4-46d9-a5a1-5676351a2e1b,baseline,moldy
13.0,1.0,11957,85457,28961,45068,217054,19537,133335,67756,190627,82449,97940,32683,11984,76160,5431,1439,59339,28951,105307,256729,172331,21561,339608,6777,27211,258624,37400,39657,202853,31076,405129,239845,2022-11-15T10:42:42.121000-05:00,25.135717234262128,33.357151702786375,100360_9606_705204,20221115_1042_agritech_bfusmalljarmoldy_1_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,0384d85d-87a4-46d9-a5a1-5676351a2e1b,baseline,moldy
14.0,1.0,11956,85471,28959,45045,217015,19540,133306,67771,190579,82454,97951,32665,11987,76138,5429,1439,59347,28953,105289,256753,172340,21563,339753,6774,27208,258621,37394,39638,202869,31062,405002,239739,2022-11-15T10:42:43.121000-05:00,25.139205366357068,33.3261919504644,100360_9606_705204,20221115_1042_agritech_bfusmalljarmoldy_1_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,0384d85d-87a4-46d9-a5a1-5676351a2e1b,baseline,moldy
15.0,1.0,11959,85467,28960,45031,217070,19539,133285,67789,190519,82458,97930,32652,11986,76154,5427,1439,59365,28944,105679,256628,172591,21566,339793,6770,27199,258572,37390,39626,202837,31037,404915,239736,2022-11-15T10:42:44.121000-05:00,25.15,33.31,100360_9606_705204,20221115_1042_agritech_bfusmalljarmoldy_1_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,0384d85d-87a4-46d9-a5a1-5676351a2e1b,baseline,moldy
16.0,1.0,11961,85456,28960,45014,217142,19537,133224,67784,190545,82448,97929,32635,11985,76172,5428,1439,59398,28945,105372,256605,172744,21566,339716,6769,27195,258507,37381,39615,202746,31026,404839,239841,2022-11-15T10:42:45.121000-05:00,25.14465428276574,33.299308565531476,100360_9606_705204,20221115_1042_agritech_bfusmalljarmoldy_1_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,0384d85d-87a4-46d9-a5a1-5676351a2e1b,baseline,moldy
17.0,1.0,11963,85460,28960,45000,217146,19538,133324,67797,190552,82442,97939,32616,11985,76183,5427,1440,59389,28943,105080,256653,172598,21565,339649,6766,27207,258558,37380,39596,202738,31016,405102,239772,2022-11-15T10:42:46.121000-05:00,25.14,33.28434020618557,100360_9606_705204,20221115_1042_agritech_bfusmalljarmoldy_1_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,0384d85d-87a4-46d9-a5a1-5676351a2e1b,baseline,moldy
18.0,1.0,11961,85481,28969,44980,217145,19542,133353,67790,190508,82451,97918,32600,11983,76186,5427,1438,59399,28944,105105,256687,172546,21563,339500,6759,27214,258621,37384,39590,202780,30998,405080,239706,2022-11-15T10:42:47.121000-05:00,25.146101159114856,33.26169652265543,100360_9606_705204,20221115_1042_agritech_bfusmalljarmoldy_1_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,0384d85d-87a4-46d9-a5a1-5676351a2e1b,baseline,moldy
19.0,1.0,11958,85480,28963,44966,217118,19544,133340,67803,190491,82418,97914,32588,11986,76189,5428,1439,59369,28939,105307,256700,172438,21560,339738,6758,27208,258679,37382,39578,202754,30973,405210,239810,2022-11-15T10:42:48.121000-05:00,25.136996904024766,33.25,100360_9606_705204,20221115_1042_agritech_bfusmalljarmoldy_1_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,0384d85d-87a4-46d9-a5a1-5676351a2e1b,baseline,moldy
20.0,1.0,11959,85489,28962,44965,217112,19539,133444,67796,190501,82409,97902,32572,11986,76163,5427,1438,59364,28939,105258,256721,172339,21565,339902,6757,27183,258608,37381,39563,202724,30969,404955,239770,2022-11-15T10:42:49.121000-05:00,25.13,33.236357069143445,100360_9606_705204,20221115_1042_agritech_bfusmalljarmoldy_1_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,0384d85d-87a4-46d9-a5a1-5676351a2e1b,baseline,moldy
21.0,1.0,11960,85492,28960,44953,217118,19537,133512,67723,190541,82409,97905,32557,11984,76173,5425,1435,59352,28949,105339,256675,172491,21562,339788,6755,27196,258575,37386,39557,202709,30982,404868,239518,2022-11-15T10:42:50.121000-05:00,25.137141382868936,33.21571723426212,100360_9606_705204,20221115_1042_agritech_bfusmalljarmoldy_1_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,0384d85d-87a4-46d9-a5a1-5676351a2e1b,baseline,moldy
