seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state,label
0.0,1.0,12008,87804,29121,44684,218087,19667,133008,68001,190675,84228,102080,29368,12017,76859,5464,1443,59623,29078,105678,252293,173718,21596,341988,6717,27982,259635,38761,39000,214720,31117,404539,239703,2022-11-15T11:05:13.702000-05:00,25.39,32.44,100360_9606_705204,20221115_1105_agritech_bfusmalljarmoldy_3_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,1675bdf4-4184-480f-892a-e0013e6366ea,baseline,moldy
1.0,1.0,12012,87804,29114,44664,217852,19671,133054,67982,190623,84221,102040,29365,12018,76814,5462,1441,59638,29072,105939,252311,173861,21590,342139,6715,27966,259584,38767,38997,214701,31130,405043,239485,2022-11-15T11:05:14.702000-05:00,25.370320579110654,32.40967942088935,100360_9606_705204,20221115_1105_agritech_bfusmalljarmoldy_3_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,1675bdf4-4184-480f-892a-e0013e6366ea,baseline,moldy
2.0,1.0,12010,87804,29128,44647,218160,19668,133117,67983,190607,84232,102074,29339,12017,76869,5461,1445,59597,29080,105793,252254,173678,21577,342122,6713,27972,259478,38764,39003,214651,31122,404749,239459,2022-11-15T11:05:15.702000-05:00,25.380667361835243,32.4,100360_9606_705204,20221115_1105_agritech_bfusmalljarmoldy_3_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,1675bdf4-4184-480f-892a-e0013e6366ea,baseline,moldy
3.0,1.0,12010,87770,29135,44662,218037,19671,133040,67960,190651,84229,102060,29303,12017,76902,5461,1446,59596,29080,105706,252223,173806,21585,342004,6709,27983,259406,38763,38974,214597,31093,404637,239514,2022-11-15T11:05:16.702000-05:00,25.39108359133127,32.39891640866873,100360_9606_705204,20221115_1105_agritech_bfusmalljarmoldy_3_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,1675bdf4-4184-480f-892a-e0013e6366ea,baseline,moldy
4.0,1.0,12010,87788,29116,44676,218068,19677,132973,67997,190630,84210,102056,29300,12016,76878,5457,1441,59570,29074,105766,252132,173745,21580,342139,6708,27965,259444,38784,38963,214518,31084,405084,239565,2022-11-15T11:05:17.702000-05:00,25.39719587628866,32.38719587628866,100360_9606_705204,20221115_1105_agritech_bfusmalljarmoldy_3_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,1675bdf4-4184-480f-892a-e0013e6366ea,baseline,moldy
5.0,1.0,12010,87761,29100,44679,218083,19672,132931,67960,190634,84206,102065,29286,12016,76815,5461,1444,59614,29079,105712,252296,173540,21591,342158,6705,27949,259406,38766,38955,214658,31071,404966,239427,2022-11-15T11:05:18.702000-05:00,25.385139318885447,32.37,100360_9606_705204,20221115_1105_agritech_bfusmalljarmoldy_3_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,1675bdf4-4184-480f-892a-e0013e6366ea,baseline,moldy
6.0,1.0,12014,87761,29091,44655,218220,19670,133019,67987,190641,84197,102043,29261,12016,76780,5458,1444,59638,29064,106167,252271,173569,21582,342153,6705,27947,259627,38772,38958,214551,31060,404731,239434,2022-11-15T11:05:19.702000-05:00,25.40796487603306,32.36796487603306,100360_9606_705204,20221115_1105_agritech_bfusmalljarmoldy_3_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,1675bdf4-4184-480f-892a-e0013e6366ea,baseline,moldy
7.0,1.0,12012,87765,29104,44682,218227,19672,133093,67984,190586,84197,102037,29224,12018,76792,5457,1444,59643,29071,105937,252364,173747,21582,342258,6703,27971,259589,38778,38951,214545,31063,404974,239563,2022-11-15T11:05:20.702000-05:00,25.39763917525773,32.35763917525773,100360_9606_705204,20221115_1105_agritech_bfusmalljarmoldy_3_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,1675bdf4-4184-480f-892a-e0013e6366ea,baseline,moldy
8.0,1.0,12014,87756,29060,44659,218143,19676,133128,67963,190637,84185,102035,29210,12014,76829,5456,1444,59632,29068,106090,252413,173893,21584,342294,6701,27959,259547,38766,38946,214474,31065,405177,239326,2022-11-15T11:05:21.702000-05:00,25.387329896907218,32.35,100360_9606_705204,20221115_1105_agritech_bfusmalljarmoldy_3_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,1675bdf4-4184-480f-892a-e0013e6366ea,baseline,moldy
9.0,1.0,12010,87747,29092,44635,218070,19671,132999,68021,190601,84180,102017,29197,12013,76804,5453,1445,59626,29069,105993,252315,173866,21590,342133,6696,27962,259559,38762,38938,214493,31043,405208,239239,2022-11-15T11:05:22.702000-05:00,25.38,32.3440350877193,100360_9606_705204,20221115_1105_agritech_bfusmalljarmoldy_3_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,1675bdf4-4184-480f-892a-e0013e6366ea,baseline,moldy
10.0,1.0,12010,87727,29093,44617,217998,19674,133024,68042,190580,84169,102009,29175,12016,76779,5453,1443,59651,29070,105947,252355,173653,21587,342009,6696,27959,259531,38755,38938,214456,31028,405282,239158,2022-11-15T11:05:23.702000-05:00,25.370092879256966,32.33,100360_9606_705204,20221115_1105_agritech_bfusmalljarmoldy_3_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,1675bdf4-4184-480f-892a-e0013e6366ea,baseline,moldy
