seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state,label
0.0,1.0,12038,88422,29058,44717,218256,19729,133377,67748,190948,84507,102851,35704,12044,77186,5434,1444,59764,29161,106486,251707,174148,21575,343416,6528,28068,259652,39177,39166,216021,30927,406294,239694,2022-11-15T11:19:02.910000-05:00,25.21,32.02,100360_9606_705204,20221115_1118_agritech_bfusmalljarmoldy_4_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,faf58d74-9894-47da-b754-58122341764b,baseline,moldy
1.0,1.0,12038,88396,29056,44726,218331,19721,133187,67779,190926,84501,102817,35670,12039,77159,5434,1446,59783,29156,106473,251543,174160,21584,343309,6531,28084,259668,39159,39161,216180,30919,406202,239638,2022-11-15T11:19:03.910000-05:00,25.22,32.009690082644624,100360_9606_705204,20221115_1118_agritech_bfusmalljarmoldy_4_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,faf58d74-9894-47da-b754-58122341764b,baseline,moldy
2.0,1.0,12038,88388,29058,44735,218407,19727,133465,67800,190930,84505,102838,35666,12041,77166,5432,1444,59784,29155,106435,251621,174022,21588,343300,6526,28081,259773,39172,39162,216096,30915,406236,239712,2022-11-15T11:19:04.910000-05:00,25.21744329896907,31.99936082474227,100360_9606_705204,20221115_1118_agritech_bfusmalljarmoldy_4_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,faf58d74-9894-47da-b754-58122341764b,baseline,moldy
3.0,1.0,12041,88374,29058,44741,218378,19726,133623,67773,190917,84490,102765,35639,12038,77121,5433,1445,59814,29164,106031,251605,173942,21573,343181,6525,28090,259679,39162,39150,216210,30908,406253,239492,2022-11-15T11:19:05.910000-05:00,25.182845360824743,31.99,100360_9606_705204,20221115_1118_agritech_bfusmalljarmoldy_4_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,faf58d74-9894-47da-b754-58122341764b,baseline,moldy
4.0,1.0,12040,88390,29114,44747,218438,19722,133477,67786,190857,84502,102813,35630,12042,77097,5432,1448,59818,29174,106347,251604,174107,21580,343244,6524,28080,259752,39173,39163,216177,30918,406040,239450,2022-11-15T11:19:06.910000-05:00,25.21,31.991261633919336,100360_9606_705204,20221115_1118_agritech_bfusmalljarmoldy_4_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,faf58d74-9894-47da-b754-58122341764b,baseline,moldy
5.0,1.0,12039,88353,29071,44745,218413,19722,133341,67779,190842,84479,102807,35608,12042,77084,5428,1445,59815,29176,106235,251541,174234,21581,343198,6523,28066,259606,39177,39141,216187,30905,406050,239417,2022-11-15T11:19:07.910000-05:00,25.208402061855672,31.99680412371134,100360_9606_705204,20221115_1118_agritech_bfusmalljarmoldy_4_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,faf58d74-9894-47da-b754-58122341764b,baseline,moldy
6.0,1.0,12038,88340,29064,44738,218270,19724,133412,67758,190838,84468,102792,35592,12040,77072,5434,1444,59834,29167,106364,251561,174266,21573,342990,6523,28100,259593,39160,39132,216128,30912,406002,239671,2022-11-15T11:19:08.910000-05:00,25.2,31.978092783505154,100360_9606_705204,20221115_1118_agritech_bfusmalljarmoldy_4_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,faf58d74-9894-47da-b754-58122341764b,baseline,moldy
7.0,1.0,12038,88338,29063,44725,218285,19723,133369,67788,190860,84483,102778,35570,12037,77099,5433,1444,59794,29165,106326,251585,174184,21582,343077,6523,28086,259613,39159,39133,216083,30908,406029,239807,2022-11-15T11:19:09.910000-05:00,25.20664263645726,31.97442842430484,100360_9606_705204,20221115_1118_agritech_bfusmalljarmoldy_4_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,faf58d74-9894-47da-b754-58122341764b,baseline,moldy
8.0,1.0,12035,88349,29061,44709,218204,19723,133465,67831,190905,84480,102788,35549,12037,77135,5431,1446,59780,29162,106241,251608,174146,21582,343074,6521,28087,259655,39154,39119,216188,30905,406196,239919,2022-11-15T11:19:10.910000-05:00,25.224963880288957,31.982445820433437,100360_9606_705204,20221115_1118_agritech_bfusmalljarmoldy_4_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,faf58d74-9894-47da-b754-58122341764b,baseline,moldy
9.0,1.0,12040,88341,29062,44703,218314,19724,133480,67824,190919,84480,102778,35537,12037,77124,5432,1446,59754,29161,106164,251624,174163,21576,343091,6519,28093,259679,39151,39120,216082,30895,406282,239793,2022-11-15T11:19:11.910000-05:00,25.20432404540764,31.962837977296182,100360_9606_705204,20221115_1118_agritech_bfusmalljarmoldy_4_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,faf58d74-9894-47da-b754-58122341764b,baseline,moldy
