seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state,label
0.0,1.0,12086,90210,29082,46112,218848,19814,133684,68344,191226,85572,105270,43750,12091,77378,5492,1448,59971,29274,105908,251780,174994,21643,345176,6613,28386,261580,40070,41352,220688,32386,407025,240744,2022-11-15T11:41:11.650000-05:00,25.14,33.83,100360_9606_705204,20221115_1141_agritech_bfusmalljarmoldy_6_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,217a4505-d36d-40d6-9e10-636b0b5aa719,baseline,moldy
1.0,1.0,12086,90186,29092,46114,218885,19815,133629,68309,191247,85561,105238,43700,12090,77392,5491,1446,59972,29266,105575,251890,175040,21638,345374,6612,28369,261501,40072,41341,220689,32359,406868,240593,2022-11-15T11:41:12.650000-05:00,25.15,33.82,100360_9606_705204,20221115_1141_agritech_bfusmalljarmoldy_6_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,217a4505-d36d-40d6-9e10-636b0b5aa719,baseline,moldy
2.0,1.0,12084,90207,29077,46096,218855,19818,133694,68312,191238,85518,105192,43686,12094,77380,5491,1446,59947,29270,105818,251745,175063,21634,345532,6609,28347,261443,40075,41341,220832,32353,406909,240639,2022-11-15T11:41:13.650000-05:00,25.15,33.818726513569935,100360_9606_705204,20221115_1141_agritech_bfusmalljarmoldy_6_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,217a4505-d36d-40d6-9e10-636b0b5aa719,baseline,moldy
3.0,1.0,12081,90147,29083,46123,219042,19809,133836,68268,191270,85544,105208,43655,12091,77393,5491,1450,59981,29270,105534,251711,175026,21631,345416,6610,28353,261504,40079,41326,220704,32353,407005,240668,2022-11-15T11:41:14.650000-05:00,25.14787628865979,33.8,100360_9606_705204,20221115_1141_agritech_bfusmalljarmoldy_6_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,217a4505-d36d-40d6-9e10-636b0b5aa719,baseline,moldy
4.0,1.0,12084,90138,29077,46091,218873,19809,133858,68270,191230,85548,105170,43632,12090,77427,5488,1447,59947,29265,105470,251738,175003,21624,345359,6610,28350,261453,40079,41326,220675,32364,406922,240637,2022-11-15T11:41:15.650000-05:00,25.131378238341966,33.798621761658026,100360_9606_705204,20221115_1141_agritech_bfusmalljarmoldy_6_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,217a4505-d36d-40d6-9e10-636b0b5aa719,baseline,moldy
5.0,1.0,12082,90189,29087,46069,218937,19814,133790,68259,191234,85553,105164,43606,12091,77374,5488,1445,59955,29272,105516,251704,174959,21625,345247,6609,28344,261403,40074,41314,220769,32328,407038,240569,2022-11-15T11:41:16.650000-05:00,25.141731958762886,33.78307216494845,100360_9606_705204,20221115_1141_agritech_bfusmalljarmoldy_6_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,217a4505-d36d-40d6-9e10-636b0b5aa719,baseline,moldy
6.0,1.0,12083,90150,29090,46094,218899,19813,133746,68236,191274,85539,105156,43556,12093,77362,5488,1445,59985,29274,105657,251703,175027,21626,345483,6607,28337,261448,40083,41305,220672,32339,407087,240447,2022-11-15T11:41:17.650000-05:00,25.14377358490566,33.74792452830189,100360_9606_705204,20221115_1141_agritech_bfusmalljarmoldy_6_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,217a4505-d36d-40d6-9e10-636b0b5aa719,baseline,moldy
7.0,1.0,12085,90154,29085,46073,218850,19807,133741,68209,191223,85529,105166,43547,12094,77347,5486,1446,59994,29270,105708,251689,174841,21637,345336,6604,28333,261488,40081,41304,220601,32326,407223,240550,2022-11-15T11:41:18.650000-05:00,25.127554179566562,33.73748194014448,100360_9606_705204,20221115_1141_agritech_bfusmalljarmoldy_6_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,217a4505-d36d-40d6-9e10-636b0b5aa719,baseline,moldy
8.0,1.0,12085,90155,29079,46068,218828,19802,133799,68221,191182,85530,105170,43530,12091,77313,5487,1447,59987,29279,105468,251716,174888,21635,345392,6605,28351,261481,40074,41305,220705,32318,406904,240619,2022-11-15T11:41:19.650000-05:00,25.147164948453607,33.73,100360_9606_705204,20221115_1141_agritech_bfusmalljarmoldy_6_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,217a4505-d36d-40d6-9e10-636b0b5aa719,baseline,moldy
9.0,1.0,12082,90163,29084,46057,218759,19806,133754,68263,191174,85536,105129,43497,12091,77373,5487,1448,59965,29272,105327,251746,174904,21631,345335,6603,28358,261528,40071,41289,220638,32319,406909,240614,2022-11-15T11:41:20.650000-05:00,25.14,33.73,100360_9606_705204,20221115_1141_agritech_bfusmalljarmoldy_6_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,217a4505-d36d-40d6-9e10-636b0b5aa719,baseline,moldy
