seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state,label
0.0,1.0,12160,91738,29163,47226,219223,19931,133926,68392,191604,86322,107493,52247,12147,77912,5533,1448,60038,29372,107190,251714,175130,21698,348784,6717,28592,262538,40931,43545,225457,33445,407103,241202,2022-11-15T12:14:24.295000-05:00,24.94,34.64,100360_9606_705204,20221115_1214_agritech_bfusmalljarmoldy_9_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,de21dcb4-0ba3-49cd-9424-6e3c29d960d7,baseline,moldy
1.0,1.0,12158,91757,29211,47222,219267,19928,134069,68396,191631,86271,107508,52238,12150,77887,5531,1447,60007,29378,106969,251672,175253,21697,348434,6716,28605,262568,40943,43549,225425,33435,406831,240846,2022-11-15T12:14:25.295000-05:00,24.94917525773196,34.65917525773195,100360_9606_705204,20221115_1214_agritech_bfusmalljarmoldy_9_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,de21dcb4-0ba3-49cd-9424-6e3c29d960d7,baseline,moldy
2.0,1.0,12159,91775,29204,47218,219226,19930,134038,68352,191629,86273,107489,52214,12146,77884,5531,1447,60025,29374,106864,251825,175239,21698,348676,6715,28577,262511,40952,43548,225514,33439,407245,240816,2022-11-15T12:14:26.295000-05:00,24.929277605779152,34.64,100360_9606_705204,20221115_1214_agritech_bfusmalljarmoldy_9_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,de21dcb4-0ba3-49cd-9424-6e3c29d960d7,baseline,moldy
3.0,1.0,12161,91753,29206,47243,219325,19927,133882,68388,191581,86257,107498,52196,12149,77872,5532,1449,60030,29393,106393,251755,175216,21703,348576,6715,28563,262369,40936,43538,225505,33456,407485,240590,2022-11-15T12:14:27.295000-05:00,24.9189587628866,34.6379175257732,100360_9606_705204,20221115_1214_agritech_bfusmalljarmoldy_9_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,de21dcb4-0ba3-49cd-9424-6e3c29d960d7,baseline,moldy
4.0,1.0,12160,91748,29211,47204,219267,19924,133837,68370,191561,86263,107525,52185,12150,77859,5527,1448,60049,29377,106347,251765,175135,21694,348568,6717,28568,262510,40931,43553,225637,33454,407172,240819,2022-11-15T12:14:28.295000-05:00,24.908646694214877,34.62135330578512,100360_9606_705204,20221115_1214_agritech_bfusmalljarmoldy_9_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,de21dcb4-0ba3-49cd-9424-6e3c29d960d7,baseline,moldy
5.0,1.0,12158,91778,29198,47236,219338,19924,133784,68348,191530,86271,107489,52186,12150,77817,5530,1447,60013,29381,106255,251780,175056,21698,348369,6716,28575,262635,40932,43552,225718,33441,407186,240849,2022-11-15T12:14:29.295000-05:00,24.9,34.63,100360_9606_705204,20221115_1214_agritech_bfusmalljarmoldy_9_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,de21dcb4-0ba3-49cd-9424-6e3c29d960d7,baseline,moldy
6.0,1.0,12162,91762,29208,47235,219263,19925,133825,68348,191536,86282,107458,52222,12147,77785,5530,1449,59996,29384,106843,251729,174969,21694,348441,6714,28574,262690,40951,43543,225571,33438,407576,240584,2022-11-15T12:14:30.295000-05:00,24.909938208032955,34.63,100360_9606_705204,20221115_1214_agritech_bfusmalljarmoldy_9_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,de21dcb4-0ba3-49cd-9424-6e3c29d960d7,baseline,moldy
7.0,1.0,12161,91749,29225,47265,219270,19929,133901,68349,191522,86268,107455,52204,12150,77837,5531,1448,59989,29384,106663,251607,175216,21702,348375,6713,28565,262711,40940,43552,225409,33441,407434,240601,2022-11-15T12:14:31.295000-05:00,24.95,34.632291021671826,100360_9606_705204,20221115_1214_agritech_bfusmalljarmoldy_9_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,de21dcb4-0ba3-49cd-9424-6e3c29d960d7,baseline,moldy
8.0,1.0,12161,91782,29194,47249,219263,19919,133951,68338,191514,86266,107458,52201,12149,77848,5529,1451,60009,29398,106438,251689,175295,21699,348353,6713,28570,262623,40937,43560,225438,33454,407320,240613,2022-11-15T12:14:32.295000-05:00,24.944778121775027,34.63216718266254,100360_9606_705204,20221115_1214_agritech_bfusmalljarmoldy_9_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,de21dcb4-0ba3-49cd-9424-6e3c29d960d7,baseline,moldy
9.0,1.0,12162,91789,29174,47238,219316,19922,133891,68359,191631,86280,107464,52195,12149,77897,5532,1449,59993,29396,106667,251735,175223,21704,348360,6713,28578,262539,40937,43562,225302,33457,407117,240630,2022-11-15T12:14:33.295000-05:00,24.927056994818653,34.61588601036269,100360_9606_705204,20221115_1214_agritech_bfusmalljarmoldy_9_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,de21dcb4-0ba3-49cd-9424-6e3c29d960d7,baseline,moldy
