seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state,label
0.0,1.0,12305,98111,29395,51398,221220,20136,133786,68848,192404,87624,134843,55261,12197,80714,5784,1457,60082,29609,104334,252885,177633,21642,349782,8677,28890,262026,42377,51238,287076,38418,408159,242250,2022-11-15T14:50:06.987000-05:00,25.04,35.27,100360_9606_705204,20221115_1449_agritech_batch2bfusmalljarfresh_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,441c4897-eaea-46ec-bb62-9007a418b62c,baseline,fresh
1.0,1.0,12307,98089,29392,51376,221220,20132,133645,68924,192401,87636,134905,55189,12196,80732,5781,1457,60087,29623,104420,252767,177899,21640,349828,8672,28889,262013,42358,51210,286940,38411,408385,242218,2022-11-15T14:50:07.987000-05:00,25.069680412371135,35.279041237113404,100360_9606_705204,20221115_1449_agritech_batch2bfusmalljarfresh_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,441c4897-eaea-46ec-bb62-9007a418b62c,baseline,fresh
2.0,1.0,12303,98102,29379,51382,221249,20132,133958,68968,192338,87627,134910,55146,12197,80746,5778,1454,60072,29618,104545,253021,177682,21646,349443,8667,28915,261915,42357,51204,287121,38416,408094,242071,2022-11-15T14:50:08.987000-05:00,25.056191467221645,35.24873048907388,100360_9606_705204,20221115_1449_agritech_batch2bfusmalljarfresh_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,441c4897-eaea-46ec-bb62-9007a418b62c,baseline,fresh
3.0,1.0,12304,98091,29413,51368,221088,20136,133479,68967,192268,87587,134798,55117,12198,80716,5779,1456,60074,29613,104847,252865,177754,21645,349538,8667,28900,261908,42339,51202,286775,38372,407801,242106,2022-11-15T14:50:09.987000-05:00,25.004119464469618,35.2310298661174,100360_9606_705204,20221115_1449_agritech_batch2bfusmalljarfresh_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,441c4897-eaea-46ec-bb62-9007a418b62c,baseline,fresh
4.0,1.0,12304,98117,29379,51341,221197,20136,133637,68995,192275,87621,134794,55095,12196,80710,5775,1457,60097,29612,104682,253042,177673,21639,349386,8666,28886,261926,42338,51167,286855,38337,408163,242061,2022-11-15T14:50:10.987000-05:00,25.04,35.23467492260062,100360_9606_705204,20221115_1449_agritech_batch2bfusmalljarfresh_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,441c4897-eaea-46ec-bb62-9007a418b62c,baseline,fresh
5.0,1.0,12304,98075,29404,51307,221325,20130,133629,68955,192227,87606,134766,55027,12197,80745,5774,1458,60099,29606,104824,252948,177838,21638,349526,8662,28893,262028,42336,51182,286903,38325,408194,242148,2022-11-15T14:50:11.987000-05:00,25.041651186790507,35.2,100360_9606_705204,20221115_1449_agritech_batch2bfusmalljarfresh_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,441c4897-eaea-46ec-bb62-9007a418b62c,baseline,fresh
6.0,1.0,12304,98081,29406,51300,221268,20133,133680,68934,192235,87594,134728,54980,12197,80756,5776,1457,60111,29609,104771,252850,177740,21635,349634,8655,28895,262059,42341,51163,286634,38301,408340,242128,2022-11-15T14:50:12.987000-05:00,25.04803092783505,35.1960618556701,100360_9606_705204,20221115_1449_agritech_batch2bfusmalljarfresh_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,441c4897-eaea-46ec-bb62-9007a418b62c,baseline,fresh
7.0,1.0,12304,98036,29421,51288,221218,20129,133716,68903,192242,87588,134714,54965,12199,80755,5774,1457,60105,29623,104912,252923,177712,21629,349610,8650,28903,262060,42335,51150,286738,38314,408062,242244,2022-11-15T14:50:13.987000-05:00,25.046842105263156,35.175438596491226,100360_9606_705204,20221115_1449_agritech_batch2bfusmalljarfresh_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,441c4897-eaea-46ec-bb62-9007a418b62c,baseline,fresh
8.0,1.0,12304,98004,29402,51293,221238,20135,133692,68898,192231,87593,134649,54920,12200,80758,5773,1457,60121,29612,104647,252867,177491,21633,349508,8646,28886,261980,42333,51111,286643,38284,408175,242211,2022-11-15T14:50:14.987000-05:00,25.056996904024768,35.154798761609904,100360_9606_705204,20221115_1449_agritech_batch2bfusmalljarfresh_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,441c4897-eaea-46ec-bb62-9007a418b62c,baseline,fresh
9.0,1.0,12304,98006,29390,51264,221208,20134,133728,68918,192258,87591,134536,54894,12199,80677,5773,1456,60111,29619,104635,252937,177421,21642,349551,8643,28874,261983,42321,51103,286524,38275,408208,242261,2022-11-15T14:50:15.987000-05:00,25.017079463364293,35.137079463364294,100360_9606_705204,20221115_1449_agritech_batch2bfusmalljarfresh_3_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,441c4897-eaea-46ec-bb62-9007a418b62c,baseline,fresh
