seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state,label
0.0,1.0,12360,99299,29349,51956,221634,20232,133629,68990,192499,87799,139102,67049,12221,80274,5822,1459,60066,29701,104568,252842,177779,21631,351460,8296,29098,261936,42603,49232,301131,37261,410049,242408,2022-11-15T15:21:08.354000-05:00,25.02,35.64,100360_9606_705204,20221115_1520_agritech_batch2bfusmalljarfresh_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,57444974-f870-41b2-9a59-74b8cd3894f6,baseline,fresh
1.0,1.0,12359,99274,29325,51949,221796,20227,133788,69021,192514,87799,139167,67090,12222,80279,5822,1457,60064,29697,104423,252652,177935,21633,351589,8297,29086,261969,42581,49204,300877,37212,409772,242251,2022-11-15T15:21:09.354000-05:00,25.02906928645295,35.64,100360_9606_705204,20221115_1520_agritech_batch2bfusmalljarfresh_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,57444974-f870-41b2-9a59-74b8cd3894f6,baseline,fresh
2.0,1.0,12360,99289,29313,51951,221775,20226,133798,68993,192569,87780,139072,67101,12220,80330,5822,1458,60050,29681,104713,252662,177660,21630,351425,8299,29084,261935,42589,49191,301038,37251,410053,242369,2022-11-15T15:21:10.354000-05:00,25.000648815653964,35.63740473738414,100360_9606_705204,20221115_1520_agritech_batch2bfusmalljarfresh_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,57444974-f870-41b2-9a59-74b8cd3894f6,baseline,fresh
3.0,1.0,12359,99299,29329,51963,221597,20226,133897,69008,192530,87786,139049,67043,12221,80332,5821,1458,60035,29693,104703,252753,177928,21629,351705,8298,29078,261861,42581,49186,300921,37231,409923,242390,2022-11-15T15:21:11.354000-05:00,25.011894953656025,35.60189495365603,100360_9606_705204,20221115_1520_agritech_batch2bfusmalljarfresh_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,57444974-f870-41b2-9a59-74b8cd3894f6,baseline,fresh
4.0,1.0,12359,99301,29354,51943,221632,20230,133519,68930,192560,87777,139017,67067,12219,80315,5820,1459,60027,29703,104361,252755,177926,21629,351404,8295,29089,261904,42580,49213,300940,37237,410101,242203,2022-11-15T15:21:12.354000-05:00,25.027502579979362,35.61750257997936,100360_9606_705204,20221115_1520_agritech_batch2bfusmalljarfresh_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,57444974-f870-41b2-9a59-74b8cd3894f6,baseline,fresh
5.0,1.0,12361,99285,29316,51940,221774,20231,133731,68954,192469,87788,138883,67051,12222,80298,5820,1457,60025,29699,104405,252703,178028,21620,351335,8294,29071,262004,42594,49201,300838,37231,410128,242443,2022-11-15T15:21:13.354000-05:00,25.01,35.6,100360_9606_705204,20221115_1520_agritech_batch2bfusmalljarfresh_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,57444974-f870-41b2-9a59-74b8cd3894f6,baseline,fresh
6.0,1.0,12359,99302,29316,51934,221629,20227,133715,68973,192460,87790,138892,67033,12222,80340,5821,1454,60000,29699,104523,252712,177914,21623,351687,8290,29090,262023,42597,49166,300914,37229,409985,242370,2022-11-15T15:21:14.354000-05:00,25.01188465499485,35.5962306900103,100360_9606_705204,20221115_1520_agritech_batch2bfusmalljarfresh_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,57444974-f870-41b2-9a59-74b8cd3894f6,baseline,fresh
7.0,1.0,12360,99264,29323,51939,221675,20228,133717,68997,192575,87796,139050,67020,12222,80304,5820,1454,60038,29696,104206,252780,177950,21614,351480,8287,29081,261928,42578,49173,300846,37225,409944,242332,2022-11-15T15:21:15.354000-05:00,25.01781443298969,35.582185567010306,100360_9606_705204,20221115_1520_agritech_batch2bfusmalljarfresh_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,57444974-f870-41b2-9a59-74b8cd3894f6,baseline,fresh
8.0,1.0,12362,99268,29325,51930,221665,20228,133731,69006,192570,87784,139107,66989,12221,80343,5820,1457,60036,29689,104530,252779,177996,21614,351389,8290,29081,261968,42599,49162,300809,37234,409934,242291,2022-11-15T15:21:16.354000-05:00,25.00500515995872,35.585005159958726,100360_9606_705204,20221115_1520_agritech_batch2bfusmalljarfresh_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,57444974-f870-41b2-9a59-74b8cd3894f6,baseline,fresh
9.0,1.0,12360,99278,29353,51913,221633,20230,133799,68965,192483,87786,139060,66948,12220,80351,5821,1457,60000,29693,104399,252779,178024,21624,351468,8288,29076,262029,42595,49155,300864,37240,410088,242313,2022-11-15T15:21:17.354000-05:00,24.99282024793388,35.57282024793388,100360_9606_705204,20221115_1520_agritech_batch2bfusmalljarfresh_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,57444974-f870-41b2-9a59-74b8cd3894f6,baseline,fresh
