seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state,label
0.0,1.0,12389,100180,29416,53062,222194,20287,133539,69005,192983,88397,143542,75088,12237,80968,5920,1459,60100,29754,105198,253179,178463,21664,353143,8730,29412,262975,43036,51286,311576,38811,410273,242297,2022-11-15T15:30:59.889000-05:00,24.94,38.24,100360_9606_705204,20221115_1530_agritech_batch2bfusmalljarfresh_7_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,304cff93-04c9-4b87-9714-883e5d73346b,baseline,fresh
1.0,1.0,12391,100184,29436,53009,222018,20281,133792,69026,192920,88385,143539,75085,12238,80917,5922,1456,60190,29760,105029,253180,178437,21667,353114,8725,29372,262970,43037,51293,311413,38829,410558,242565,2022-11-15T15:31:00.889000-05:00,24.931651186790507,38.219587203302375,100360_9606_705204,20221115_1530_agritech_batch2bfusmalljarfresh_7_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,304cff93-04c9-4b87-9714-883e5d73346b,baseline,fresh
2.0,1.0,12385,100202,29427,53057,222000,20283,133770,69025,192956,88405,143523,75051,12239,80865,5920,1456,60190,29765,104811,253189,178502,21677,353078,8712,29349,263142,43038,51265,311236,38798,410291,242493,2022-11-15T15:31:01.889000-05:00,24.968534571723424,38.211465428276576,100360_9606_705204,20221115_1530_agritech_batch2bfusmalljarfresh_7_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,304cff93-04c9-4b87-9714-883e5d73346b,baseline,fresh
3.0,1.0,12386,100143,29448,53039,221990,20282,133755,68958,192927,88393,143482,75085,12239,80898,5919,1456,60179,29759,105017,253217,178626,21670,353039,8713,29352,263157,43054,51273,311176,38815,410360,242646,2022-11-15T15:31:02.889000-05:00,24.948948453608246,38.22684536082474,100360_9606_705204,20221115_1530_agritech_batch2bfusmalljarfresh_7_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,304cff93-04c9-4b87-9714-883e5d73346b,baseline,fresh
4.0,1.0,12386,100137,29406,53027,222113,20286,133806,68975,192993,88393,143353,75052,12238,80878,5916,1459,60178,29762,105127,253267,178432,21677,353007,8711,29370,263235,43042,51260,311250,38797,410135,242578,2022-11-15T15:31:03.889000-05:00,24.944082474226803,38.19863917525773,100360_9606_705204,20221115_1530_agritech_batch2bfusmalljarfresh_7_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,304cff93-04c9-4b87-9714-883e5d73346b,baseline,fresh
5.0,1.0,12390,100157,29454,53010,222074,20274,133882,68988,192992,88395,143302,75019,12238,80882,5916,1458,60170,29775,104907,253313,178557,21676,353210,8702,29348,263251,43021,51249,311087,38797,410292,242497,2022-11-15T15:31:04.889000-05:00,24.971671826625386,38.19,100360_9606_705204,20221115_1530_agritech_batch2bfusmalljarfresh_7_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,304cff93-04c9-4b87-9714-883e5d73346b,baseline,fresh
6.0,1.0,12384,100181,29436,52985,222131,20283,133734,68975,192955,88413,143425,75031,12237,80840,5918,1458,60149,29775,105147,253200,178606,21667,353132,8703,29358,263233,43039,51249,310941,38806,410210,242691,2022-11-15T15:31:05.889000-05:00,24.98,38.19,100360_9606_705204,20221115_1530_agritech_batch2bfusmalljarfresh_7_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,304cff93-04c9-4b87-9714-883e5d73346b,baseline,fresh
7.0,1.0,12388,100163,29440,52999,222111,20280,133679,69000,192936,88385,143413,75052,12234,80879,5917,1459,60172,29771,105033,253219,178571,21685,353181,8700,29374,263164,43030,51244,310853,38785,410093,242659,2022-11-15T15:31:06.889000-05:00,24.982325338894682,38.18302398331595,100360_9606_705204,20221115_1530_agritech_batch2bfusmalljarfresh_7_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,304cff93-04c9-4b87-9714-883e5d73346b,baseline,fresh
8.0,1.0,12385,100165,29428,52985,222004,20283,133787,68984,192926,88382,143420,75016,12238,80897,5916,1458,60189,29781,105010,253213,178346,21677,353085,8697,29361,263114,43039,51251,310892,38754,410236,242496,2022-11-15T15:31:07.889000-05:00,24.97910216718266,38.165448916408664,100360_9606_705204,20221115_1530_agritech_batch2bfusmalljarfresh_7_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,304cff93-04c9-4b87-9714-883e5d73346b,baseline,fresh
9.0,1.0,12387,100179,29408,52983,222014,20288,133856,68958,192954,88384,143407,74989,12241,80890,5916,1456,60169,29768,105018,253215,178548,21671,352988,8693,29365,263142,43041,51251,310981,38764,410326,242469,2022-11-15T15:31:08.889000-05:00,24.959123711340204,38.1769587628866,100360_9606_705204,20221115_1530_agritech_batch2bfusmalljarfresh_7_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,304cff93-04c9-4b87-9714-883e5d73346b,baseline,fresh
10.0,1.0,12386,100176,29432,53003,222057,20286,133732,68966,192984,88403,143353,74987,12241,80895,5914,1458,60149,29775,104871,253256,178671,21658,353044,8691,29363,263269,43046,51258,311058,38764,410400,242271,2022-11-15T15:31:09.889000-05:00,24.973298969072165,38.16664948453608,100360_9606_705204,20221115_1530_agritech_batch2bfusmalljarfresh_7_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,304cff93-04c9-4b87-9714-883e5d73346b,baseline,fresh
11.0,1.0,12387,100158,29416,52992,222037,20286,133658,68974,193046,88387,143356,74966,12239,80909,5914,1460,60138,29777,104904,253181,178534,21662,353099,8695,29334,263235,43036,51233,310980,38753,410403,242306,2022-11-15T15:31:10.889000-05:00,24.95634020618557,38.16,100360_9606_705204,20221115_1530_agritech_batch2bfusmalljarfresh_7_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,304cff93-04c9-4b87-9714-883e5d73346b,baseline,fresh
12.0,1.0,12387,100154,29386,52959,222163,20286,133704,68967,192985,88378,143313,74985,12237,80901,5916,1460,60150,29771,105015,253097,178343,21674,353025,8693,29323,263172,43037,51220,310781,38753,410405,242462,2022-11-15T15:31:11.889000-05:00,24.965876288659793,38.15603092783505,100360_9606_705204,20221115_1530_agritech_batch2bfusmalljarfresh_7_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,304cff93-04c9-4b87-9714-883e5d73346b,baseline,fresh
13.0,1.0,12387,100181,29403,52948,222221,20285,133622,68988,192968,88389,143274,74973,12237,80951,5913,1460,60162,29768,104950,253110,178467,21682,353085,8692,29352,263220,43043,51212,310859,38760,410425,242453,2022-11-15T15:31:12.889000-05:00,24.972868937048503,38.15,100360_9606_705204,20221115_1530_agritech_batch2bfusmalljarfresh_7_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,304cff93-04c9-4b87-9714-883e5d73346b,baseline,fresh
14.0,1.0,12386,100180,29394,52950,222258,20282,133647,69023,192934,88378,143249,74968,12237,80961,5911,1460,60165,29767,105093,253145,178490,21675,353057,8687,29352,263197,43046,51191,310834,38757,410548,242464,2022-11-15T15:31:13.889000-05:00,24.96379381443299,38.14540206185567,100360_9606_705204,20221115_1530_agritech_batch2bfusmalljarfresh_7_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,304cff93-04c9-4b87-9714-883e5d73346b,baseline,fresh
15.0,1.0,12387,100169,29390,52931,222158,20287,133658,68998,192934,88355,143198,74953,12237,80968,5913,1458,60144,29765,105170,253141,178301,21667,352997,8682,29357,263149,43035,51203,310655,38743,410610,242617,2022-11-15T15:31:14.889000-05:00,24.9701244813278,38.1449377593361,100360_9606_705204,20221115_1530_agritech_batch2bfusmalljarfresh_7_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,304cff93-04c9-4b87-9714-883e5d73346b,baseline,fresh
16.0,1.0,12387,100145,29390,52954,222079,20286,133549,68986,192954,88328,143204,74933,12239,80994,5914,1457,60147,29761,105191,253140,178393,21677,353027,8682,29348,263185,43038,51203,310596,38712,410779,242698,2022-11-15T15:31:15.889000-05:00,24.97061139896373,38.14469430051813,100360_9606_705204,20221115_1530_agritech_batch2bfusmalljarfresh_7_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,304cff93-04c9-4b87-9714-883e5d73346b,baseline,fresh
17.0,1.0,12389,100154,29389,52938,222127,20281,133592,69032,192942,88344,143250,74951,12239,80935,5913,1458,60170,29763,104997,253171,178463,21685,353087,8680,29341,263218,43038,51194,310557,38711,410753,242698,2022-11-15T15:31:16.889000-05:00,24.963082474226805,38.12872164948453,100360_9606_705204,20221115_1530_agritech_batch2bfusmalljarfresh_7_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,304cff93-04c9-4b87-9714-883e5d73346b,baseline,fresh
18.0,1.0,12389,100181,29403,52925,222098,20282,133761,69052,192937,88360,143240,74922,12236,80950,5910,1459,60160,29764,104905,253154,178482,21685,353090,8678,29341,263167,43040,51198,310531,38734,410338,242690,2022-11-15T15:31:17.889000-05:00,24.961909184726522,38.125954592363264,100360_9606_705204,20221115_1530_agritech_batch2bfusmalljarfresh_7_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,304cff93-04c9-4b87-9714-883e5d73346b,baseline,fresh
19.0,1.0,12389,100181,29391,52908,222135,20287,133716,69014,192923,88367,143233,74909,12235,80941,5910,1457,60150,29771,105010,253154,178557,21679,352957,8674,29341,263089,43028,51187,310574,38729,410321,242648,2022-11-15T15:31:18.889000-05:00,24.97,38.12372549019608,100360_9606_705204,20221115_1530_agritech_batch2bfusmalljarfresh_7_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,304cff93-04c9-4b87-9714-883e5d73346b,baseline,fresh
