seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state,label
0.0,1.0,12401,100183,29463,52729,221841,20279,133142,69187,192758,88024,143731,74914,12227,81348,5891,1456,59989,29682,104021,252188,178366,21603,352224,8435,29294,261785,42818,49581,312727,37600,410375,242298,2022-11-15T15:51:28.433000-05:00,25.05,36.66,100360_9606_705204,20221115_1551_agritech_batch2bfusmalljarfresh_9_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,76027024-61f4-4b39-b9be-8d251afb3b96,baseline,fresh
1.0,1.0,12397,100134,29443,52726,221772,20274,133073,69172,192754,87996,143621,74885,12228,81327,5890,1457,59985,29679,103522,252257,178514,21606,352046,8428,29252,261945,42808,49584,312686,37633,410373,242376,2022-11-15T15:51:29.433000-05:00,25.058515463917523,36.65,100360_9606_705204,20221115_1551_agritech_batch2bfusmalljarfresh_9_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,76027024-61f4-4b39-b9be-8d251afb3b96,baseline,fresh
2.0,1.0,12398,100110,29459,52736,221623,20273,133265,69189,192735,88006,143561,74807,12220,81262,5888,1453,60008,29678,103770,252379,178305,21607,351917,8427,29249,261967,42826,49569,312782,37631,410564,242356,2022-11-15T15:51:30.433000-05:00,25.020681114551085,36.64863777089783,100360_9606_705204,20221115_1551_agritech_batch2bfusmalljarfresh_9_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,76027024-61f4-4b39-b9be-8d251afb3b96,baseline,fresh
3.0,1.0,12398,100135,29447,52721,221640,20274,133139,69160,192767,88017,143527,74788,12226,81359,5888,1458,60027,29668,103592,252313,178190,21607,351949,8428,29277,261947,42809,49558,312773,37590,410184,242212,2022-11-15T15:51:31.433000-05:00,25.03,36.631001031991744,100360_9606_705204,20221115_1551_agritech_batch2bfusmalljarfresh_9_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,76027024-61f4-4b39-b9be-8d251afb3b96,baseline,fresh
4.0,1.0,12399,100133,29459,52682,221700,20282,133244,69190,192695,88019,143516,74782,12226,81387,5887,1459,60002,29673,103511,252319,178146,21600,352098,8423,29246,261984,42810,49539,313125,37595,410115,242271,2022-11-15T15:51:32.433000-05:00,25.028674948240166,36.638674948240165,100360_9606_705204,20221115_1551_agritech_batch2bfusmalljarfresh_9_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,76027024-61f4-4b39-b9be-8d251afb3b96,baseline,fresh
5.0,1.0,12397,100130,29456,52710,221544,20277,133158,69191,192783,87987,143450,74730,12224,81331,5886,1459,60005,29686,103499,252196,178182,21597,352100,8419,29240,261895,42800,49503,312801,37597,410435,242159,2022-11-15T15:51:33.433000-05:00,25.02501547987616,36.63,100360_9606_705204,20221115_1551_agritech_batch2bfusmalljarfresh_9_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,76027024-61f4-4b39-b9be-8d251afb3b96,baseline,fresh
6.0,1.0,12399,100112,29463,52697,221791,20275,133207,69189,192681,88000,143442,74693,12225,81225,5886,1456,60018,29678,103392,252205,178315,21591,351881,8415,29243,261997,42817,49499,312696,37559,410168,242156,2022-11-15T15:51:34.433000-05:00,25.05,36.62798958333333,100360_9606_705204,20221115_1551_agritech_batch2bfusmalljarfresh_9_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,76027024-61f4-4b39-b9be-8d251afb3b96,baseline,fresh
7.0,1.0,12399,100114,29460,52713,221698,20275,133065,69193,192709,87998,143497,74613,12225,81268,5884,1456,60017,29670,103497,252227,178479,21604,351719,8413,29252,261929,42803,49498,312643,37567,410579,242205,2022-11-15T15:51:35.433000-05:00,25.05,36.62,100360_9606_705204,20221115_1551_agritech_batch2bfusmalljarfresh_9_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,76027024-61f4-4b39-b9be-8d251afb3b96,baseline,fresh
8.0,1.0,12401,100129,29458,52702,221650,20272,133033,69171,192707,87969,143513,74611,12225,81260,5883,1456,60019,29678,103643,252277,178596,21600,351821,8412,29260,261897,42794,49484,312754,37570,410584,242292,2022-11-15T15:51:36.433000-05:00,25.05554639175258,36.61722680412371,100360_9606_705204,20221115_1551_agritech_batch2bfusmalljarfresh_9_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,76027024-61f4-4b39-b9be-8d251afb3b96,baseline,fresh
9.0,1.0,12400,100121,29446,52685,221619,20268,133343,69176,192717,87979,143462,74586,12227,81174,5883,1457,60035,29679,103591,252153,178399,21601,351957,8406,29255,261965,42793,49490,312499,37560,410539,242365,2022-11-15T15:51:37.433000-05:00,25.06073347107438,36.6069111570248,100360_9606_705204,20221115_1551_agritech_batch2bfusmalljarfresh_9_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,76027024-61f4-4b39-b9be-8d251afb3b96,baseline,fresh
