seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state,label
0.0,1.0,12407,99748,29432,52177,221709,20274,133754,69250,192582,87415,141965,70714,12212,81248,5729,1455,59919,29594,104131,251856,178055,21545,350947,8044,28996,260400,42434,47689,304328,35962,410826,241939,2022-11-15T16:17:49.156000-05:00,25.11,33.85,100360_9606_705204,20221115_1617_agritech_batch2bfusmalljarfresh_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,53808262-5608-4ade-9694-0604330ccdc0,baseline,fresh
1.0,1.0,12412,99779,29426,52173,221723,20267,133757,69244,192660,87404,141958,70665,12214,81339,5733,1454,59939,29587,104094,252010,178029,21553,350900,8045,28993,260460,42433,47714,304325,35973,410785,241882,2022-11-15T16:17:50.156000-05:00,25.13031282586027,33.85,100360_9606_705204,20221115_1617_agritech_batch2bfusmalljarfresh_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,53808262-5608-4ade-9694-0604330ccdc0,baseline,fresh
2.0,1.0,12410,99717,29413,52174,221885,20269,133653,69217,192585,87423,141986,70658,12207,81330,5732,1454,59908,29580,103952,251882,177901,21552,351105,8045,28983,260445,42415,47697,304156,35971,410753,241924,2022-11-15T16:17:51.156000-05:00,25.14,33.85,100360_9606_705204,20221115_1617_agritech_batch2bfusmalljarfresh_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,53808262-5608-4ade-9694-0604330ccdc0,baseline,fresh
3.0,1.0,12411,99677,29424,52160,221815,20271,133505,69255,192605,87386,141987,70639,12210,81161,5729,1454,59965,29574,104047,251951,178079,21548,350989,8038,28972,260458,42433,47680,304626,35954,410799,241906,2022-11-15T16:17:52.156000-05:00,25.138947368421054,33.85,100360_9606_705204,20221115_1617_agritech_batch2bfusmalljarfresh_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,53808262-5608-4ade-9694-0604330ccdc0,baseline,fresh
4.0,1.0,12409,99686,29379,52152,221858,20277,133652,69258,192605,87374,142036,70652,12211,81322,5729,1454,59957,29585,103898,251781,177944,21552,351084,8043,28978,260563,42420,47694,304032,35965,410733,242033,2022-11-15T16:17:53.156000-05:00,25.134109165808443,33.84863027806385,100360_9606_705204,20221115_1617_agritech_batch2bfusmalljarfresh_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,53808262-5608-4ade-9694-0604330ccdc0,baseline,fresh
5.0,1.0,12408,99676,29410,52170,221803,20269,133595,69299,192576,87385,141979,70625,12212,81252,5729,1456,59985,29579,103993,251882,177935,21550,351046,8040,28978,260639,42429,47658,304017,35937,410613,242051,2022-11-15T16:17:54.156000-05:00,25.15832644628099,33.84,100360_9606_705204,20221115_1617_agritech_batch2bfusmalljarfresh_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,53808262-5608-4ade-9694-0604330ccdc0,baseline,fresh
6.0,1.0,12408,99694,29427,52163,221970,20269,133578,69252,192608,87397,141968,70617,12210,81337,5729,1456,59974,29577,103837,251893,178048,21549,350948,8040,28981,260602,42422,47671,304021,35968,410394,242014,2022-11-15T16:17:55.156000-05:00,25.145999999999997,33.836000000000006,100360_9606_705204,20221115_1617_agritech_batch2bfusmalljarfresh_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,53808262-5608-4ade-9694-0604330ccdc0,baseline,fresh
7.0,1.0,12408,99705,29439,52158,221873,20269,133601,69238,192618,87374,141940,70643,12210,81367,5729,1457,59917,29585,103774,251930,178206,21553,351052,8038,28976,260700,42414,47680,303887,35951,410528,242017,2022-11-15T16:17:56.156000-05:00,25.13,33.82,100360_9606_705204,20221115_1617_agritech_batch2bfusmalljarfresh_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,53808262-5608-4ade-9694-0604330ccdc0,baseline,fresh
8.0,1.0,12408,99712,29447,52174,221764,20268,133378,69259,192633,87393,141974,70629,12209,81337,5725,1457,59897,29593,103817,251857,178022,21548,350985,8039,28988,260669,42426,47668,303910,35953,410887,242039,2022-11-15T16:17:57.156000-05:00,25.12735140771637,33.82264859228363,100360_9606_705204,20221115_1617_agritech_batch2bfusmalljarfresh_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,53808262-5608-4ade-9694-0604330ccdc0,baseline,fresh
9.0,1.0,12409,99738,29429,52160,221837,20268,133606,69254,192582,87396,142019,70611,12209,81202,5730,1457,59911,29579,103823,251881,177992,21553,351095,8037,28990,260565,42424,47691,303981,35958,410589,242098,2022-11-15T16:17:58.156000-05:00,25.126082474226806,33.8269587628866,100360_9606_705204,20221115_1617_agritech_batch2bfusmalljarfresh_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,53808262-5608-4ade-9694-0604330ccdc0,baseline,fresh
10.0,1.0,12409,99737,29424,52165,221917,20267,133476,69252,192586,87398,142024,70576,12210,81241,5728,1458,59901,29574,103757,251882,177988,21544,351181,8034,29001,260624,42429,47684,304118,35930,410492,241942,2022-11-15T16:17:59.156000-05:00,25.12982254697286,33.81660751565762,100360_9606_705204,20221115_1617_agritech_batch2bfusmalljarfresh_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,53808262-5608-4ade-9694-0604330ccdc0,baseline,fresh
11.0,1.0,12410,99725,29416,52152,221896,20268,133576,69198,192603,87384,141978,70577,12210,81363,5728,1456,59915,29582,104018,251848,178012,21540,351186,8037,28999,260643,42415,47679,304171,35947,410622,241968,2022-11-15T16:18:00.156000-05:00,25.11755921730175,33.798661174047375,100360_9606_705204,20221115_1617_agritech_batch2bfusmalljarfresh_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,53808262-5608-4ade-9694-0604330ccdc0,baseline,fresh
12.0,1.0,12410,99721,29402,52144,221912,20265,133535,69195,192582,87370,141979,70563,12210,81474,5727,1454,59952,29576,103849,251881,177908,21543,351070,8037,29001,260617,42414,47671,304049,35952,410606,241982,2022-11-15T16:18:01.156000-05:00,25.13,33.79226006191951,100360_9606_705204,20221115_1617_agritech_batch2bfusmalljarfresh_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,53808262-5608-4ade-9694-0604330ccdc0,baseline,fresh
13.0,1.0,12408,99728,29407,52130,221918,20269,133317,69225,192575,87374,141963,70571,12209,81494,5727,1454,59955,29582,103711,251929,177825,21547,350977,8036,28992,260600,42422,47656,303985,35932,410468,242048,2022-11-15T16:18:02.156000-05:00,25.134406604747163,33.81,100360_9606_705204,20221115_1617_agritech_batch2bfusmalljarfresh_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,53808262-5608-4ade-9694-0604330ccdc0,baseline,fresh
14.0,1.0,12407,99674,29417,52123,221845,20268,133418,69247,192597,87393,141938,70579,12211,81494,5726,1456,59934,29575,103948,251892,177770,21545,350959,8035,28988,260607,42430,47659,303887,35936,410502,242104,2022-11-15T16:18:03.156000-05:00,25.14472652218782,33.80527347781218,100360_9606_705204,20221115_1617_agritech_batch2bfusmalljarfresh_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,53808262-5608-4ade-9694-0604330ccdc0,baseline,fresh
15.0,1.0,12410,99653,29406,52112,221812,20267,133515,69231,192598,87391,141925,70568,12211,81592,5725,1455,59933,29569,104107,251782,177650,21544,351086,8035,28995,260589,42425,47660,303910,35933,410429,242100,2022-11-15T16:18:04.156000-05:00,25.139917525773196,33.794958762886594,100360_9606_705204,20221115_1617_agritech_batch2bfusmalljarfresh_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,53808262-5608-4ade-9694-0604330ccdc0,baseline,fresh
16.0,1.0,12408,99693,29419,52110,221759,20269,133527,69216,192540,87378,141896,70543,12209,81655,5725,1455,59899,29574,103919,251878,177819,21551,350976,8033,28997,260484,42422,47653,303880,35930,410464,242010,2022-11-15T16:18:05.156000-05:00,25.13,33.79,100360_9606_705204,20221115_1617_agritech_batch2bfusmalljarfresh_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,53808262-5608-4ade-9694-0604330ccdc0,baseline,fresh
17.0,1.0,12407,99707,29425,52118,221763,20268,133615,69200,192550,87379,141915,70529,12209,81643,5725,1454,59894,29581,103937,251940,177775,21543,350804,8032,29008,260522,42426,47645,303850,35938,410811,242078,2022-11-15T16:18:06.156000-05:00,25.141340206185564,33.79,100360_9606_705204,20221115_1617_agritech_batch2bfusmalljarfresh_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,53808262-5608-4ade-9694-0604330ccdc0,baseline,fresh
18.0,1.0,12409,99708,29415,52133,221745,20271,133571,69209,192599,87380,141880,70533,12207,81596,5725,1454,59949,29585,104070,251918,177727,21533,350762,8031,29004,260560,42421,47637,303784,35926,410847,242103,2022-11-15T16:18:07.156000-05:00,25.144020618556702,33.7840206185567,100360_9606_705204,20221115_1617_agritech_batch2bfusmalljarfresh_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,53808262-5608-4ade-9694-0604330ccdc0,baseline,fresh
19.0,1.0,12408,99748,29414,52128,221848,20275,133568,69210,192580,87370,141858,70565,12207,81598,5725,1456,59959,29585,104202,251881,177959,21530,350911,8032,28995,260558,42424,47644,303766,35930,410563,241940,2022-11-15T16:18:08.156000-05:00,25.114793388429753,33.77369834710744,100360_9606_705204,20221115_1617_agritech_batch2bfusmalljarfresh_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,53808262-5608-4ade-9694-0604330ccdc0,baseline,fresh
20.0,1.0,12405,99742,29424,52121,221991,20272,133510,69224,192560,87369,141884,70588,12209,81611,5725,1455,59934,29580,104006,251897,178104,21532,351203,8033,29000,260657,42420,47650,303694,35944,410647,241927,2022-11-15T16:18:09.156000-05:00,25.12675,33.7633125,100360_9606_705204,20221115_1617_agritech_batch2bfusmalljarfresh_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,53808262-5608-4ade-9694-0604330ccdc0,baseline,fresh
21.0,1.0,12405,99723,29411,52117,221883,20263,133532,69207,192563,87374,141898,70554,12213,81653,5725,1456,59918,29580,103920,251823,177978,21536,351091,8032,29014,260637,42420,47652,303802,35937,410662,242061,2022-11-15T16:18:10.156000-05:00,25.11888544891641,33.76,100360_9606_705204,20221115_1617_agritech_batch2bfusmalljarfresh_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,53808262-5608-4ade-9694-0604330ccdc0,baseline,fresh
22.0,1.0,12405,99706,29425,52122,221862,20262,133645,69211,192565,87382,141866,70500,12212,81481,5726,1455,59940,29580,104081,251842,178009,21531,351083,8028,29011,260633,42412,47636,303791,35930,410441,242132,2022-11-15T16:18:11.156000-05:00,25.124701030927834,33.76735051546392,100360_9606_705204,20221115_1617_agritech_batch2bfusmalljarfresh_10_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARFRESH,53808262-5608-4ade-9694-0604330ccdc0,baseline,fresh
