seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state,label
0.0,1.0,12307,98333,29432,51826,221565,20163,133686,68871,192542,88004,134795,61075,12210,80551,5833,1455,60089,29706,104444,253261,177483,21664,350106,8764,29081,262615,42731,52845,288067,39204,408390,242357,2022-11-15T14:46:18.715000-05:00,25.12,37.16,100360_9606_705204,20221115_1446_agritech_batch2bfusmalljarmoldy_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,7dc02b5f-032b-4b28-bf8e-74870e992447,baseline,moldy
1.0,1.0,12308,98303,29422,51805,221418,20165,133507,68909,192424,87992,134825,61078,12211,80588,5832,1457,60094,29708,104640,253208,177316,21664,349817,8763,29116,262744,42717,52824,287653,39202,408186,242382,2022-11-15T14:46:19.715000-05:00,25.10032989690722,37.15901030927835,100360_9606_705204,20221115_1446_agritech_batch2bfusmalljarmoldy_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,7dc02b5f-032b-4b28-bf8e-74870e992447,baseline,moldy
2.0,1.0,12308,98324,29391,51814,221429,20162,133462,68892,192522,87988,134748,61083,12209,80537,5829,1457,60100,29709,104457,253233,177415,21655,350140,8759,29078,262702,42715,52819,287844,39188,408462,242353,2022-11-15T14:46:20.715000-05:00,25.109353493222105,37.13,100360_9606_705204,20221115_1446_agritech_batch2bfusmalljarmoldy_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,7dc02b5f-032b-4b28-bf8e-74870e992447,baseline,moldy
3.0,1.0,12307,98317,29395,51851,221488,20164,133533,68879,192455,88001,134733,61098,12212,80555,5829,1456,60110,29709,104733,253257,177460,21659,349982,8760,29086,262576,42713,52834,287804,39146,408585,242347,2022-11-15T14:46:21.715000-05:00,25.0989381443299,37.131061855670104,100360_9606_705204,20221115_1446_agritech_batch2bfusmalljarmoldy_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,7dc02b5f-032b-4b28-bf8e-74870e992447,baseline,moldy
4.0,1.0,12305,98341,29412,51830,221573,20162,133578,68926,192547,88004,134764,61073,12213,80520,5832,1455,60111,29714,104781,253249,177345,21660,349939,8753,29094,262708,42721,52830,287716,39160,408437,242260,2022-11-15T14:46:22.715000-05:00,25.09,37.13725490196079,100360_9606_705204,20221115_1446_agritech_batch2bfusmalljarmoldy_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,7dc02b5f-032b-4b28-bf8e-74870e992447,baseline,moldy
5.0,1.0,12308,98330,29417,51822,221301,20154,133492,68895,192483,87989,134714,61075,12209,80554,5833,1454,60109,29705,104757,253188,177234,21652,349904,8753,29081,262627,42717,52803,287643,39161,408374,242385,2022-11-15T14:46:23.715000-05:00,25.09,37.121690721649486,100360_9606_705204,20221115_1446_agritech_batch2bfusmalljarmoldy_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,7dc02b5f-032b-4b28-bf8e-74870e992447,baseline,moldy
6.0,1.0,12308,98309,29408,51822,221381,20160,133537,68966,192496,87969,134796,61059,12211,80493,5832,1454,60096,29702,104666,253215,177275,21650,349978,8749,29102,262693,42709,52786,287533,39163,408488,242474,2022-11-15T14:46:24.715000-05:00,25.083993808049534,37.12599587203302,100360_9606_705204,20221115_1446_agritech_batch2bfusmalljarmoldy_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,7dc02b5f-032b-4b28-bf8e-74870e992447,baseline,moldy
7.0,1.0,12306,98299,29405,51822,221378,20161,133620,68954,192439,87964,134716,61052,12212,80516,5829,1453,60089,29697,104758,253261,177378,21651,350022,8746,29092,262693,42707,52777,287642,39147,408542,242431,2022-11-15T14:46:25.715000-05:00,25.066973140495868,37.10767561983471,100360_9606_705204,20221115_1446_agritech_batch2bfusmalljarmoldy_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,7dc02b5f-032b-4b28-bf8e-74870e992447,baseline,moldy
8.0,1.0,12304,98342,29415,51847,221386,20163,133506,68943,192430,87966,134668,61041,12208,80525,5829,1455,60104,29694,104664,253317,177287,21649,350087,8746,29086,262725,42715,52771,287585,39147,408581,242339,2022-11-15T14:46:26.715000-05:00,25.084706488156538,37.09205973223481,100360_9606_705204,20221115_1446_agritech_batch2bfusmalljarmoldy_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,7dc02b5f-032b-4b28-bf8e-74870e992447,baseline,moldy
9.0,1.0,12306,98344,29403,51809,221389,20163,133404,68955,192508,87960,134693,61000,12208,80584,5831,1456,60088,29690,104695,253174,177352,21652,349925,8744,29090,262793,42713,52766,287582,39151,408622,242407,2022-11-15T14:46:27.715000-05:00,25.081805985552116,37.07590299277606,100360_9606_705204,20221115_1446_agritech_batch2bfusmalljarmoldy_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,7dc02b5f-032b-4b28-bf8e-74870e992447,baseline,moldy
