seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state,label
0.0,1.0,12342,99329,29415,52070,221803,20219,133956,68939,192552,88149,139564,62204,12226,80624,5834,1459,60063,29703,105085,253209,178260,21654,351810,8756,29179,262724,42695,51211,297175,38700,409849,242440,2022-11-15T15:06:14.925000-05:00,24.99,37.3,100360_9606_705204,20221115_1506_agritech_batch2bfusmalljarmoldy_4_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,c0bc6840-585c-4e58-87c2-b85adf9fb4d3,baseline,moldy
1.0,1.0,12340,99282,29402,52072,221736,20225,134053,68934,192541,88110,139566,62173,12226,80547,5829,1457,60069,29680,105141,253161,177990,21654,351795,8751,29168,262657,42688,51200,297174,38719,409946,242404,2022-11-15T15:06:15.925000-05:00,25.01,37.27082559339526,100360_9606_705204,20221115_1506_agritech_batch2bfusmalljarmoldy_4_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,c0bc6840-585c-4e58-87c2-b85adf9fb4d3,baseline,moldy
2.0,1.0,12343,99292,29400,52088,221837,20225,133989,68939,192632,88123,139563,62168,12225,80501,5828,1457,60090,29689,104895,253187,177950,21641,351624,8749,29154,262681,42685,51179,297352,38681,409993,242604,2022-11-15T15:06:16.925000-05:00,25.009254201680672,37.28776260504202,100360_9606_705204,20221115_1506_agritech_batch2bfusmalljarmoldy_4_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,c0bc6840-585c-4e58-87c2-b85adf9fb4d3,baseline,moldy
3.0,1.0,12341,99352,29423,52071,221749,20226,134002,68925,192577,88121,139530,62165,12223,80566,5832,1457,60065,29688,104967,253198,177977,21651,351652,8754,29191,262625,42690,51184,297306,38681,409890,242526,2022-11-15T15:06:17.925000-05:00,25.002451081359425,37.26245108135942,100360_9606_705204,20221115_1506_agritech_batch2bfusmalljarmoldy_4_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,c0bc6840-585c-4e58-87c2-b85adf9fb4d3,baseline,moldy
4.0,1.0,12342,99363,29421,52072,221599,20225,133939,68931,192581,88137,139486,62173,12226,80598,5829,1457,60091,29686,104844,253125,178052,21651,351637,8743,29178,262705,42688,51192,297224,38691,409999,242462,2022-11-15T15:06:18.925000-05:00,25.01389060887513,37.27389060887513,100360_9606_705204,20221115_1506_agritech_batch2bfusmalljarmoldy_4_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,c0bc6840-585c-4e58-87c2-b85adf9fb4d3,baseline,moldy
5.0,1.0,12345,99310,29420,52069,221689,20220,133963,68973,192567,88136,139391,62173,12227,80535,5828,1456,60109,29679,104782,253037,178023,21651,351749,8746,29179,262758,42675,51196,297103,38659,410209,242438,2022-11-15T15:06:19.925000-05:00,24.992917525773198,37.24,100360_9606_705204,20221115_1506_agritech_batch2bfusmalljarmoldy_4_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,c0bc6840-585c-4e58-87c2-b85adf9fb4d3,baseline,moldy
6.0,1.0,12344,99301,29432,52083,221656,20220,134040,68976,192582,88118,139379,62178,12229,80619,5828,1455,60082,29685,104798,253042,178181,21651,351898,8742,29171,262765,42670,51174,297072,38653,409940,242360,2022-11-15T15:06:20.925000-05:00,25.04137254901961,37.237843137254906,100360_9606_705204,20221115_1506_agritech_batch2bfusmalljarmoldy_4_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,c0bc6840-585c-4e58-87c2-b85adf9fb4d3,baseline,moldy
7.0,1.0,12342,99320,29409,52088,221590,20221,134081,69024,192539,88119,139390,62166,12229,80641,5828,1455,60083,29693,104947,253040,178330,21654,351858,8741,29178,262747,42678,51163,296955,38639,409847,242336,2022-11-15T15:06:21.925000-05:00,25.012489626556018,37.23,100360_9606_705204,20221115_1506_agritech_batch2bfusmalljarmoldy_4_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,c0bc6840-585c-4e58-87c2-b85adf9fb4d3,baseline,moldy
8.0,1.0,12344,99299,29420,52074,221619,20218,133907,69029,192532,88108,139392,62146,12226,80612,5827,1456,60096,29694,105046,252977,178251,21655,351780,8739,29165,262782,42690,51160,297068,38646,409863,242292,2022-11-15T15:06:22.925000-05:00,25.005758513931887,37.22715170278637,100360_9606_705204,20221115_1506_agritech_batch2bfusmalljarmoldy_4_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,c0bc6840-585c-4e58-87c2-b85adf9fb4d3,baseline,moldy
9.0,1.0,12344,99297,29460,52082,221695,20221,134005,69000,192556,88111,139351,62124,12224,80622,5827,1456,60092,29695,105101,252964,178265,21653,351726,8738,29159,262634,42678,51152,296984,38626,410092,242469,2022-11-15T15:06:23.925000-05:00,24.98582474226804,37.22,100360_9606_705204,20221115_1506_agritech_batch2bfusmalljarmoldy_4_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARMOLDY,c0bc6840-585c-4e58-87c2-b85adf9fb4d3,baseline,moldy
