seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state
0.0,1.0,12284,97490,29430,51448,221095,20088,133968,68967,192213,87587,131113,49491,12199,80912,5782,1455,59973,29593,104919,253242,177485,21649,348836,8901,28880,263073,42639,54090,274999,39865,408356,241898,2022-11-15T14:36:08.163000-05:00,25.1,36.17,100360_9606_705204,20221115_1435_agritech_batch2bfusmalljarwater_1_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,9c258f9f-3377-4f75-9e3b-57201dbc3187,baseline
1.0,1.0,12285,97520,29437,51422,221166,20093,133904,69012,192257,87586,131094,49477,12196,80815,5782,1456,60000,29592,104751,253201,177573,21647,348588,8900,28872,263029,42636,54012,274806,39851,408474,241874,2022-11-15T14:36:09.163000-05:00,25.11,36.16,100360_9606_705204,20221115_1435_agritech_batch2bfusmalljarwater_1_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,9c258f9f-3377-4f75-9e3b-57201dbc3187,baseline
2.0,1.0,12290,97461,29419,51400,221078,20091,134007,69035,192167,87603,131094,49445,12200,80916,5780,1455,60057,29588,105011,253151,177313,21658,348570,8896,28900,262981,42635,54039,274740,39816,408391,242024,2022-11-15T14:36:10.163000-05:00,25.109380165289256,36.15938016528925,100360_9606_705204,20221115_1435_agritech_batch2bfusmalljarwater_1_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,9c258f9f-3377-4f75-9e3b-57201dbc3187,baseline
3.0,1.0,12289,97430,29437,51326,220979,20095,133942,69022,192236,87624,131097,49452,12198,80827,5779,1455,60027,29588,105138,253167,177655,21654,348724,8888,28857,262883,42642,54011,274724,39795,408192,241858,2022-11-15T14:36:11.163000-05:00,25.1,36.15,100360_9606_705204,20221115_1435_agritech_batch2bfusmalljarwater_1_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,9c258f9f-3377-4f75-9e3b-57201dbc3187,baseline
4.0,1.0,12289,97480,29448,51366,221003,20089,133776,68994,192175,87601,131106,49446,12197,80744,5778,1458,60007,29585,104975,253204,177773,21656,348606,8883,28870,263004,42637,54007,274696,39802,408262,242045,2022-11-15T14:36:12.163000-05:00,25.1025625,36.14871875,100360_9606_705204,20221115_1435_agritech_batch2bfusmalljarwater_1_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,9c258f9f-3377-4f75-9e3b-57201dbc3187,baseline
5.0,1.0,12291,97489,29440,51318,221104,20096,133734,68953,192284,87597,131031,49425,12200,80787,5778,1457,60036,29591,104890,253144,177659,21657,348596,8880,28879,263096,42611,54006,274549,39788,408391,242030,2022-11-15T14:36:13.163000-05:00,25.11663223140496,36.13831611570248,100360_9606_705204,20221115_1435_agritech_batch2bfusmalljarwater_1_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,9c258f9f-3377-4f75-9e3b-57201dbc3187,baseline
6.0,1.0,12290,97435,29436,51313,221055,20099,133805,68972,192294,87598,131026,49390,12203,80771,5774,1458,60061,29591,104936,253150,177485,21662,348489,8867,28870,263059,42632,53998,274363,39782,408512,242029,2022-11-15T14:36:14.163000-05:00,25.104020618556703,36.13201030927835,100360_9606_705204,20221115_1435_agritech_batch2bfusmalljarwater_1_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,9c258f9f-3377-4f75-9e3b-57201dbc3187,baseline
7.0,1.0,12287,97469,29444,51301,221015,20094,133893,68988,192308,87604,130903,49367,12200,80734,5774,1458,60054,29584,104718,253074,177388,21650,348373,8864,28883,263004,42635,53978,274372,39760,408550,241972,2022-11-15T14:36:15.163000-05:00,25.12,36.137653806047965,100360_9606_705204,20221115_1435_agritech_batch2bfusmalljarwater_1_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,9c258f9f-3377-4f75-9e3b-57201dbc3187,baseline
8.0,1.0,12284,97459,29434,51315,221104,20097,133952,68968,192265,87606,130935,49377,12202,80767,5775,1458,60038,29589,104766,253135,177645,21665,348695,8865,28902,263053,42623,53958,274448,39746,408553,241972,2022-11-15T14:36:16.163000-05:00,25.117254901960784,36.12450980392157,100360_9606_705204,20221115_1435_agritech_batch2bfusmalljarwater_1_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,9c258f9f-3377-4f75-9e3b-57201dbc3187,baseline
9.0,1.0,12287,97445,29419,51292,221126,20091,133889,68962,192240,87599,130904,49360,12200,80710,5774,1457,60046,29597,105144,253179,177623,21658,348583,8858,28888,263031,42629,53926,274553,39735,408541,241906,2022-11-15T14:36:17.163000-05:00,25.116130030959752,36.11613003095975,100360_9606_705204,20221115_1435_agritech_batch2bfusmalljarwater_1_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,9c258f9f-3377-4f75-9e3b-57201dbc3187,baseline
10.0,1.0,12286,97450,29407,51274,221031,20088,133823,68957,192277,87602,130898,49345,12197,80702,5772,1455,60022,29593,105171,253248,177502,21652,348760,8853,28892,263003,42625,53927,274493,39711,408710,241926,2022-11-15T14:36:18.163000-05:00,25.123159541188738,36.12315954118874,100360_9606_705204,20221115_1435_agritech_batch2bfusmalljarwater_1_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,9c258f9f-3377-4f75-9e3b-57201dbc3187,baseline
11.0,1.0,12287,97425,29404,51276,221037,20091,133773,68964,192283,87577,130851,49325,12197,80776,5771,1455,60015,29601,105195,253187,177430,21655,348664,8848,28870,263061,42615,53921,274257,39692,408628,242056,2022-11-15T14:36:19.163000-05:00,25.11,36.10238390092879,100360_9606_705204,20221115_1435_agritech_batch2bfusmalljarwater_1_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,9c258f9f-3377-4f75-9e3b-57201dbc3187,baseline
12.0,1.0,12287,97411,29403,51287,220985,20090,133888,68957,192236,87579,130825,49314,12200,80778,5772,1455,60027,29607,105065,253171,177618,21646,348599,8845,28862,263026,42610,53890,274358,39677,408671,242158,2022-11-15T14:36:20.163000-05:00,25.10586776859504,36.09,100360_9606_705204,20221115_1435_agritech_batch2bfusmalljarwater_1_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,9c258f9f-3377-4f75-9e3b-57201dbc3187,baseline
13.0,1.0,12284,97402,29413,51267,221047,20091,133837,68973,192227,87585,130805,49299,12199,80729,5771,1455,60047,29601,104915,253131,177537,21640,348702,8841,28870,262926,42605,53873,274453,39668,408588,242076,2022-11-15T14:36:21.163000-05:00,25.113500000000002,36.09,100360_9606_705204,20221115_1435_agritech_batch2bfusmalljarwater_1_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,9c258f9f-3377-4f75-9e3b-57201dbc3187,baseline
14.0,1.0,12284,97408,29413,51251,220996,20091,133814,68936,192236,87582,130807,49289,12200,80744,5767,1458,60052,29593,104843,253113,177521,21642,348757,8835,28871,262936,42615,53873,274233,39664,408268,242045,2022-11-15T14:36:22.163000-05:00,25.115280665280665,36.09490644490645,100360_9606_705204,20221115_1435_agritech_batch2bfusmalljarwater_1_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,9c258f9f-3377-4f75-9e3b-57201dbc3187,baseline
15.0,1.0,12283,97433,29403,51216,220903,20096,133971,68916,192227,87580,130777,49299,12203,80759,5767,1457,60044,29598,104746,253105,177590,21642,348845,8832,28870,262938,42608,53849,274180,39643,408261,241944,2022-11-15T14:36:23.163000-05:00,25.115756951596293,36.089495365602474,100360_9606_705204,20221115_1435_agritech_batch2bfusmalljarwater_1_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,9c258f9f-3377-4f75-9e3b-57201dbc3187,baseline
16.0,1.0,12282,97408,29401,51207,220891,20094,133929,68914,192212,87582,130760,49297,12205,80718,5765,1456,60013,29596,104766,253123,177632,21641,348931,8830,28873,262920,42602,53829,274261,39631,408392,241855,2022-11-15T14:36:24.163000-05:00,25.124379562043796,36.06875912408759,100360_9606_705204,20221115_1435_agritech_batch2bfusmalljarwater_1_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,9c258f9f-3377-4f75-9e3b-57201dbc3187,baseline
17.0,1.0,12283,97371,29427,51192,220917,20091,133827,68936,192220,87577,130816,49294,12203,80724,5762,1455,60027,29586,104689,253205,177691,21636,349182,8827,28864,262903,42612,53840,274256,39628,408387,241839,2022-11-15T14:36:25.163000-05:00,25.12,36.06,100360_9606_705204,20221115_1435_agritech_batch2bfusmalljarwater_1_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,9c258f9f-3377-4f75-9e3b-57201dbc3187,baseline
18.0,1.0,12288,97382,29426,51188,220874,20096,133806,68923,192188,87585,130759,49284,12200,80744,5763,1457,60041,29584,104813,253100,177618,21634,348986,8824,28871,262843,42605,53821,274244,39620,408354,241846,2022-11-15T14:36:26.163000-05:00,25.10108359133127,36.06,100360_9606_705204,20221115_1435_agritech_batch2bfusmalljarwater_1_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,9c258f9f-3377-4f75-9e3b-57201dbc3187,baseline
