seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state
0.0,1.0,12321,99089,29460,52730,221648,20197,133768,68796,192664,88484,137299,64014,12227,80928,5897,1458,60224,29765,105073,253726,177881,21683,350525,9369,29327,263905,43001,55735,290164,41712,409443,242591,2022-11-15T14:42:38.049000-05:00,25.15,39.69,100360_9606_705204,20221115_1442_agritech_batch2bfusmalljarwater_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,ef419360-d01d-49da-9c41-74d9a9d98ad1,baseline
1.0,1.0,12323,99070,29436,52701,221665,20194,133727,68769,192617,88466,137262,63989,12226,80892,5895,1458,60189,29769,105377,253912,177616,21687,350733,9358,29300,263920,42997,55711,290260,41741,409212,242739,2022-11-15T14:42:39.049000-05:00,25.13095975232198,39.67968008255934,100360_9606_705204,20221115_1442_agritech_batch2bfusmalljarwater_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,ef419360-d01d-49da-9c41-74d9a9d98ad1,baseline
2.0,1.0,12322,99045,29450,52712,221795,20195,133689,68794,192566,88524,137206,63980,12228,80862,5893,1459,60182,29748,104990,253841,177723,21692,350636,9357,29281,263818,42986,55735,290309,41707,409150,242855,2022-11-15T14:42:40.049000-05:00,25.15936082474227,39.67063917525773,100360_9606_705204,20221115_1442_agritech_batch2bfusmalljarwater_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,ef419360-d01d-49da-9c41-74d9a9d98ad1,baseline
3.0,1.0,12324,99080,29437,52689,221542,20200,133606,68784,192645,88499,137167,63961,12226,80864,5892,1458,60173,29760,105208,253846,177634,21688,350983,9352,29349,263956,42996,55702,290246,41698,409192,242647,2022-11-15T14:42:41.049000-05:00,25.148101135190917,39.67810113519092,100360_9606_705204,20221115_1442_agritech_batch2bfusmalljarwater_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,ef419360-d01d-49da-9c41-74d9a9d98ad1,baseline
4.0,1.0,12322,99100,29450,52696,221495,20203,133886,68797,192665,88505,137145,63947,12228,80872,5891,1455,60200,29763,105193,253907,177901,21688,351024,9343,29343,263901,42991,55714,289901,41695,409020,242797,2022-11-15T14:42:42.049000-05:00,25.13,39.65746391752577,100360_9606_705204,20221115_1442_agritech_batch2bfusmalljarwater_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,ef419360-d01d-49da-9c41-74d9a9d98ad1,baseline
5.0,1.0,12322,99045,29453,52694,221655,20194,133839,68823,192610,88515,137187,63911,12227,80862,5889,1456,60188,29763,105252,253723,177936,21693,350642,9337,29338,263925,42990,55675,289823,41721,409034,242834,2022-11-15T14:42:43.049000-05:00,25.131595411887382,39.635213764337855,100360_9606_705204,20221115_1442_agritech_batch2bfusmalljarwater_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,ef419360-d01d-49da-9c41-74d9a9d98ad1,baseline
6.0,1.0,12322,98998,29440,52690,221594,20195,133715,68828,192693,88486,137109,63925,12221,80892,5889,1455,60178,29759,105246,253649,178075,21685,350557,9331,29314,263958,42990,55651,290208,41667,409008,242777,2022-11-15T14:42:44.049000-05:00,25.14,39.612,100360_9606_705204,20221115_1442_agritech_batch2bfusmalljarwater_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,ef419360-d01d-49da-9c41-74d9a9d98ad1,baseline
7.0,1.0,12322,98998,29432,52687,221639,20195,133791,68797,192751,88487,137013,63948,12224,80909,5890,1454,60200,29757,105134,253698,177958,21686,350832,9327,29311,263887,42996,55657,289913,41642,408955,242784,2022-11-15T14:42:45.049000-05:00,25.137685950413225,39.615371900826446,100360_9606_705204,20221115_1442_agritech_batch2bfusmalljarwater_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,ef419360-d01d-49da-9c41-74d9a9d98ad1,baseline
8.0,1.0,12327,99008,29432,52664,221609,20198,133903,68831,192707,88488,136956,63951,12224,80884,5887,1455,60207,29754,105066,253709,177880,21677,350986,9325,29310,263783,42989,55643,289663,41619,408871,242641,2022-11-15T14:42:46.049000-05:00,25.1353112033195,39.6,100360_9606_705204,20221115_1442_agritech_batch2bfusmalljarwater_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,ef419360-d01d-49da-9c41-74d9a9d98ad1,baseline
9.0,1.0,12327,99041,29452,52665,221587,20204,133941,68813,192736,88475,136905,63935,12224,80853,5888,1455,60226,29755,105078,253610,177863,21685,350825,9320,29300,263824,42984,55615,289727,41596,408767,242642,2022-11-15T14:42:47.049000-05:00,25.146986584107328,39.6,100360_9606_705204,20221115_1442_agritech_batch2bfusmalljarwater_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,ef419360-d01d-49da-9c41-74d9a9d98ad1,baseline
10.0,1.0,12326,98999,29463,52671,221715,20204,133915,68808,192782,88472,136931,63939,12225,80882,5886,1457,60199,29764,105142,253765,177809,21681,350917,9315,29307,263745,42981,55613,289793,41590,408873,242768,2022-11-15T14:42:48.049000-05:00,25.143326467559216,39.59002059732235,100360_9606_705204,20221115_1442_agritech_batch2bfusmalljarwater_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,ef419360-d01d-49da-9c41-74d9a9d98ad1,baseline
11.0,1.0,12325,98999,29451,52680,221709,20198,133838,68802,192725,88478,136982,63940,12227,80836,5886,1457,60195,29763,105074,253772,177811,21677,350876,9315,29316,263708,42975,55618,289920,41566,408911,242737,2022-11-15T14:42:49.049000-05:00,25.139102167182664,39.56273477812177,100360_9606_705204,20221115_1442_agritech_batch2bfusmalljarwater_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,ef419360-d01d-49da-9c41-74d9a9d98ad1,baseline
12.0,1.0,12325,99010,29446,52659,221612,20196,133703,68801,192627,88478,136937,63908,12225,80826,5888,1458,60195,29770,105040,253803,177925,21680,350795,9311,29323,263737,42978,55610,289817,41557,408828,242718,2022-11-15T14:42:50.049000-05:00,25.127896907216495,39.542103092783506,100360_9606_705204,20221115_1442_agritech_batch2bfusmalljarwater_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,ef419360-d01d-49da-9c41-74d9a9d98ad1,baseline
13.0,1.0,12326,99024,29447,52637,221594,20194,133696,68820,192600,88460,136935,63901,12226,80868,5888,1458,60190,29764,104938,253860,177904,21676,350797,9308,29320,263757,42976,55588,290023,41558,408752,242706,2022-11-15T14:42:51.049000-05:00,25.135737874097007,39.53426212590299,100360_9606_705204,20221115_1442_agritech_batch2bfusmalljarwater_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,ef419360-d01d-49da-9c41-74d9a9d98ad1,baseline
14.0,1.0,12325,99024,29451,52648,221679,20196,133654,68816,192593,88461,136946,63903,12225,80834,5884,1458,60181,29766,104908,253863,177936,21678,350640,9305,29310,263741,42979,55582,289922,41553,408886,242646,2022-11-15T14:42:52.049000-05:00,25.134582043343652,39.52625386996904,100360_9606_705204,20221115_1442_agritech_batch2bfusmalljarwater_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,ef419360-d01d-49da-9c41-74d9a9d98ad1,baseline
15.0,1.0,12323,99041,29446,52646,221648,20197,133435,68815,192629,88467,136923,63899,12225,80800,5882,1458,60188,29761,104959,253801,178033,21683,350653,9294,29308,263786,42985,55551,289832,41510,409072,242660,2022-11-15T14:42:53.049000-05:00,25.130196078431375,39.514901960784314,100360_9606_705204,20221115_1442_agritech_batch2bfusmalljarwater_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,ef419360-d01d-49da-9c41-74d9a9d98ad1,baseline
16.0,1.0,12322,99015,29433,52632,221646,20200,133626,68834,192619,88461,136926,63867,12225,80800,5879,1457,60203,29764,104987,253743,177970,21682,350993,9287,29315,263846,42981,55534,289723,41481,409041,242683,2022-11-15T14:42:54.049000-05:00,25.12,39.51478350515464,100360_9606_705204,20221115_1442_agritech_batch2bfusmalljarwater_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,ef419360-d01d-49da-9c41-74d9a9d98ad1,baseline
17.0,1.0,12322,98979,29436,52634,221645,20199,133779,68833,192698,88469,136898,63817,12224,80828,5880,1457,60226,29766,105220,253733,177905,21682,350877,9283,29308,263796,42972,55541,289596,41466,409172,242711,2022-11-15T14:42:55.049000-05:00,25.125531475748193,39.49893704850361,100360_9606_705204,20221115_1442_agritech_batch2bfusmalljarwater_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,ef419360-d01d-49da-9c41-74d9a9d98ad1,baseline
18.0,1.0,12321,98956,29446,52625,221581,20197,133788,68801,192761,88451,136877,63797,12222,80779,5881,1459,60246,29761,105056,253732,178106,21676,350765,9280,29296,263775,42969,55534,289643,41473,409051,242651,2022-11-15T14:42:56.049000-05:00,25.13,39.49588785046729,100360_9606_705204,20221115_1442_agritech_batch2bfusmalljarwater_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,ef419360-d01d-49da-9c41-74d9a9d98ad1,baseline
19.0,1.0,12320,98937,29444,52628,221631,20197,133876,68848,192734,88441,136841,63798,12223,80803,5879,1458,60210,29769,104839,253815,178144,21672,350905,9275,29310,263810,42968,55528,289723,41478,409055,242682,2022-11-15T14:42:57.049000-05:00,25.111300309597524,39.48753353973168,100360_9606_705204,20221115_1442_agritech_batch2bfusmalljarwater_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,ef419360-d01d-49da-9c41-74d9a9d98ad1,baseline
20.0,1.0,12321,98919,29429,52622,221626,20196,133869,68830,192707,88448,136802,63783,12226,80886,5879,1459,60220,29774,104966,253798,178057,21674,350654,9270,29296,263784,42950,55513,289789,41468,408975,242706,2022-11-15T14:42:58.049000-05:00,25.11307929969104,39.473460350154475,100360_9606_705204,20221115_1442_agritech_batch2bfusmalljarwater_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,ef419360-d01d-49da-9c41-74d9a9d98ad1,baseline
21.0,1.0,12320,98925,29430,52628,221574,20195,133759,68773,192698,88446,136818,63778,12226,80854,5879,1457,60181,29773,105095,253777,178099,21684,350651,9267,29297,263776,42942,55495,289786,41464,408950,242719,2022-11-15T14:42:59.049000-05:00,25.126852425180598,39.4494427244582,100360_9606_705204,20221115_1442_agritech_batch2bfusmalljarwater_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,ef419360-d01d-49da-9c41-74d9a9d98ad1,baseline
22.0,1.0,12321,98903,29428,52634,221580,20195,133423,68808,192708,88466,136793,63786,12223,80782,5876,1458,60169,29770,105090,253746,178093,21684,350820,9265,29309,263782,42957,55475,289833,41476,409218,242811,2022-11-15T14:43:00.049000-05:00,25.122827657378743,39.43282765737874,100360_9606_705204,20221115_1442_agritech_batch2bfusmalljarwater_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,ef419360-d01d-49da-9c41-74d9a9d98ad1,baseline
23.0,1.0,12321,98885,29411,52608,221507,20196,133444,68795,192709,88460,136766,63794,12225,80819,5875,1459,60193,29767,105182,253692,177995,21675,350830,9261,29297,263811,42954,55470,289829,41415,409037,242667,2022-11-15T14:43:01.049000-05:00,25.12,39.43,100360_9606_705204,20221115_1442_agritech_batch2bfusmalljarwater_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,ef419360-d01d-49da-9c41-74d9a9d98ad1,baseline
24.0,1.0,12324,98885,29436,52608,221564,20196,133555,68856,192735,88443,136805,63752,12225,80853,5875,1455,60211,29759,105048,253664,177893,21676,350582,9259,29272,263390,42873,55057,288607,41050,408982,242490,2022-11-15T14:43:02.049000-05:00,25.12793501048218,39.42206498951782,100360_9606_705204,20221115_1442_agritech_batch2bfusmalljarwater_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,ef419360-d01d-49da-9c41-74d9a9d98ad1,baseline
25.0,1.0,12320,98714,29439,52535,221295,20167,133611,68715,192588,88178,135955,61314,12210,80629,5857,1456,60148,29665,105119,253554,177788,21654,350118,9194,29131,262479,42615,54060,286024,40579,408672,242320,2022-11-15T14:43:03.049000-05:00,25.10513931888545,39.11338493292053,100360_9606_705204,20221115_1442_agritech_batch2bfusmalljarwater_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,ef419360-d01d-49da-9c41-74d9a9d98ad1,baseline
26.0,1.0,12311,98556,29446,52395,221517,20176,133743,68728,192662,88409,136778,63041,12234,80829,5872,1457,60259,29900,105461,253805,178455,21732,351514,9340,29665,266029,43704,60120,297694,44444,409609,243051,2022-11-15T14:43:04.049000-05:00,25.134427244582042,38.96393188854489,100360_9606_705204,20221115_1442_agritech_batch2bfusmalljarwater_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,ef419360-d01d-49da-9c41-74d9a9d98ad1,baseline
27.0,1.0,12341,99539,29488,53192,221859,20272,133863,68888,193068,89135,139023,84669,12262,81233,5953,1459,60372,30044,105621,254097,178706,21784,352283,9556,29928,266835,44209,63500,303827,46280,409900,243510,2022-11-15T14:43:05.049000-05:00,25.135515811301193,40.658475894245726,100360_9606_705204,20221115_1442_agritech_batch2bfusmalljarwater_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,ef419360-d01d-49da-9c41-74d9a9d98ad1,baseline
28.0,1.0,12377,100698,29535,54138,222202,20381,133978,69063,193518,89920,141430,109255,12290,81654,6044,1460,60480,30163,105747,254384,178868,21829,352894,9776,30128,267072,44579,66239,308646,47664,410048,243899,2022-11-15T14:43:06.049000-05:00,25.13033177812338,42.633592534992225,100360_9606_705204,20221115_1442_agritech_batch2bfusmalljarwater_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,ef419360-d01d-49da-9c41-74d9a9d98ad1,baseline
29.0,1.0,12392,101119,29579,54509,222315,20413,134230,69068,193627,90183,142528,116788,12293,81986,6116,1459,60568,30207,105758,254958,178840,21845,353026,9922,30228,267346,44737,67519,311925,48305,410182,244005,2022-11-15T14:43:07.049000-05:00,25.1495,44.52475,100360_9606_705204,20221115_1442_agritech_batch2bfusmalljarwater_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,ef419360-d01d-49da-9c41-74d9a9d98ad1,baseline
30.0,1.0,12395,101398,29543,54665,222302,20430,134183,69129,193784,90369,143468,119192,12297,82506,6171,1459,60560,30202,105957,255219,178729,21841,353170,10042,30296,267551,44851,68256,314482,48618,410249,244248,2022-11-15T14:43:08.049000-05:00,25.1303734439834,46.032033195020745,100360_9606_705204,20221115_1442_agritech_batch2bfusmalljarwater_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,ef419360-d01d-49da-9c41-74d9a9d98ad1,exposure
31.0,1.0,12402,101615,29565,54871,222416,20447,134203,69156,193819,90456,143841,120350,12293,82639,6211,1459,60650,30195,106136,255276,178782,21871,353227,10130,30295,267551,44920,68576,316350,48834,410519,244134,2022-11-15T14:43:09.049000-05:00,25.14944329896907,47.24344329896907,100360_9606_705204,20221115_1442_agritech_batch2bfusmalljarwater_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,ef419360-d01d-49da-9c41-74d9a9d98ad1,exposure
32.0,1.0,12405,101661,29586,54979,222485,20449,134186,69146,193868,90497,144219,120286,12294,82953,6238,1460,60644,30201,105929,255230,178702,21869,353360,10192,30294,267449,44925,68652,317610,48903,410577,244226,2022-11-15T14:43:10.049000-05:00,25.140866873065015,48.212414860681115,100360_9606_705204,20221115_1442_agritech_batch2bfusmalljarwater_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,ef419360-d01d-49da-9c41-74d9a9d98ad1,exposure
33.0,1.0,12404,101760,29588,55000,222581,20448,134059,69205,193813,90545,144466,119907,12293,83068,6254,1460,60579,30184,105997,255287,178943,21867,353465,10240,30320,267470,44940,68663,318613,48954,410765,244195,2022-11-15T14:43:11.049000-05:00,25.15118556701031,48.93520618556701,100360_9606_705204,20221115_1442_agritech_batch2bfusmalljarwater_2_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,ef419360-d01d-49da-9c41-74d9a9d98ad1,exposure
