seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state
0.0,1.0,12360,99608,29399,52455,221830,20242,133640,68954,192620,88158,140947,66954,12225,80798,5865,1460,60181,29731,104719,252679,177961,21638,352156,8613,29211,262340,42699,50414,303973,38309,410125,242288,2022-11-15T15:16:49.871000-05:00,25.11,37.04,100360_9606_705204,20221115_1516_agritech_batch2bfusmalljarwater_5_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,46f47e32-3322-4ad1-9464-9e9773e877f9,baseline
1.0,1.0,12359,99537,29411,52472,221789,20242,133751,68939,192638,88124,140983,66911,12225,80829,5864,1459,60177,29742,104885,252722,177932,21630,351975,8611,29218,262282,42722,50417,303560,38297,409982,242342,2022-11-15T15:16:50.871000-05:00,25.09031991744066,37.01,100360_9606_705204,20221115_1516_agritech_batch2bfusmalljarwater_5_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,46f47e32-3322-4ad1-9464-9e9773e877f9,baseline
2.0,1.0,12360,99559,29411,52439,221752,20241,133610,68965,192632,88139,140953,66875,12224,80658,5861,1459,60175,29726,104677,252688,178037,21629,352289,8606,29233,262317,42729,50420,303538,38320,409681,242339,2022-11-15T15:16:51.871000-05:00,25.100639175257733,37.008721649484535,100360_9606_705204,20221115_1516_agritech_batch2bfusmalljarwater_5_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,46f47e32-3322-4ad1-9464-9e9773e877f9,baseline
3.0,1.0,12361,99559,29393,52426,221705,20238,133422,68942,192615,88095,140907,66883,12222,80636,5861,1458,60159,29733,104543,252642,177973,21632,351896,8607,29229,262346,42709,50405,303762,38291,409991,242323,2022-11-15T15:16:52.871000-05:00,25.10904958677686,36.98809917355372,100360_9606_705204,20221115_1516_agritech_batch2bfusmalljarwater_5_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,46f47e32-3322-4ad1-9464-9e9773e877f9,baseline
4.0,1.0,12358,99551,29389,52421,221848,20233,133534,68984,192628,88099,140848,66861,12222,80682,5866,1458,60176,29728,104734,252770,178019,21640,352184,8602,29208,262538,42713,50399,303576,38287,409852,242451,2022-11-15T15:16:53.871000-05:00,25.1,36.968721649484536,100360_9606_705204,20221115_1516_agritech_batch2bfusmalljarwater_5_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,46f47e32-3322-4ad1-9464-9e9773e877f9,baseline
5.0,1.0,12360,99578,29382,52418,221867,20242,133635,68942,192637,88092,140832,66804,12222,80689,5863,1458,60169,29721,104873,252805,177888,21645,351846,8603,29198,262322,42718,50381,303432,38263,409517,242418,2022-11-15T15:16:54.871000-05:00,25.1,36.95841073271414,100360_9606_705204,20221115_1516_agritech_batch2bfusmalljarwater_5_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,46f47e32-3322-4ad1-9464-9e9773e877f9,baseline
6.0,1.0,12360,99565,29396,52414,221841,20243,133860,68960,192613,88105,140811,66770,12223,80653,5861,1458,60193,29731,104900,252814,177821,21636,351869,8601,29209,262323,42726,50352,303321,38261,409822,242461,2022-11-15T15:16:55.871000-05:00,25.1019052523172,36.9480947476828,100360_9606_705204,20221115_1516_agritech_batch2bfusmalljarwater_5_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,46f47e32-3322-4ad1-9464-9e9773e877f9,baseline
7.0,1.0,12361,99530,29413,52422,221839,20247,133768,68906,192681,88101,140776,66751,12222,80633,5860,1458,60169,29724,104773,252767,178039,21635,351895,8596,29199,262370,42701,50337,303352,38238,409773,242540,2022-11-15T15:16:56.871000-05:00,25.1122084623323,36.935583075335394,100360_9606_705204,20221115_1516_agritech_batch2bfusmalljarwater_5_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,46f47e32-3322-4ad1-9464-9e9773e877f9,baseline
8.0,1.0,12361,99526,29412,52414,221739,20246,133747,68925,192681,88119,140762,66768,12221,80550,5858,1458,60204,29726,104691,252673,178029,21634,351850,8593,29206,262377,42698,50353,303384,38245,409776,242496,2022-11-15T15:16:57.871000-05:00,25.11232776617954,36.91488517745303,100360_9606_705204,20221115_1516_agritech_batch2bfusmalljarwater_5_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,46f47e32-3322-4ad1-9464-9e9773e877f9,baseline
9.0,1.0,12364,99537,29402,52394,221756,20244,133795,68930,192708,88097,140740,66697,12222,80509,5856,1458,60181,29728,104699,252786,178138,21629,351965,8591,29200,262389,42703,50333,303359,38237,409788,242299,2022-11-15T15:16:58.871000-05:00,25.0929587628866,36.894082474226806,100360_9606_705204,20221115_1516_agritech_batch2bfusmalljarwater_5_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,46f47e32-3322-4ad1-9464-9e9773e877f9,baseline
