seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state
0.0,1.0,12383,100209,29389,53126,222015,20289,134079,68922,192953,88449,143720,72417,12238,81158,5876,1458,60155,29752,105050,253428,178841,21673,352745,8976,29316,263044,42886,51854,306929,39436,410813,242773,2022-11-15T15:24:25.873000-05:00,25.05,38.67,100360_9606_705204,20221115_1524_agritech_batch2bfusmalljarwater_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,aac44d08-fb57-4a98-b3e8-c295ffa35316,baseline
1.0,1.0,12382,100212,29376,53123,222166,20292,134119,68972,192861,88420,143664,72459,12232,80987,5873,1456,60173,29763,105100,253523,178695,21661,352976,8965,29308,263027,42893,51834,306713,39423,410809,242865,2022-11-15T15:24:26.873000-05:00,25.100993788819878,38.66966873706004,100360_9606_705204,20221115_1524_agritech_batch2bfusmalljarwater_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,aac44d08-fb57-4a98-b3e8-c295ffa35316,baseline
2.0,1.0,12380,100228,29357,53074,222128,20290,133787,68942,192933,88443,143600,72399,12236,81071,5873,1458,60182,29750,104950,253458,178666,21660,352944,8960,29325,263028,42892,51817,306845,39439,410399,242832,2022-11-15T15:24:27.873000-05:00,25.127933194154487,38.65931106471816,100360_9606_705204,20221115_1524_agritech_batch2bfusmalljarwater_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,aac44d08-fb57-4a98-b3e8-c295ffa35316,baseline
3.0,1.0,12381,100214,29393,53062,222000,20292,134181,68895,192914,88458,143623,72360,12233,81023,5876,1459,60221,29744,104887,253389,178464,21665,353033,8959,29333,262990,42887,51840,306759,39398,410558,242908,2022-11-15T15:24:28.873000-05:00,25.1,38.648886597938144,100360_9606_705204,20221115_1524_agritech_batch2bfusmalljarwater_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,aac44d08-fb57-4a98-b3e8-c295ffa35316,baseline
4.0,1.0,12385,100181,29372,53071,221961,20285,134007,68879,192964,88458,143578,72315,12233,81182,5872,1458,60218,29742,104786,253357,178589,21655,352828,8953,29330,262936,42884,51830,306571,39385,410687,242893,2022-11-15T15:24:29.873000-05:00,25.1,38.637151702786376,100360_9606_705204,20221115_1524_agritech_batch2bfusmalljarwater_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,aac44d08-fb57-4a98-b3e8-c295ffa35316,baseline
5.0,1.0,12383,100210,29381,53069,222032,20291,133986,68895,192876,88440,143560,72291,12233,81117,5876,1456,60162,29741,105018,253354,178652,21658,352933,8950,29318,262840,42890,51821,306480,39367,410914,242874,2022-11-15T15:24:30.873000-05:00,25.1,38.62174226804124,100360_9606_705204,20221115_1524_agritech_batch2bfusmalljarwater_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,aac44d08-fb57-4a98-b3e8-c295ffa35316,baseline
6.0,1.0,12384,100173,29379,53084,221901,20291,134003,68911,192868,88430,143508,72283,12233,81117,5873,1457,60183,29750,104752,253410,178640,21654,352900,8949,29324,262837,42881,51795,306312,39374,410630,242826,2022-11-15T15:24:31.873000-05:00,25.097924921793535,38.62377476538061,100360_9606_705204,20221115_1524_agritech_batch2bfusmalljarwater_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,aac44d08-fb57-4a98-b3e8-c295ffa35316,baseline
7.0,1.0,12383,100220,29392,53074,222066,20296,134060,68906,192879,88458,143456,72256,12231,81138,5869,1456,60188,29747,104655,253488,178535,21656,352842,8945,29321,262955,42884,51769,306335,39374,410816,242819,2022-11-15T15:24:32.873000-05:00,25.085,38.6,100360_9606_705204,20221115_1524_agritech_batch2bfusmalljarwater_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,aac44d08-fb57-4a98-b3e8-c295ffa35316,baseline
8.0,1.0,12383,100166,29401,53068,222046,20290,134031,68907,192880,88457,143460,72232,12235,81126,5869,1456,60177,29743,104589,253494,178498,21656,352739,8942,29298,262919,42882,51773,306384,39357,410859,242943,2022-11-15T15:24:33.873000-05:00,25.075767250257467,38.5913491246138,100360_9606_705204,20221115_1524_agritech_batch2bfusmalljarwater_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,aac44d08-fb57-4a98-b3e8-c295ffa35316,baseline
9.0,1.0,12382,100163,29403,53081,221982,20287,133904,68889,192899,88468,143380,72215,12236,81176,5870,1458,60189,29748,104935,253543,178460,21664,352743,8941,29296,262983,42875,51763,306430,39341,410981,242773,2022-11-15T15:24:34.873000-05:00,25.09319214876033,38.56680785123967,100360_9606_705204,20221115_1524_agritech_batch2bfusmalljarwater_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,aac44d08-fb57-4a98-b3e8-c295ffa35316,baseline
10.0,1.0,12382,100149,29417,53088,221917,20292,134012,68886,192898,88490,143361,72232,12236,81136,5868,1460,60203,29753,104853,253461,178605,21659,352669,8936,29299,262907,42875,51754,306303,39326,410726,242789,2022-11-15T15:24:35.873000-05:00,25.1,38.55296907216495,100360_9606_705204,20221115_1524_agritech_batch2bfusmalljarwater_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,aac44d08-fb57-4a98-b3e8-c295ffa35316,baseline
11.0,1.0,12381,100133,29416,53071,221983,20291,133953,68905,192878,88474,143390,72235,12233,81125,5866,1459,60184,29760,104718,253410,178524,21654,352749,8930,29307,262937,42877,51746,306281,39311,410293,242807,2022-11-15T15:24:36.873000-05:00,25.088537590113287,38.54,100360_9606_705204,20221115_1524_agritech_batch2bfusmalljarwater_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,aac44d08-fb57-4a98-b3e8-c295ffa35316,baseline
12.0,1.0,12380,100169,29400,53079,222007,20287,134069,68910,192851,88459,143410,72207,12235,81113,5866,1459,60186,29750,104693,253400,178464,21655,352739,8930,29303,262983,42880,51734,306226,39305,410508,242815,2022-11-15T15:24:37.873000-05:00,25.082396694214875,38.53586776859504,100360_9606_705204,20221115_1524_agritech_batch2bfusmalljarwater_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,aac44d08-fb57-4a98-b3e8-c295ffa35316,baseline
13.0,1.0,12379,100171,29396,53060,221993,20287,134079,68902,192880,88472,143403,72177,12233,81057,5866,1459,60197,29752,104710,253475,178398,21655,352720,8924,29304,262928,42874,51729,306042,39289,410694,242705,2022-11-15T15:24:38.873000-05:00,25.095550978372813,38.52555097837281,100360_9606_705204,20221115_1524_agritech_batch2bfusmalljarwater_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,aac44d08-fb57-4a98-b3e8-c295ffa35316,baseline
14.0,1.0,12379,100142,29400,53057,222026,20289,134002,68901,192895,88478,143283,72152,12232,81120,5865,1459,60198,29745,104804,253506,178346,21664,352827,8917,29303,262863,42865,51714,306053,39283,410662,242622,2022-11-15T15:24:39.873000-05:00,25.085242518059854,38.51048503611971,100360_9606_705204,20221115_1524_agritech_batch2bfusmalljarwater_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,aac44d08-fb57-4a98-b3e8-c295ffa35316,baseline
15.0,1.0,12381,100100,29408,53056,221959,20285,134027,68932,192899,88450,143176,72126,12234,81162,5863,1459,60199,29746,104712,253496,178420,21674,352740,8915,29302,262922,42869,51693,305893,39278,410588,242595,2022-11-15T15:24:40.873000-05:00,25.06985567010309,38.48985567010309,100360_9606_705204,20221115_1524_agritech_batch2bfusmalljarwater_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,aac44d08-fb57-4a98-b3e8-c295ffa35316,baseline
16.0,1.0,12382,100116,29411,53032,221962,20286,133999,68923,192864,88438,143150,72082,12234,81158,5863,1459,60198,29754,104584,253479,178311,21669,352727,8911,29306,262979,42873,51704,305645,39278,410715,242588,2022-11-15T15:24:41.873000-05:00,25.07612770339856,38.474624098867146,100360_9606_705204,20221115_1524_agritech_batch2bfusmalljarwater_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,aac44d08-fb57-4a98-b3e8-c295ffa35316,baseline
17.0,1.0,12382,100115,29412,53013,221997,20282,133883,68928,192830,88425,143105,72048,12236,81167,5864,1460,60202,29753,104581,253467,178406,21657,352705,8906,29300,262958,42869,51709,305610,39257,410837,242626,2022-11-15T15:24:42.873000-05:00,25.07862745098039,38.45294117647059,100360_9606_705204,20221115_1524_agritech_batch2bfusmalljarwater_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,aac44d08-fb57-4a98-b3e8-c295ffa35316,baseline
18.0,1.0,12383,100109,29421,53006,222018,20278,133843,68957,192813,88433,143098,72042,12237,81127,5863,1460,60169,29753,104699,253517,178342,21654,352666,8901,29289,262884,42871,51685,305693,39250,410881,242588,2022-11-15T15:24:43.873000-05:00,25.06393117831074,38.433931178310736,100360_9606_705204,20221115_1524_agritech_batch2bfusmalljarwater_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,aac44d08-fb57-4a98-b3e8-c295ffa35316,baseline
19.0,1.0,12379,100108,29428,53022,221937,20281,133856,68946,192832,88456,143067,72034,12237,81064,5861,1460,60185,29753,104671,253513,178330,21652,352691,8896,29278,262795,42856,51653,305660,39230,410825,242540,2022-11-15T15:24:44.873000-05:00,25.06642268041237,38.41715463917526,100360_9606_705204,20221115_1524_agritech_batch2bfusmalljarwater_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,aac44d08-fb57-4a98-b3e8-c295ffa35316,baseline
20.0,1.0,12383,100106,29411,53002,221887,20275,133783,68929,192880,88428,143035,72020,12235,81090,5860,1458,60178,29751,104646,253435,178284,21654,352628,8896,29262,262751,42843,51643,305711,39193,410872,242567,2022-11-15T15:24:45.873000-05:00,25.083463917525773,38.41,100360_9606_705204,20221115_1524_agritech_batch2bfusmalljarwater_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,aac44d08-fb57-4a98-b3e8-c295ffa35316,baseline
21.0,1.0,12382,100089,29409,52966,222007,20274,133844,68934,192849,88431,142970,71991,12236,81157,5857,1459,60170,29749,104874,253400,178332,21648,352730,8899,29256,262849,42847,51648,305532,39195,410882,242540,2022-11-15T15:24:46.873000-05:00,25.06874481327801,38.38874481327801,100360_9606_705204,20221115_1524_agritech_batch2bfusmalljarwater_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,aac44d08-fb57-4a98-b3e8-c295ffa35316,baseline
22.0,1.0,12385,100067,29413,52968,221985,20276,133912,68911,192928,88417,142971,71943,12236,81120,5858,1459,60161,29741,104899,253362,178463,21649,352811,8898,29276,262841,42838,51636,305587,39192,410682,242495,2022-11-15T15:24:47.873000-05:00,25.104474226804125,38.38,100360_9606_705204,20221115_1524_agritech_batch2bfusmalljarwater_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,aac44d08-fb57-4a98-b3e8-c295ffa35316,baseline
23.0,1.0,12380,100030,29416,52985,221928,20276,133899,68898,192885,88410,142971,71902,12236,81096,5859,1459,60177,29748,104870,253376,178385,21647,352757,8896,29274,262762,42842,51596,305412,39174,410832,242486,2022-11-15T15:24:48.873000-05:00,25.089113402061855,38.35683505154639,100360_9606_705204,20221115_1524_agritech_batch2bfusmalljarwater_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,aac44d08-fb57-4a98-b3e8-c295ffa35316,baseline
24.0,1.0,12379,100029,29405,52992,222048,20270,133855,68897,192878,88410,142919,71892,12238,81079,5858,1459,60178,29741,104605,253474,178501,21646,352554,8888,29275,262874,42834,51573,305329,39186,410854,242493,2022-11-15T15:24:49.873000-05:00,25.039803921568627,38.35,100360_9606_705204,20221115_1524_agritech_batch2bfusmalljarwater_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,aac44d08-fb57-4a98-b3e8-c295ffa35316,baseline
25.0,1.0,12380,100043,29392,52969,222065,20279,133997,68901,192938,88409,142832,71830,12238,81187,5855,1459,60186,29728,104697,253348,178585,21647,352698,8882,29267,262867,42839,51571,305471,39160,410698,242572,2022-11-15T15:24:50.873000-05:00,25.071795665634674,38.30820433436532,100360_9606_705204,20221115_1524_agritech_batch2bfusmalljarwater_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,aac44d08-fb57-4a98-b3e8-c295ffa35316,baseline
26.0,1.0,12380,100036,29388,52951,222100,20277,133997,68902,192830,88325,142578,71278,12230,81201,5852,1459,60207,29696,104856,253269,178104,21639,352260,8846,29132,261842,42583,50610,302198,38519,410257,242458,2022-11-15T15:24:51.873000-05:00,25.088751300728408,38.229989594172736,100360_9606_705204,20221115_1524_agritech_batch2bfusmalljarwater_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,aac44d08-fb57-4a98-b3e8-c295ffa35316,baseline
27.0,1.0,12372,99846,29370,52869,222051,20269,134015,68892,192781,88302,142538,70686,12233,81321,5848,1459,60229,29752,104955,253333,178176,21656,352651,8867,29280,263243,42900,52152,306398,39555,410503,242804,2022-11-15T15:24:52.873000-05:00,25.071808785529715,37.8743669250646,100360_9606_705204,20221115_1524_agritech_batch2bfusmalljarwater_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,aac44d08-fb57-4a98-b3e8-c295ffa35316,baseline
28.0,1.0,12363,99631,29351,52778,221990,20260,134040,68881,192745,88288,142531,70101,12236,81457,5844,1459,60251,29821,105047,253414,178337,21677,353172,8897,29471,265001,43301,54062,311706,40835,410848,243218,2022-11-15T15:24:53.873000-05:00,25.051136950904393,37.481602067183466,100360_9606_705204,20221115_1524_agritech_batch2bfusmalljarwater_6_1trials,1,IAF-AGRITECH-BATCH2BFUSMALLJARWATER,aac44d08-fb57-4a98-b3e8-c295ffa35316,baseline
