seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state,label
0.0,1.0,11944,82017,28771,43715,216214,19528,132586,67633,190358,80134,94505,44968,11961,74166,5275,1436,59223,28642,104710,254304,172007,21525,339551,5958,26362,259477,36108,33017,197277,28002,405462,239274,2022-11-15T10:39:05.941000-05:00,24.99,32.28,100360_9606_705204,20221115_1038_agritech_bfusmalljarfresh_1_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,2f1bdc64-a4be-4464-a971-8220405704ec,baseline,fresh
1.0,1.0,11944,82033,28771,43712,216058,19524,132771,67715,190315,80144,94473,44948,11959,74159,5277,1438,59206,28654,104686,254333,171958,21526,339409,5962,26351,259389,36110,33026,197106,27998,405363,239500,2022-11-15T10:39:06.941000-05:00,25.00967942088935,32.27,100360_9606_705204,20221115_1038_agritech_bfusmalljarfresh_1_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,2f1bdc64-a4be-4464-a971-8220405704ec,baseline,fresh
2.0,1.0,11944,81993,28763,43714,216219,19535,132669,67661,190345,80125,94496,44959,11960,74167,5277,1434,59232,28635,104813,254262,171981,21523,339159,5964,26365,259355,36110,33019,197266,28008,404826,239139,2022-11-15T10:39:07.941000-05:00,25.000658436213993,32.27,100360_9606_705204,20221115_1038_agritech_bfusmalljarfresh_1_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,2f1bdc64-a4be-4464-a971-8220405704ec,baseline,fresh
3.0,1.0,11942,82023,28763,43705,216221,19534,132682,67676,190360,80178,94482,44975,11959,74148,5276,1436,59276,28629,104982,254207,172143,21523,339187,5963,26339,259374,36107,33035,197212,28000,405445,239203,2022-11-15T10:39:08.941000-05:00,25.00904761904762,32.26904761904762,100360_9606_705204,20221115_1038_agritech_bfusmalljarfresh_1_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,2f1bdc64-a4be-4464-a971-8220405704ec,baseline,fresh
4.0,1.0,11945,81985,28763,43712,216194,19535,132781,67671,190302,80150,94498,44995,11959,74190,5273,1440,59255,28635,104604,254196,171989,21526,339248,5962,26340,259335,36112,33031,197144,28017,405245,239106,2022-11-15T10:39:09.941000-05:00,25.0,32.26389690721649,100360_9606_705204,20221115_1038_agritech_bfusmalljarfresh_1_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,2f1bdc64-a4be-4464-a971-8220405704ec,baseline,fresh
5.0,1.0,11944,81998,28764,43706,216119,19529,132745,67704,190311,80149,94479,44998,11961,74177,5274,1435,59246,28626,104801,254342,172100,21528,339469,5961,26348,259338,36117,33034,197193,28004,405087,239144,2022-11-15T10:39:10.941000-05:00,25.003229813664596,32.2867701863354,100360_9606_705204,20221115_1038_agritech_bfusmalljarfresh_1_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,2f1bdc64-a4be-4464-a971-8220405704ec,baseline,fresh
6.0,1.0,11944,82020,28772,43730,216120,19530,132878,67677,190299,80165,94485,44975,11958,74192,5278,1434,59266,28638,104718,254381,172149,21528,339287,5961,26368,259393,36126,33027,197194,28023,404840,239098,2022-11-15T10:39:11.941000-05:00,25.02,32.27,100360_9606_705204,20221115_1038_agritech_bfusmalljarfresh_1_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,2f1bdc64-a4be-4464-a971-8220405704ec,baseline,fresh
7.0,1.0,11943,81987,28781,43732,216105,19537,132942,67656,190320,80166,94499,44976,11962,74222,5276,1434,59242,28638,104690,254265,172119,21520,339534,5963,26358,259482,36112,33031,197203,28033,405441,239176,2022-11-15T10:39:12.941000-05:00,25.008529718456725,32.27229405630866,100360_9606_705204,20221115_1038_agritech_bfusmalljarfresh_1_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,2f1bdc64-a4be-4464-a971-8220405704ec,baseline,fresh
8.0,1.0,11941,82014,28771,43716,216046,19537,132877,67683,190338,80190,94499,44980,11959,74204,5274,1436,59232,28636,104828,254268,172185,21521,339182,5960,26369,259411,36120,33033,197202,28019,405099,239202,2022-11-15T10:39:13.941000-05:00,24.980762886597937,32.277309278350515,100360_9606_705204,20221115_1038_agritech_bfusmalljarfresh_1_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,2f1bdc64-a4be-4464-a971-8220405704ec,baseline,fresh
9.0,1.0,11944,82025,28775,43715,216105,19535,132739,67713,190372,80166,94500,44986,11959,74216,5277,1434,59246,28634,105025,254288,172200,21522,339329,5960,26348,259370,36115,33035,197131,28034,405537,239226,2022-11-15T10:39:14.941000-05:00,25.01,32.27300619834711,100360_9606_705204,20221115_1038_agritech_bfusmalljarfresh_1_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,2f1bdc64-a4be-4464-a971-8220405704ec,baseline,fresh
