seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state,label
0.0,1.0,11973,86369,28989,44325,217660,19615,133372,67795,190471,82949,99611,28208,12000,76715,5402,1436,59521,28971,105597,254734,172804,21602,340257,6596,27514,258437,37859,38015,208279,30310,404586,239382,2022-11-15T10:51:54.279000-05:00,25.15,32.17,100360_9606_705204,20221115_1051_agritech_bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21571290-76d5-481e-b478-169a6ac8b635,baseline,fresh
1.0,1.0,11974,86402,29000,44326,217460,19614,133286,67811,190436,82924,99640,28218,12000,76650,5399,1439,59554,28960,105444,254547,172770,21591,339982,6597,27508,258315,37838,38029,208266,30309,404365,239171,2022-11-15T10:51:55.279000-05:00,25.17,32.169680412371136,100360_9606_705204,20221115_1051_agritech_bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21571290-76d5-481e-b478-169a6ac8b635,baseline,fresh
2.0,1.0,11973,86361,29013,44295,217698,19607,133209,67822,190479,82947,99674,28213,12001,76743,5399,1440,59526,28977,105515,254564,172850,21594,340104,6596,27504,258324,37847,38023,208213,30309,404739,239211,2022-11-15T10:51:56.279000-05:00,25.168740970072243,32.15937048503611,100360_9606_705204,20221115_1051_agritech_bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21571290-76d5-481e-b478-169a6ac8b635,baseline,fresh
3.0,1.0,11973,86390,29012,44298,217720,19603,133352,67859,190464,82941,99699,28221,12000,76750,5400,1438,59511,28972,105802,254606,172676,21599,340077,6597,27497,258353,37854,38003,208296,30305,404873,239130,2022-11-15T10:51:57.279000-05:00,25.15,32.15,100360_9606_705204,20221115_1051_agritech_bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21571290-76d5-481e-b478-169a6ac8b635,baseline,fresh
4.0,1.0,11973,86388,29080,44329,217797,19604,133401,67852,190433,82941,99694,28210,11996,76667,5402,1438,59524,28970,105761,254593,172652,21590,340202,6596,27494,258234,37851,38002,208412,30303,404627,238959,2022-11-15T10:51:58.279000-05:00,25.151259029927758,32.15,100360_9606_705204,20221115_1051_agritech_bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21571290-76d5-481e-b478-169a6ac8b635,baseline,fresh
5.0,1.0,11969,86370,29011,44306,217795,19605,133333,67876,190484,82939,99672,28214,11996,76688,5398,1438,59513,28971,105521,254687,172839,21584,340224,6595,27492,258232,37859,38007,208397,30314,404634,238886,2022-11-15T10:51:59.279000-05:00,25.16,32.15159541188738,100360_9606_705204,20221115_1051_agritech_bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21571290-76d5-481e-b478-169a6ac8b635,baseline,fresh
6.0,1.0,11973,86366,29052,44324,217690,19604,133262,67857,190470,82949,99668,28209,12001,76750,5400,1441,59541,28969,105829,254676,172923,21590,340310,6595,27513,258351,37841,38000,208313,30309,404688,239038,2022-11-15T10:52:00.279000-05:00,25.158,32.16,100360_9606_705204,20221115_1051_agritech_bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21571290-76d5-481e-b478-169a6ac8b635,baseline,fresh
7.0,1.0,11975,86375,29012,44316,217841,19603,133293,67864,190452,82937,99651,28210,12001,76707,5401,1440,59560,28966,105748,254682,172722,21582,340319,6594,27511,258256,37849,37992,208248,30309,404781,239136,2022-11-15T10:52:01.279000-05:00,25.156934984520124,32.15768833849329,100360_9606_705204,20221115_1051_agritech_bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21571290-76d5-481e-b478-169a6ac8b635,baseline,fresh
8.0,1.0,11975,86400,29039,44312,217697,19606,133315,67854,190448,82973,99610,28212,11998,76709,5403,1439,59568,28966,105779,254656,172739,21581,340498,6593,27528,258355,37861,37997,208319,30315,404590,239247,2022-11-15T10:52:02.279000-05:00,25.18,32.15,100360_9606_705204,20221115_1051_agritech_bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21571290-76d5-481e-b478-169a6ac8b635,baseline,fresh
9.0,1.0,11975,86372,29013,44294,217704,19603,133374,67845,190429,82972,99612,28200,11998,76671,5402,1436,59546,28970,105674,254690,172697,21577,340374,6592,27524,258329,37866,37991,208267,30324,404225,239376,2022-11-15T10:52:03.279000-05:00,25.17705882352941,32.14705882352941,100360_9606_705204,20221115_1051_agritech_bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21571290-76d5-481e-b478-169a6ac8b635,baseline,fresh
10.0,1.0,11975,86359,29001,44284,217805,19603,133376,67838,190413,82974,99608,28195,11997,76681,5400,1436,59524,28969,105906,254664,172742,21583,340351,6592,27531,258367,37854,37995,208104,30304,404278,239318,2022-11-15T10:52:04.279000-05:00,25.166738906088753,32.14,100360_9606_705204,20221115_1051_agritech_bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21571290-76d5-481e-b478-169a6ac8b635,baseline,fresh
11.0,1.0,11974,86356,29006,44274,217653,19606,133418,67837,190425,82974,99609,28199,11997,76651,5397,1438,59526,28971,105672,254629,172717,21579,340291,6591,27529,258373,37861,37997,208172,30307,404342,239217,2022-11-15T10:52:05.279000-05:00,25.156418988648092,32.14358101135191,100360_9606_705204,20221115_1051_agritech_bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21571290-76d5-481e-b478-169a6ac8b635,baseline,fresh
12.0,1.0,11973,86352,29007,44295,217729,19606,133397,67850,190448,82962,99598,28199,11998,76630,5397,1440,59561,28975,105790,254524,172847,21578,340308,6590,27528,258366,37852,38004,208190,30307,404357,239134,2022-11-15T10:52:06.279000-05:00,25.157883211678833,32.15,100360_9606_705204,20221115_1051_agritech_bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21571290-76d5-481e-b478-169a6ac8b635,baseline,fresh
13.0,1.0,11976,86355,28999,44288,217766,19607,133475,67824,190430,82960,99610,28196,12001,76595,5397,1441,59584,28978,105906,254551,172931,21582,340300,6590,27531,258385,37844,37994,208193,30305,404459,239179,2022-11-15T10:52:07.279000-05:00,25.161351909184727,32.14567595459236,100360_9606_705204,20221115_1051_agritech_bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21571290-76d5-481e-b478-169a6ac8b635,baseline,fresh
14.0,1.0,11980,86358,28995,44270,217647,19609,133418,67786,190433,82954,99599,28199,12001,76596,5397,1438,59567,28978,105649,254536,172723,21573,340374,6590,27519,258392,37857,37997,208176,30303,404383,239207,2022-11-15T10:52:08.279000-05:00,25.159278350515464,32.13536082474227,100360_9606_705204,20221115_1051_agritech_bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21571290-76d5-481e-b478-169a6ac8b635,baseline,fresh
15.0,1.0,11980,86367,29020,44278,217650,19604,133391,67780,190462,82949,99595,28197,11998,76598,5397,1437,59578,28969,105571,254477,172758,21570,340493,6589,27501,258358,37862,37991,208212,30294,404310,239379,2022-11-15T10:52:09.279000-05:00,25.16504132231405,32.12504132231405,100360_9606_705204,20221115_1051_agritech_bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21571290-76d5-481e-b478-169a6ac8b635,baseline,fresh
16.0,1.0,11975,86388,29024,44279,217766,19603,133389,67802,190479,82954,99613,28196,11997,76597,5397,1439,59592,28974,105707,254535,172737,21580,340408,6589,27502,258369,37862,38005,208299,30305,404455,239612,2022-11-15T10:52:10.279000-05:00,25.154721649484536,32.125278350515465,100360_9606_705204,20221115_1051_agritech_bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21571290-76d5-481e-b478-169a6ac8b635,baseline,fresh
17.0,1.0,11974,86392,28998,44278,217801,19606,133364,67800,190472,82954,99607,28205,11999,76585,5396,1440,59572,28978,105938,254605,172696,21589,340452,6589,27509,258358,37873,38011,208287,30303,404537,239618,2022-11-15T10:52:11.279000-05:00,25.155593395252836,32.124406604747165,100360_9606_705204,20221115_1051_agritech_bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21571290-76d5-481e-b478-169a6ac8b635,baseline,fresh
18.0,1.0,11976,86372,29003,44281,217763,19605,133384,67793,190478,82952,99600,28203,12000,76617,5398,1440,59571,28973,106168,254530,172821,21585,340498,6590,27517,258342,37870,38001,208250,30296,404560,239475,2022-11-15T10:52:12.279000-05:00,25.17181443298969,32.13181443298969,100360_9606_705204,20221115_1051_agritech_bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21571290-76d5-481e-b478-169a6ac8b635,baseline,fresh
19.0,1.0,11978,86351,29005,44272,217814,19605,133420,67784,190473,82976,99621,28195,11999,76614,5399,1438,59571,28971,106052,254542,172791,21580,340285,6591,27519,258353,37867,37999,208251,30298,404486,239529,2022-11-15T10:52:13.279000-05:00,25.167554179566565,32.14,100360_9606_705204,20221115_1051_agritech_bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21571290-76d5-481e-b478-169a6ac8b635,baseline,fresh
20.0,1.0,11978,86356,29008,44281,217817,19605,133392,67778,190475,82966,99605,28194,11998,76584,5397,1436,59548,28971,105664,254586,172827,21575,340233,6587,27522,258340,37871,38007,208270,30289,404545,239775,2022-11-15T10:52:14.279000-05:00,25.16,32.14661795407098,100360_9606_705204,20221115_1051_agritech_bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21571290-76d5-481e-b478-169a6ac8b635,baseline,fresh
21.0,1.0,11974,86372,29007,44286,217695,19603,133400,67788,190437,82956,99591,28205,11998,76634,5398,1439,59584,28973,105553,254516,172711,21580,340225,6587,27525,258320,37866,37998,208347,30288,404317,239903,2022-11-15T10:52:15.279000-05:00,25.15303092783505,32.13606185567011,100360_9606_705204,20221115_1051_agritech_bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21571290-76d5-481e-b478-169a6ac8b635,baseline,fresh
22.0,1.0,11973,86386,29035,44279,217793,19607,133404,67822,190388,82964,99583,28201,11996,76641,5396,1441,59587,28976,105819,254504,172743,21580,340194,6585,27517,258293,37871,37999,208266,30297,404310,239786,2022-11-15T10:52:16.279000-05:00,25.164571723426214,32.13728586171311,100360_9606_705204,20221115_1051_agritech_bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21571290-76d5-481e-b478-169a6ac8b635,baseline,fresh
23.0,1.0,11970,86392,29008,44273,217623,19605,133403,67814,190447,82967,99619,28210,11995,76615,5395,1439,59592,28975,105829,254558,172630,21579,340328,6588,27523,258435,37872,38003,208267,30293,404599,239609,2022-11-15T10:52:17.279000-05:00,25.154788441692467,32.14,100360_9606_705204,20221115_1051_agritech_bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21571290-76d5-481e-b478-169a6ac8b635,baseline,fresh
24.0,1.0,11973,86401,29008,44251,217467,19608,133331,67822,190451,82940,99628,28198,11997,76645,5396,1440,59577,28981,105889,254486,172820,21576,340178,6587,27531,258327,37855,37983,208149,30275,404685,239658,2022-11-15T10:52:18.279000-05:00,25.15,32.13199165797706,100360_9606_705204,20221115_1051_agritech_bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21571290-76d5-481e-b478-169a6ac8b635,baseline,fresh
25.0,1.0,11977,86377,29014,44275,217452,19606,133300,67797,190482,82964,99612,28241,12000,76704,5399,1438,59624,29099,106103,254833,173268,21641,341268,6642,27931,261537,38527,41911,213346,33601,405355,239997,2022-11-15T10:52:19.279000-05:00,25.158348813209493,32.28862745098039,100360_9606_705204,20221115_1051_agritech_bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21571290-76d5-481e-b478-169a6ac8b635,baseline,fresh
26.0,1.0,12021,87599,29026,46501,218048,19789,133483,68003,191350,84524,102043,45942,12067,77388,5444,1444,59829,29473,106621,254611,174220,21731,342861,6867,28451,263100,39234,48589,217412,37344,406547,241162,2022-11-15T10:52:20.279000-05:00,25.186006191950465,34.59120743034055,100360_9606_705204,20221115_1051_agritech_bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21571290-76d5-481e-b478-169a6ac8b635,baseline,fresh
27.0,1.0,12045,88487,29042,48706,218390,19886,133619,68255,191735,85407,103484,83080,12098,77744,5496,1444,59925,29624,106934,254810,174405,21769,343541,7053,28678,263704,39608,52039,219165,39041,406852,241663,2022-11-15T10:52:21.279000-05:00,25.198984012377515,37.71605982465188,100360_9606_705204,20221115_1051_agritech_bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21571290-76d5-481e-b478-169a6ac8b635,baseline,fresh
28.0,1.0,12064,89290,29058,50846,218677,19965,133742,68506,192025,86147,104710,122599,12121,78033,5548,1443,60001,29736,107209,255090,174464,21800,344080,7229,28862,264235,39937,54960,220644,40445,407016,242043,2022-11-15T10:52:22.279000-05:00,25.209298607529654,40.90326972666322,100360_9606_705204,20221115_1051_agritech_bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21571290-76d5-481e-b478-169a6ac8b635,baseline,fresh
29.0,1.0,12078,89743,29086,51545,218870,19994,133881,68349,192293,86516,105326,144830,12127,78180,5587,1443,60033,29789,106958,255533,174343,21824,344134,7373,28972,264638,40125,56655,221694,41376,406948,241407,2022-11-15T10:52:23.279000-05:00,25.19076367389061,43.52454076367389,100360_9606_705204,20221115_1051_agritech_bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21571290-76d5-481e-b478-169a6ac8b635,baseline,fresh
30.0,1.0,12082,89991,29081,51843,219090,20007,133923,68147,192383,86736,105728,155904,12131,78264,5647,1444,60032,29826,107239,254286,174324,21855,343841,7493,29011,264334,40298,58100,222135,42222,406827,240227,2022-11-15T10:52:24.279000-05:00,25.22979338842975,45.59972107438017,100360_9606_705204,20221115_1051_agritech_bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21571290-76d5-481e-b478-169a6ac8b635,exposure,fresh
31.0,1.0,12085,90343,29143,52181,218888,20038,133990,68412,192487,87001,106304,160730,12135,78217,5719,1446,60050,29853,107359,255368,174724,21870,344502,7611,29099,265161,40466,59203,223147,42769,408645,242485,2022-11-15T10:52:25.279000-05:00,25.219741735537188,47.27486570247934,100360_9606_705204,20221115_1051_agritech_bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21571290-76d5-481e-b478-169a6ac8b635,exposure,fresh
32.0,1.0,12097,90543,29101,52324,219149,20056,134030,68582,192757,87178,106657,162017,12141,78327,5780,1446,60125,29859,107298,255580,174503,21885,344564,7712,29123,265295,40596,59994,223533,43291,407540,242389,2022-11-15T10:52:26.279000-05:00,25.212350515463918,48.65640206185567,100360_9606_705204,20221115_1051_agritech_bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21571290-76d5-481e-b478-169a6ac8b635,exposure,fresh
33.0,1.0,12103,90748,29086,52453,219184,20072,134078,68572,192845,87307,107026,162367,12146,78387,5851,1446,60113,29880,107562,255496,174413,21885,344927,7815,29190,265456,40709,60795,224048,43757,407559,242441,2022-11-15T10:52:27.279000-05:00,25.25,49.803498452012384,100360_9606_705204,20221115_1051_agritech_bfusmalljarfresh_2_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21571290-76d5-481e-b478-169a6ac8b635,exposure,fresh
