seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state,label
0.0,1.0,12023,88114,29072,44677,218124,19706,133025,67972,190636,84411,102559,33169,12035,77203,5444,1447,59709,29133,106294,251747,173592,21595,342640,6585,28079,259554,39034,39108,215985,31005,404763,239529,2022-11-15T11:12:13.660000-05:00,25.32,32.41,100360_9606_705204,20221115_1112_agritech_bfusmalljarfresh_4_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,5003fac4-a784-4a34-9958-1f06002aeac7,baseline,fresh
1.0,1.0,12023,88139,29005,44700,218213,19711,132999,67994,190711,84398,102587,33154,12033,77139,5444,1443,59706,29126,106348,251779,173489,21599,342747,6585,28080,259529,39024,39097,215925,30986,405197,239640,2022-11-15T11:12:14.660000-05:00,25.280319587628867,32.37968041237114,100360_9606_705204,20221115_1112_agritech_bfusmalljarfresh_4_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,5003fac4-a784-4a34-9958-1f06002aeac7,baseline,fresh
2.0,1.0,12022,88092,29033,44701,218190,19714,133033,68004,190747,84415,102603,33135,12036,77165,5443,1445,59715,29136,106401,251783,173736,21602,342486,6585,28082,259570,39020,39092,215832,30997,405100,239623,2022-11-15T11:12:15.660000-05:00,25.288113402061853,32.36937113402062,100360_9606_705204,20221115_1112_agritech_bfusmalljarfresh_4_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,5003fac4-a784-4a34-9958-1f06002aeac7,baseline,fresh
3.0,1.0,12020,88101,29033,44698,218114,19711,133034,67936,190696,84402,102551,33121,12034,77198,5443,1446,59713,29129,106372,251935,173896,21592,342673,6585,28092,259577,39008,39083,215890,30993,404575,239603,2022-11-15T11:12:16.660000-05:00,25.26,32.36,100360_9606_705204,20221115_1112_agritech_bfusmalljarfresh_4_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,5003fac4-a784-4a34-9958-1f06002aeac7,baseline,fresh
4.0,1.0,12024,88106,29113,44685,218117,19710,133173,67911,190698,84382,102581,33122,12034,77209,5444,1446,59714,29135,106211,251820,173774,21591,342513,6584,28061,259456,39023,39078,215883,30964,404550,239720,2022-11-15T11:12:17.660000-05:00,25.265077399380807,32.35619195046439,100360_9606_705204,20221115_1112_agritech_bfusmalljarfresh_4_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,5003fac4-a784-4a34-9958-1f06002aeac7,baseline,fresh
5.0,1.0,12025,88075,29008,44689,218210,19712,133120,67934,190710,84414,102591,33101,12035,77176,5441,1444,59723,29124,106210,251755,173797,21579,342635,6582,28045,259596,39011,39085,215940,30996,404725,239618,2022-11-15T11:12:18.660000-05:00,25.295237113402063,32.331587628865975,100360_9606_705204,20221115_1112_agritech_bfusmalljarfresh_4_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,5003fac4-a784-4a34-9958-1f06002aeac7,baseline,fresh
6.0,1.0,12024,88076,29027,44680,218189,19707,133120,67898,190735,84392,102603,33097,12033,77166,5441,1444,59710,29132,106428,251764,173857,21578,342456,6582,28059,259549,39013,39090,215880,30961,404800,239691,2022-11-15T11:12:19.660000-05:00,25.266202270381836,32.34189886480908,100360_9606_705204,20221115_1112_agritech_bfusmalljarfresh_4_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,5003fac4-a784-4a34-9958-1f06002aeac7,baseline,fresh
7.0,1.0,12026,88093,29023,44702,218330,19708,133079,67904,190710,84402,102605,33083,12029,77137,5443,1443,59727,29134,106169,251645,173947,21569,342381,6582,28061,259546,39004,39085,215914,30966,404716,239653,2022-11-15T11:12:20.660000-05:00,25.25,32.34776041666667,100360_9606_705204,20221115_1112_agritech_bfusmalljarfresh_4_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,5003fac4-a784-4a34-9958-1f06002aeac7,baseline,fresh
8.0,1.0,12024,88115,29017,44695,218235,19705,133137,67906,190739,84385,102607,33070,12032,77111,5442,1443,59702,29125,106140,251553,173889,21575,342377,6583,28056,259415,39011,39074,215938,30956,404724,239616,2022-11-15T11:12:21.660000-05:00,25.260526315789473,32.34526315789474,100360_9606_705204,20221115_1112_agritech_bfusmalljarfresh_4_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,5003fac4-a784-4a34-9958-1f06002aeac7,baseline,fresh
9.0,1.0,12029,88082,29010,44716,218206,19705,133036,67907,190772,84382,102591,33059,12035,77135,5440,1444,59679,29122,105864,251660,173996,21575,342536,6580,28066,259447,39021,39073,215965,30956,404839,239579,2022-11-15T11:12:22.660000-05:00,25.284103092783504,32.354103092783504,100360_9606_705204,20221115_1112_agritech_bfusmalljarfresh_4_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,5003fac4-a784-4a34-9958-1f06002aeac7,baseline,fresh
