seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state,label
0.0,1.0,12070,89471,29103,45232,218610,19776,133605,68118,191155,85035,104317,37336,12069,77356,5472,1442,59915,29223,106283,251766,174538,21603,344323,6591,28258,260518,39723,40201,219355,31576,406811,240304,2022-11-15T11:32:01.094000-05:00,25.14,32.55,100360_9606_705204,20221115_1131_agritech_bfusmalljarfresh_6_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,9a48c0a4-09ab-4f53-afce-a95944b825de,baseline,fresh
1.0,1.0,12075,89441,29096,45237,218522,19776,133797,68082,191151,85033,104322,37317,12072,77280,5470,1445,59949,29205,106334,251642,174686,21605,344249,6591,28247,260614,39714,40206,219288,31568,406730,240483,2022-11-15T11:32:02.094000-05:00,25.159040247678018,32.51968008255934,100360_9606_705204,20221115_1131_agritech_bfusmalljarfresh_6_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,9a48c0a4-09ab-4f53-afce-a95944b825de,baseline,fresh
2.0,1.0,12074,89452,29107,45217,218539,19775,133692,68057,191181,85015,104345,37300,12069,77335,5468,1443,59904,29206,105948,251634,174334,21600,344435,6590,28252,260463,39711,40202,219235,31566,406564,240335,2022-11-15T11:32:03.094000-05:00,25.131291666666666,32.51,100360_9606_705204,20221115_1131_agritech_bfusmalljarfresh_6_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,9a48c0a4-09ab-4f53-afce-a95944b825de,baseline,fresh
3.0,1.0,12071,89436,29114,45209,218401,19775,133613,68066,191127,85033,104341,37278,12067,77290,5467,1446,59920,29200,105760,251732,174268,21597,344227,6587,28238,260503,39701,40198,219214,31559,406726,240360,2022-11-15T11:32:04.094000-05:00,25.15,32.51210526315789,100360_9606_705204,20221115_1131_agritech_bfusmalljarfresh_6_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,9a48c0a4-09ab-4f53-afce-a95944b825de,baseline,fresh
4.0,1.0,12069,89449,29100,45189,218537,19770,133622,68030,191182,85023,104314,37257,12070,77297,5468,1445,59946,29198,106107,251650,174457,21602,344413,6587,28256,260596,39701,40198,219202,31571,406617,240186,2022-11-15T11:32:05.094000-05:00,25.15,32.52587809917355,100360_9606_705204,20221115_1131_agritech_bfusmalljarfresh_6_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,9a48c0a4-09ab-4f53-afce-a95944b825de,baseline,fresh
5.0,1.0,12069,89428,29092,45206,218381,19770,133749,68068,191158,85036,104327,37245,12068,77354,5468,1443,59934,29198,106204,251666,174534,21609,344306,6589,28243,260543,39696,40194,219210,31554,406722,240127,2022-11-15T11:32:06.094000-05:00,25.148298969072165,32.503402061855674,100360_9606_705204,20221115_1131_agritech_bfusmalljarfresh_6_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,9a48c0a4-09ab-4f53-afce-a95944b825de,baseline,fresh
6.0,1.0,12071,89393,29086,45220,218436,19773,133625,68065,191157,85010,104340,37217,12067,77361,5468,1446,59945,29196,106120,251653,174418,21599,344259,6583,28265,260505,39700,40182,219214,31552,406841,240311,2022-11-15T11:32:07.094000-05:00,25.14201238390093,32.51798761609907,100360_9606_705204,20221115_1131_agritech_bfusmalljarfresh_6_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,9a48c0a4-09ab-4f53-afce-a95944b825de,baseline,fresh
7.0,1.0,12071,89415,29096,45244,218566,19773,133735,68098,191131,85015,104320,37199,12069,77359,5467,1444,59923,29192,106134,251538,174510,21602,344104,6583,28259,260586,39697,40172,219231,31538,406598,240334,2022-11-15T11:32:08.094000-05:00,25.145306334371753,32.50765316718588,100360_9606_705204,20221115_1131_agritech_bfusmalljarfresh_6_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,9a48c0a4-09ab-4f53-afce-a95944b825de,baseline,fresh
8.0,1.0,12073,89418,29078,45198,218572,19775,133782,68121,191092,85010,104355,37184,12069,77243,5469,1445,59901,29202,106029,251611,174267,21597,344156,6583,28244,260640,39712,40176,219187,31530,406475,240413,2022-11-15T11:32:09.094000-05:00,25.135428276573787,32.5,100360_9606_705204,20221115_1131_agritech_bfusmalljarfresh_6_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,9a48c0a4-09ab-4f53-afce-a95944b825de,baseline,fresh
9.0,1.0,12072,89384,29069,45203,218486,19777,133838,68142,191122,84984,104336,37160,12067,77257,5469,1448,59910,29199,106318,251628,174381,21600,344241,6580,28227,260574,39704,40173,219119,31528,406402,240303,2022-11-15T11:32:10.094000-05:00,25.14085062240664,32.48780082987552,100360_9606_705204,20221115_1131_agritech_bfusmalljarfresh_6_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,9a48c0a4-09ab-4f53-afce-a95944b825de,baseline,fresh
10.0,1.0,12071,89411,29085,45208,218432,19778,133861,68153,191146,84986,104339,37138,12071,77293,5466,1446,59898,29198,106071,251571,174555,21603,344300,6579,28239,260525,39685,40162,219171,31523,406666,240372,2022-11-15T11:32:11.094000-05:00,25.126818181818184,32.473636363636366,100360_9606_705204,20221115_1131_agritech_bfusmalljarfresh_6_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,9a48c0a4-09ab-4f53-afce-a95944b825de,baseline,fresh
