seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state,label
0.0,1.0,12130,91288,29182,46849,219165,19875,134095,68389,191459,86044,106878,47533,12127,77887,5547,1449,59967,29351,106311,251834,175106,21666,347215,6737,28530,262380,40693,42785,224655,33184,407210,240829,2022-11-15T11:57:21.312000-05:00,24.92,34.66,100360_9606_705204,20221115_1157_agritech_bfusmalljarfresh_8_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21695f29-a39f-4f67-8dd8-85bd8ea78ebe,baseline,fresh
1.0,1.0,12130,91306,29182,46843,219242,19879,133977,68376,191435,86015,106843,47526,12127,77912,5548,1447,59968,29356,106382,251740,174891,21698,347270,6738,28529,262485,40701,42772,224767,33145,407076,240446,2022-11-15T11:57:22.312000-05:00,24.902164948453606,34.65,100360_9606_705204,20221115_1157_agritech_bfusmalljarfresh_8_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21695f29-a39f-4f67-8dd8-85bd8ea78ebe,baseline,fresh
2.0,1.0,12133,91257,29195,46841,219069,19883,133877,68377,191401,86054,106901,47543,12127,77854,5547,1447,59986,29351,106652,251782,174936,21684,347194,6737,28479,262460,40686,42781,224753,33154,407223,240541,2022-11-15T11:57:23.312000-05:00,24.944798761609906,34.65,100360_9606_705204,20221115_1157_agritech_bfusmalljarfresh_8_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21695f29-a39f-4f67-8dd8-85bd8ea78ebe,baseline,fresh
3.0,1.0,12129,91312,29201,46804,219115,19884,133911,68333,191412,86033,106892,47519,12128,77865,5542,1447,60022,29354,106508,251778,174949,21684,347099,6736,28516,262366,40680,42784,224774,33158,407492,240556,2022-11-15T11:57:24.312000-05:00,24.886377708978326,34.65212590299277,100360_9606_705204,20221115_1157_agritech_bfusmalljarfresh_8_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21695f29-a39f-4f67-8dd8-85bd8ea78ebe,baseline,fresh
4.0,1.0,12127,91320,29191,46795,219112,19882,133812,68318,191446,86044,106908,47505,12128,77834,5542,1446,60015,29352,106464,251793,175025,21691,347353,6738,28522,262438,40689,42757,224652,33164,407013,240484,2022-11-15T11:57:25.312000-05:00,24.93721991701245,34.67139004149378,100360_9606_705204,20221115_1157_agritech_bfusmalljarfresh_8_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21695f29-a39f-4f67-8dd8-85bd8ea78ebe,baseline,fresh
5.0,1.0,12131,91312,29170,46816,219102,19884,133740,68316,191450,86062,106885,47499,12131,77834,5543,1449,60003,29355,106663,251769,175141,21696,347429,6734,28507,262445,40685,42773,224606,33161,407242,240316,2022-11-15T11:57:26.312000-05:00,24.918247422680412,34.67649484536082,100360_9606_705204,20221115_1157_agritech_bfusmalljarfresh_8_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21695f29-a39f-4f67-8dd8-85bd8ea78ebe,baseline,fresh
6.0,1.0,12132,91281,29187,46831,219061,19882,133844,68309,191404,86055,106833,47488,12130,77887,5545,1449,59972,29344,106532,251704,175171,21696,347445,6738,28528,262376,40687,42779,224798,33148,406926,240168,2022-11-15T11:57:27.312000-05:00,24.914127966976263,34.66,100360_9606_705204,20221115_1157_agritech_bfusmalljarfresh_8_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21695f29-a39f-4f67-8dd8-85bd8ea78ebe,baseline,fresh
7.0,1.0,12136,91279,29196,46835,218990,19882,133906,68311,191360,86043,106861,47499,12132,77878,5541,1450,59980,29345,106585,251725,175264,21686,347446,6736,28559,262310,40680,42781,224433,33134,407183,240181,2022-11-15T11:57:28.312000-05:00,24.92761609907121,34.664767801857586,100360_9606_705204,20221115_1157_agritech_bfusmalljarfresh_8_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21695f29-a39f-4f67-8dd8-85bd8ea78ebe,baseline,fresh
8.0,1.0,12134,91243,29197,46826,219021,19886,134039,68310,191390,86042,106867,47482,12130,77899,5544,1451,60001,29352,106538,251713,175254,21670,347349,6732,28549,262387,40694,42762,224508,33115,407496,240244,2022-11-15T11:57:29.312000-05:00,24.914586776859505,34.674586776859506,100360_9606_705204,20221115_1157_agritech_bfusmalljarfresh_8_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21695f29-a39f-4f67-8dd8-85bd8ea78ebe,baseline,fresh
9.0,1.0,12132,91264,29201,46820,219063,19881,134042,68341,191412,86043,106866,47459,12130,77891,5542,1450,60003,29349,106526,251744,175201,21670,347333,6732,28521,262337,40686,42749,224809,33127,407551,240350,2022-11-15T11:57:30.312000-05:00,24.9,34.66303092783505,100360_9606_705204,20221115_1157_agritech_bfusmalljarfresh_8_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21695f29-a39f-4f67-8dd8-85bd8ea78ebe,baseline,fresh
10.0,1.0,12129,91261,29194,46799,219112,19886,134070,68283,191401,86044,106862,47470,12128,77873,5544,1451,60007,29347,106520,251650,175029,21675,347226,6732,28532,262341,40680,42757,224667,33144,407296,240220,2022-11-15T11:57:31.312000-05:00,24.9,34.67,100360_9606_705204,20221115_1157_agritech_bfusmalljarfresh_8_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21695f29-a39f-4f67-8dd8-85bd8ea78ebe,baseline,fresh
11.0,1.0,12129,91264,29185,46792,219071,19883,134042,68289,191475,86052,106856,47465,12126,77868,5543,1450,59998,29352,106396,251671,174968,21685,347295,6730,28534,262348,40684,42770,224524,33136,407252,240325,2022-11-15T11:57:32.312000-05:00,24.90365979381443,34.666340206185566,100360_9606_705204,20221115_1157_agritech_bfusmalljarfresh_8_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21695f29-a39f-4f67-8dd8-85bd8ea78ebe,baseline,fresh
12.0,1.0,12132,91274,29185,46808,219106,19882,134043,68259,191450,86049,106877,47459,12125,77859,5543,1448,59978,29354,106520,251660,175046,21670,347260,6732,28527,262296,40679,42771,224583,33128,407243,240572,2022-11-15T11:57:33.312000-05:00,24.906022727272727,34.66,100360_9606_705204,20221115_1157_agritech_bfusmalljarfresh_8_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,21695f29-a39f-4f67-8dd8-85bd8ea78ebe,baseline,fresh
