seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state,label
0.0,1.0,12141,91554,29178,46945,219224,19906,134163,68259,191405,86084,106875,48667,12140,77734,5513,1448,60066,29354,106801,251842,175468,21699,348301,6683,28513,262277,40760,42992,224754,33095,407414,240820,2022-11-15T12:07:31.952000-05:00,25.01,34.11,100360_9606_705204,20221115_1207_agritech_bfusmalljarfresh_9_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,63d9c080-8fa2-49fc-902b-8db97a8fc04e,baseline,fresh
1.0,1.0,12142,91533,29176,46928,219146,19905,134023,68229,191418,86070,106846,48648,12145,77794,5511,1448,60078,29378,106450,251578,175418,21680,348148,6681,28531,262395,40746,42993,224573,33119,407468,240575,2022-11-15T12:07:32.952000-05:00,25.008761609907122,34.11958720330237,100360_9606_705204,20221115_1207_agritech_bfusmalljarfresh_9_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,63d9c080-8fa2-49fc-902b-8db97a8fc04e,baseline,fresh
2.0,1.0,12144,91524,29158,46955,219088,19904,134082,68239,191345,86052,106841,48653,12142,77733,5512,1448,60111,29371,106535,251783,175450,21691,348309,6680,28504,262385,40752,42978,224657,33100,407593,240698,2022-11-15T12:07:33.952000-05:00,24.980732714138288,34.11073271413829,100360_9606_705204,20221115_1207_agritech_bfusmalljarfresh_9_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,63d9c080-8fa2-49fc-902b-8db97a8fc04e,baseline,fresh
3.0,1.0,12146,91541,29186,46963,219147,19904,134017,68242,191450,86047,106854,48629,12143,77762,5511,1450,60028,29376,106692,251865,175212,21696,348160,6683,28507,262355,40757,42976,224526,33115,407517,240740,2022-11-15T12:07:34.952000-05:00,24.99,34.11684210526315,100360_9606_705204,20221115_1207_agritech_bfusmalljarfresh_9_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,63d9c080-8fa2-49fc-902b-8db97a8fc04e,baseline,fresh
4.0,1.0,12143,91503,29183,46970,219221,19907,134063,68238,191430,86068,106854,48617,12143,77720,5508,1448,60038,29361,106490,251972,175389,21703,348066,6682,28520,262354,40749,42959,224707,33096,407270,240762,2022-11-15T12:07:35.952000-05:00,24.992745098039215,34.09274509803922,100360_9606_705204,20221115_1207_agritech_bfusmalljarfresh_9_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,63d9c080-8fa2-49fc-902b-8db97a8fc04e,baseline,fresh
5.0,1.0,12143,91501,29167,46963,219189,19918,133996,68226,191489,86066,106848,48602,12140,77723,5512,1450,60032,29369,106549,251683,175272,21709,348075,6681,28502,262377,40749,42963,224480,33115,407443,240558,2022-11-15T12:07:36.952000-05:00,25.01,34.11,100360_9606_705204,20221115_1207_agritech_bfusmalljarfresh_9_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,63d9c080-8fa2-49fc-902b-8db97a8fc04e,baseline,fresh
6.0,1.0,12145,91510,29165,46974,219120,19909,134118,68222,191494,86092,106885,48618,12144,77790,5510,1449,60046,29374,106646,251705,174933,21704,347886,6681,28505,262502,40753,42955,224465,33115,407522,240673,2022-11-15T12:07:37.952000-05:00,25.01,34.10576883384933,100360_9606_705204,20221115_1207_agritech_bfusmalljarfresh_9_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,63d9c080-8fa2-49fc-902b-8db97a8fc04e,baseline,fresh
7.0,1.0,12145,91518,29168,46946,219192,19906,134174,68264,191450,86123,106889,48621,12142,77776,5510,1448,60074,29375,106629,251836,174912,21703,348015,6682,28500,262465,40764,42968,224509,33110,407492,240742,2022-11-15T12:07:38.952000-05:00,25.012463465553235,34.09246346555324,100360_9606_705204,20221115_1207_agritech_bfusmalljarfresh_9_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,63d9c080-8fa2-49fc-902b-8db97a8fc04e,baseline,fresh
8.0,1.0,12140,91540,29184,46946,219128,19909,134026,68251,191411,86111,106897,48609,12136,77727,5508,1450,60084,29373,106318,251789,175155,21703,348079,6680,28505,262366,40762,42958,224534,33103,407699,240772,2022-11-15T12:07:39.952000-05:00,25.01140206185567,34.10286597938144,100360_9606_705204,20221115_1207_agritech_bfusmalljarfresh_9_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,63d9c080-8fa2-49fc-902b-8db97a8fc04e,baseline,fresh
9.0,1.0,12146,91527,29176,46955,219140,19908,134096,68244,191381,86074,106914,48601,12137,77664,5509,1449,60047,29368,106406,251683,175093,21702,348069,6680,28495,262325,40748,42957,224580,33113,407551,240742,2022-11-15T12:07:40.952000-05:00,25.00276683937824,34.103616580310884,100360_9606_705204,20221115_1207_agritech_bfusmalljarfresh_9_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,63d9c080-8fa2-49fc-902b-8db97a8fc04e,baseline,fresh
10.0,1.0,12145,91524,29175,46946,219210,19907,134081,68242,191437,86080,106916,48592,12139,77735,5509,1448,60021,29369,106496,251713,175119,21701,348067,6680,28490,262299,40742,42964,224564,33103,407513,240837,2022-11-15T12:07:41.952000-05:00,25.015826446280993,34.09354338842976,100360_9606_705204,20221115_1207_agritech_bfusmalljarfresh_9_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,63d9c080-8fa2-49fc-902b-8db97a8fc04e,baseline,fresh
11.0,1.0,12142,91540,29176,46942,219199,19909,134093,68234,191461,86082,106898,48585,12141,77782,5511,1450,60041,29369,106402,251679,175311,21699,348111,6679,28510,262265,40747,42972,224426,33100,407327,240754,2022-11-15T12:07:42.952000-05:00,25.00547987616099,34.1,100360_9606_705204,20221115_1207_agritech_bfusmalljarfresh_9_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,63d9c080-8fa2-49fc-902b-8db97a8fc04e,baseline,fresh
12.0,1.0,12141,91545,29179,46926,219141,19910,133918,68234,191457,86081,106892,48583,12139,77699,5511,1450,60052,29361,106260,251715,175200,21696,348166,6681,28513,262205,40746,42965,224449,33097,407400,240658,2022-11-15T12:07:43.952000-05:00,25.017404343329886,34.08740434332989,100360_9606_705204,20221115_1207_agritech_bfusmalljarfresh_9_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,63d9c080-8fa2-49fc-902b-8db97a8fc04e,baseline,fresh
13.0,1.0,12140,91524,29174,46910,219185,19914,133950,68240,191440,86100,106890,48581,12140,77658,5510,1452,60039,29367,106606,251675,175214,21697,347988,6680,28506,262279,40755,42966,224496,33089,407400,240757,2022-11-15T12:07:44.952000-05:00,25.004544513457557,34.07454451345755,100360_9606_705204,20221115_1207_agritech_bfusmalljarfresh_9_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,63d9c080-8fa2-49fc-902b-8db97a8fc04e,baseline,fresh
14.0,1.0,12141,91519,29163,46946,219109,19915,134085,68254,191457,86094,106889,48572,12140,77684,5509,1449,60050,29369,106941,251602,175242,21694,347924,6680,28502,262259,40764,42964,224616,33084,407285,240801,2022-11-15T12:07:45.952000-05:00,25.000237358101135,34.08,100360_9606_705204,20221115_1207_agritech_bfusmalljarfresh_9_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,63d9c080-8fa2-49fc-902b-8db97a8fc04e,baseline,fresh
15.0,1.0,12141,91525,29161,46959,219077,19910,134163,68248,191483,86064,106884,48558,12138,77724,5508,1447,59987,29369,106842,251627,175163,21692,348002,6678,28495,262166,40766,42959,224558,33101,407586,240827,2022-11-15T12:07:46.952000-05:00,25.000402476780184,34.074798761609905,100360_9606_705204,20221115_1207_agritech_bfusmalljarfresh_9_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,63d9c080-8fa2-49fc-902b-8db97a8fc04e,baseline,fresh
16.0,1.0,12141,91538,29163,46962,219131,19910,134214,68285,191451,86082,106911,48551,12139,77741,5511,1447,59943,29365,106774,251660,175252,21693,348065,6675,28504,262170,40766,42961,224599,33110,407488,240758,2022-11-15T12:07:47.952000-05:00,25.021042311661507,34.07552115583075,100360_9606_705204,20221115_1207_agritech_bfusmalljarfresh_9_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,63d9c080-8fa2-49fc-902b-8db97a8fc04e,baseline,fresh
17.0,1.0,12142,91529,29173,46959,219251,19912,134133,68301,191406,86098,106934,48543,12140,77750,5511,1447,60002,29363,106926,251650,175253,21699,348124,6677,28516,262159,40761,42953,224614,33099,407405,240713,2022-11-15T12:07:48.952000-05:00,25.024158926728585,34.062476780185754,100360_9606_705204,20221115_1207_agritech_bfusmalljarfresh_9_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,63d9c080-8fa2-49fc-902b-8db97a8fc04e,baseline,fresh
18.0,1.0,12141,91522,29163,46965,219227,19916,134057,68280,191446,86095,106906,48531,12143,77744,5510,1448,59997,29372,106985,251683,175209,21704,348127,6677,28506,262166,40754,42960,224443,33096,407578,240789,2022-11-15T12:07:49.952000-05:00,25.026160990712075,34.0746439628483,100360_9606_705204,20221115_1207_agritech_bfusmalljarfresh_9_1trials,1,IAF-AGRITECH-BFUSMALLJARFRESH,63d9c080-8fa2-49fc-902b-8db97a8fc04e,baseline,fresh
