seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state,label
0.0,1.0,11972,86550,28986,45494,217715,19581,133248,68102,190509,83225,99700,28206,11995,76502,5490,1441,59503,28941,105203,256211,173129,21596,340802,7037,27548,259460,37807,39779,208071,31850,404466,239495,2022-11-15T10:45:44.586000-05:00,25.14,33.93,100360_9606_705204,20221115_1045_agritech_bfusmalljarhumidity_1_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,576099d0-2fb5-4979-933d-267114b7d78f,baseline,humidity
1.0,1.0,11972,86560,28973,45443,217735,19577,133031,68134,190358,83213,99683,28178,11991,76542,5488,1440,59530,28957,105345,256112,172951,21597,340875,7037,27549,259411,37808,39741,207986,31854,404900,239474,2022-11-15T10:45:45.586000-05:00,25.14,33.92801857585139,100360_9606_705204,20221115_1045_agritech_bfusmalljarhumidity_1_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,576099d0-2fb5-4979-933d-267114b7d78f,baseline,humidity
2.0,1.0,11970,86502,28965,45439,217758,19577,133080,68116,190396,83194,99676,28152,11990,76489,5483,1438,59521,28944,105191,256148,172966,21602,340769,7031,27544,259430,37802,39728,208000,31834,404353,239402,2022-11-15T10:45:46.586000-05:00,25.139350515463917,33.87,100360_9606_705204,20221115_1045_agritech_bfusmalljarhumidity_1_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,576099d0-2fb5-4979-933d-267114b7d78f,baseline,humidity
3.0,1.0,11970,86510,28972,45445,217796,19579,132954,68107,190434,83203,99681,28121,11988,76567,5482,1441,59510,28958,105229,256239,172718,21609,340675,7025,27535,259406,37789,39719,208009,31811,404438,239523,2022-11-15T10:45:47.586000-05:00,25.13095975232198,33.86712074303406,100360_9606_705204,20221115_1045_agritech_bfusmalljarhumidity_1_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,576099d0-2fb5-4979-933d-267114b7d78f,baseline,humidity
4.0,1.0,11971,86496,28974,45443,217828,19581,133121,68141,190435,83164,99686,28097,11990,76569,5480,1440,59541,28940,105173,256276,172793,21605,340644,7022,27522,259345,37782,39693,207967,31791,404182,239462,2022-11-15T10:45:48.586000-05:00,25.14,33.83872033023736,100360_9606_705204,20221115_1045_agritech_bfusmalljarhumidity_1_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,576099d0-2fb5-4979-933d-267114b7d78f,baseline,humidity
5.0,1.0,11972,86494,28966,45412,217693,19575,133146,68176,190355,83198,99662,28068,11987,76521,5481,1441,59540,28946,105778,256221,172933,21598,340587,7018,27532,259457,37782,39688,208014,31791,404571,239512,2022-11-15T10:45:49.586000-05:00,25.138398760330578,33.82519628099173,100360_9606_705204,20221115_1045_agritech_bfusmalljarhumidity_1_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,576099d0-2fb5-4979-933d-267114b7d78f,baseline,humidity
6.0,1.0,11970,86485,28963,45367,217694,19574,132947,68203,190369,83178,99697,28046,11992,76514,5478,1439,59539,28958,105786,256184,172982,21598,340828,7016,27537,259319,37786,39669,207955,31751,404535,239566,2022-11-15T10:45:50.586000-05:00,25.131929824561404,33.79614035087719,100360_9606_705204,20221115_1045_agritech_bfusmalljarhumidity_1_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,576099d0-2fb5-4979-933d-267114b7d78f,baseline,humidity
7.0,1.0,11971,86486,28973,45376,217738,19577,133159,68155,190402,83183,99707,28032,11990,76524,5479,1440,59526,28966,105853,256107,173116,21605,340683,7012,27523,259339,37782,39671,208014,31744,404535,239545,2022-11-15T10:45:51.586000-05:00,25.137726798748698,33.770907194994784,100360_9606_705204,20221115_1045_agritech_bfusmalljarhumidity_1_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,576099d0-2fb5-4979-933d-267114b7d78f,baseline,humidity
8.0,1.0,11973,86473,28968,45380,217719,19578,133217,68121,190424,83180,99659,28005,11989,76579,5475,1441,59540,28955,105938,256126,173221,21602,340661,7011,27504,259322,37771,39650,207997,31738,404707,239548,2022-11-15T10:45:52.586000-05:00,25.13,33.73732989690722,100360_9606_705204,20221115_1045_agritech_bfusmalljarhumidity_1_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,576099d0-2fb5-4979-933d-267114b7d78f,baseline,humidity
9.0,1.0,11971,86490,28969,45364,217688,19580,133049,68092,190373,83157,99641,27971,11989,76502,5474,1440,59533,28957,105817,256184,173028,21602,340689,7006,27487,259232,37777,39627,207881,31718,404365,239610,2022-11-15T10:45:53.586000-05:00,25.13298245614035,33.73,100360_9606_705204,20221115_1045_agritech_bfusmalljarhumidity_1_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,576099d0-2fb5-4979-933d-267114b7d78f,baseline,humidity
10.0,1.0,11969,86456,28965,45340,217730,19578,133047,68090,190379,83145,99658,27949,11990,76525,5473,1440,59531,28958,105909,256220,173155,21601,340680,7002,27505,259272,37772,39613,207905,31691,404359,239531,2022-11-15T10:45:54.586000-05:00,25.13332638164755,33.716652763295095,100360_9606_705204,20221115_1045_agritech_bfusmalljarhumidity_1_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,576099d0-2fb5-4979-933d-267114b7d78f,baseline,humidity
11.0,1.0,11972,86465,28976,45330,217650,19582,133113,68072,190316,83142,99661,27927,11991,76515,5472,1439,59538,28952,105886,256150,172949,21603,340684,7001,27516,259383,37773,39602,207914,31688,404417,239470,2022-11-15T10:45:55.586000-05:00,25.12374481327801,33.68625518672199,100360_9606_705204,20221115_1045_agritech_bfusmalljarhumidity_1_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,576099d0-2fb5-4979-933d-267114b7d78f,baseline,humidity
12.0,1.0,11973,86473,28979,45291,217663,19584,133018,68033,190343,83143,99644,27910,11989,76563,5470,1438,59551,28949,105876,256104,172996,21607,340575,6995,27497,259341,37769,39600,207877,31670,404407,239571,2022-11-15T10:45:56.586000-05:00,25.13,33.67590299277606,100360_9606_705204,20221115_1045_agritech_bfusmalljarhumidity_1_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,576099d0-2fb5-4979-933d-267114b7d78f,baseline,humidity
13.0,1.0,11970,86452,28973,45280,217608,19579,132996,68049,190359,83131,99627,27894,11988,76541,5468,1439,59553,28946,105930,256090,173120,21597,340639,6992,27494,259314,37770,39596,207848,31659,404215,239525,2022-11-15T10:45:57.586000-05:00,25.11673553719008,33.65231404958678,100360_9606_705204,20221115_1045_agritech_bfusmalljarhumidity_1_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,576099d0-2fb5-4979-933d-267114b7d78f,baseline,humidity
14.0,1.0,11969,86457,28978,45254,217680,19581,133051,68043,190395,83119,99629,27871,11989,76514,5469,1442,59533,28951,106007,256135,172917,21595,340699,6987,27494,259321,37773,39577,207741,31647,404324,239462,2022-11-15T10:45:58.586000-05:00,25.11896907216495,33.63,100360_9606_705204,20221115_1045_agritech_bfusmalljarhumidity_1_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,576099d0-2fb5-4979-933d-267114b7d78f,baseline,humidity
15.0,1.0,11971,86452,28984,45250,217742,19580,133143,68032,190406,83119,99608,27851,11988,76462,5465,1440,59538,28953,105999,256177,172848,21598,340711,6984,27499,259287,37767,39572,207756,31621,404507,239560,2022-11-15T10:45:59.586000-05:00,25.145051546391752,33.61989690721649,100360_9606_705204,20221115_1045_agritech_bfusmalljarhumidity_1_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,576099d0-2fb5-4979-933d-267114b7d78f,baseline,humidity
16.0,1.0,11969,86451,28986,45254,217710,19578,133182,68045,190353,83127,99600,27836,11990,76493,5463,1441,59532,28951,105954,256084,172933,21594,340605,6981,27508,259195,37760,39564,207873,31616,404357,239517,2022-11-15T10:46:00.586000-05:00,25.139267285861713,33.599267285861714,100360_9606_705204,20221115_1045_agritech_bfusmalljarhumidity_1_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,576099d0-2fb5-4979-933d-267114b7d78f,baseline,humidity
17.0,1.0,11971,86447,28971,45228,217750,19576,133211,68050,190377,83118,99610,27809,11990,76538,5465,1442,59526,28951,106011,255996,173115,21593,340460,6979,27488,259284,37758,39545,207779,31602,404226,239533,2022-11-15T10:46:01.586000-05:00,25.13,33.57850886339938,100360_9606_705204,20221115_1045_agritech_bfusmalljarhumidity_1_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,576099d0-2fb5-4979-933d-267114b7d78f,baseline,humidity
18.0,1.0,11969,86430,28971,45206,217782,19575,133221,68061,190419,83109,99598,27796,11991,76501,5468,1440,59528,28947,106115,255937,173147,21592,340522,6976,27480,259292,37760,39527,207756,31580,404291,239504,2022-11-15T10:46:02.586000-05:00,25.136109391124872,33.557781217750254,100360_9606_705204,20221115_1045_agritech_bfusmalljarhumidity_1_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,576099d0-2fb5-4979-933d-267114b7d78f,baseline,humidity
