seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state,label
0.0,1.0,12024,88088,29085,45043,218122,19697,133188,68120,190760,84470,102581,29955,12026,77111,5472,1441,59739,29123,106484,251908,173783,21617,342655,6715,28069,259932,38979,39310,215927,31421,405083,239830,2022-11-15T11:08:30.157000-05:00,25.36,33.02,100360_9606_705204,20221115_1108_agritech_bfusmalljarhumidity_3_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,c1ca8fd9-b664-4590-8f5a-74ad90d8883c,baseline,humidity
1.0,1.0,12026,88103,29102,45058,218008,19690,133306,68096,190768,84473,102559,29926,12026,77140,5470,1443,59739,29107,106081,252055,173749,21609,342764,6716,28024,260111,38960,39284,215983,31408,404960,239799,2022-11-15T11:08:31.157000-05:00,25.33,33.01,100360_9606_705204,20221115_1108_agritech_bfusmalljarhumidity_3_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,c1ca8fd9-b664-4590-8f5a-74ad90d8883c,baseline,humidity
2.0,1.0,12026,88093,29089,45044,217882,19693,133227,68088,190696,84475,102547,29904,12027,77104,5470,1444,59706,29112,106308,252106,173588,21609,342624,6714,28027,259911,38976,39275,215955,31389,405033,239627,2022-11-15T11:08:32.157000-05:00,25.329358841778696,33.00935884177869,100360_9606_705204,20221115_1108_agritech_bfusmalljarhumidity_3_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,c1ca8fd9-b664-4590-8f5a-74ad90d8883c,baseline,humidity
3.0,1.0,12025,88111,29092,45024,218040,19686,133336,68096,190703,84501,102608,29891,12028,77122,5469,1444,59734,29097,106245,252127,173860,21611,342604,6709,28028,259891,38977,39280,215914,31388,405267,239668,2022-11-15T11:08:33.157000-05:00,25.32195674562307,32.99902162718847,100360_9606_705204,20221115_1108_agritech_bfusmalljarhumidity_3_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,c1ca8fd9-b664-4590-8f5a-74ad90d8883c,baseline,humidity
4.0,1.0,12021,88116,29076,45019,218055,19693,133080,68094,190714,84464,102632,29871,12029,77124,5466,1446,59725,29107,106429,251977,173689,21613,342571,6708,28057,259865,38989,39270,215769,31369,405167,239548,2022-11-15T11:08:34.157000-05:00,25.343835051546392,32.987443298969076,100360_9606_705204,20221115_1108_agritech_bfusmalljarhumidity_3_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,c1ca8fd9-b664-4590-8f5a-74ad90d8883c,baseline,humidity
5.0,1.0,12024,88105,29085,45017,218107,19693,133227,68068,190683,84464,102565,29858,12026,77101,5466,1443,59725,29117,106142,251948,173759,21602,342704,6707,28043,259921,38967,39264,215992,31372,405253,239417,2022-11-15T11:08:35.157000-05:00,25.36841073271414,32.966821465428275,100360_9606_705204,20221115_1108_agritech_bfusmalljarhumidity_3_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,c1ca8fd9-b664-4590-8f5a-74ad90d8883c,baseline,humidity
6.0,1.0,12025,88094,29064,45017,218042,19693,133448,68081,190679,84474,102573,29835,12032,77060,5464,1444,59699,29106,106276,251949,173775,21603,342724,6706,28041,259843,38965,39252,216050,31367,405211,239487,2022-11-15T11:08:36.157000-05:00,25.35232365145228,32.94808091286307,100360_9606_705204,20221115_1108_agritech_bfusmalljarhumidity_3_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,c1ca8fd9-b664-4590-8f5a-74ad90d8883c,baseline,humidity
7.0,1.0,12025,88114,29089,45031,217998,19697,133430,68090,190630,84475,102564,29825,12031,77046,5464,1444,59715,29104,106506,251957,173700,21616,342784,6702,28028,259846,38961,39256,215933,31338,405400,239512,2022-11-15T11:08:37.157000-05:00,25.331510416666667,32.94230208333333,100360_9606_705204,20221115_1108_agritech_bfusmalljarhumidity_3_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,c1ca8fd9-b664-4590-8f5a-74ad90d8883c,baseline,humidity
8.0,1.0,12025,88095,29061,44989,218049,19692,133375,68115,190598,84454,102560,29803,12030,77069,5465,1447,59734,29105,106688,252001,173812,21614,342851,6700,28017,259854,38965,39256,215918,31336,405250,239597,2022-11-15T11:08:38.157000-05:00,25.361919504643964,32.94461300309598,100360_9606_705204,20221115_1108_agritech_bfusmalljarhumidity_3_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,c1ca8fd9-b664-4590-8f5a-74ad90d8883c,baseline,humidity
9.0,1.0,12025,88084,29015,44967,218115,19700,133442,68103,190596,84454,102571,29783,12029,77021,5466,1446,59741,29106,106699,252013,173747,21606,342807,6698,28033,259842,38956,39242,215874,31331,405551,239572,2022-11-15T11:08:39.157000-05:00,25.336955161626694,32.92391032325339,100360_9606_705204,20221115_1108_agritech_bfusmalljarhumidity_3_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,c1ca8fd9-b664-4590-8f5a-74ad90d8883c,baseline,humidity
