seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state,label
0.0,1.0,12104,90611,29094,47357,219156,19839,134021,68314,191382,86029,105802,46540,12098,77660,5555,1447,60043,29296,106352,251803,174958,21668,345302,6814,28503,262260,40243,42489,222022,33403,407161,240898,2022-11-15T11:37:57.121000-05:00,25.18,35.8,100360_9606_705204,20221115_1137_agritech_bfusmalljarhumidity_6_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,cfb15a5d-364d-4fd3-bc02-2346f853590b,baseline,humidity
1.0,1.0,12097,90585,29059,47365,219044,19841,133631,68308,191347,86010,105787,46295,12097,77619,5553,1448,60087,29301,106437,251897,175067,21670,345720,6810,28521,262232,40250,42447,221986,33380,407224,240759,2022-11-15T11:37:58.121000-05:00,25.18,35.7584958506224,100360_9606_705204,20221115_1137_agritech_bfusmalljarhumidity_6_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,cfb15a5d-364d-4fd3-bc02-2346f853590b,baseline,humidity
2.0,1.0,12104,90591,29077,47323,218999,19845,133884,68365,191379,86013,105715,46116,12099,77547,5552,1448,60076,29284,106260,251736,174933,21656,345725,6802,28506,262151,40234,42425,222045,33346,407044,240708,2022-11-15T11:37:59.121000-05:00,25.178659793814433,35.70731958762887,100360_9606_705204,20221115_1137_agritech_bfusmalljarhumidity_6_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,cfb15a5d-364d-4fd3-bc02-2346f853590b,baseline,humidity
3.0,1.0,12101,90584,29077,47288,218872,19835,133826,68365,191370,86010,105734,45948,12099,77480,5550,1448,60035,29285,106339,251872,174838,21656,345537,6795,28511,262165,40233,42384,222059,33323,407297,240729,2022-11-15T11:38:00.121000-05:00,25.160980392156862,35.666078431372554,100360_9606_705204,20221115_1137_agritech_bfusmalljarhumidity_6_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,cfb15a5d-364d-4fd3-bc02-2346f853590b,baseline,humidity
4.0,1.0,12105,90564,29080,47224,218888,19833,133762,68368,191330,86021,105681,45879,12102,77571,5551,1446,60041,29295,106100,251984,174862,21658,345609,6792,28517,262154,40244,42356,221930,33315,407056,240811,2022-11-15T11:38:01.121000-05:00,25.171301652892563,35.626095041322316,100360_9606_705204,20221115_1137_agritech_bfusmalljarhumidity_6_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,cfb15a5d-364d-4fd3-bc02-2346f853590b,baseline,humidity
5.0,1.0,12104,90530,29078,47185,218884,19838,133690,68319,191318,86014,105719,45754,12098,77563,5547,1449,60019,29293,106153,251987,174879,21656,345580,6786,28516,262094,40244,42353,221911,33273,407107,240940,2022-11-15T11:38:02.121000-05:00,25.18162886597938,35.59674226804124,100360_9606_705204,20221115_1137_agritech_bfusmalljarhumidity_6_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,cfb15a5d-364d-4fd3-bc02-2346f853590b,baseline,humidity
6.0,1.0,12104,90547,29082,47151,218907,19838,133744,68349,191297,85989,105703,45634,12096,77530,5543,1448,60017,29282,106084,251781,174859,21657,345428,6776,28511,262222,40225,42319,221923,33266,407262,240816,2022-11-15T11:38:03.121000-05:00,25.182239422084624,35.57223942208462,100360_9606_705204,20221115_1137_agritech_bfusmalljarhumidity_6_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,cfb15a5d-364d-4fd3-bc02-2346f853590b,baseline,humidity
7.0,1.0,12102,90535,29084,47136,218925,19837,133702,68361,191278,85989,105688,45512,12092,77528,5542,1446,60027,29278,106239,251989,174897,21663,345439,6774,28506,262136,40217,42298,221939,33234,407422,240823,2022-11-15T11:38:04.121000-05:00,25.156773195876287,35.53548453608247,100360_9606_705204,20221115_1137_agritech_bfusmalljarhumidity_6_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,cfb15a5d-364d-4fd3-bc02-2346f853590b,baseline,humidity
8.0,1.0,12102,90529,29086,47157,218806,19837,133806,68368,191295,85991,105675,45393,12096,77507,5541,1447,60032,29283,106298,251921,175123,21666,345678,6770,28498,262122,40232,42285,221887,33218,407469,240846,2022-11-15T11:38:05.121000-05:00,25.18,35.517430340557276,100360_9606_705204,20221115_1137_agritech_bfusmalljarhumidity_6_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,cfb15a5d-364d-4fd3-bc02-2346f853590b,baseline,humidity
9.0,1.0,12099,90539,29078,47124,218835,19839,133616,68397,191311,85990,105647,45296,12097,77611,5542,1448,60027,29292,106412,251833,175116,21663,345843,6767,28510,262119,40226,42254,221881,33206,407329,240838,2022-11-15T11:38:06.121000-05:00,25.18,35.507107438016526,100360_9606_705204,20221115_1137_agritech_bfusmalljarhumidity_6_1trials,1,IAF-AGRITECH-BFUSMALLJARHUMIDITY,cfb15a5d-364d-4fd3-bc02-2346f853590b,baseline,humidity
