seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state,label
0.0,1.0,11991,87130,29024,44485,217856,19640,133369,68081,190641,83750,101001,33539,12009,76753,5434,1440,59609,29054,105524,251853,173241,21569,342005,6621,27791,258954,38365,38763,210774,30717,405269,240008,2022-11-15T10:58:39.766000-05:00,25.2,32.56,100360_9606_705204,20221115_1058_agritech_bfusmalljarmoldy_2_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,71d1fdf7-061c-4e9e-ab73-cf9bc88bbe9a,baseline,moldy
1.0,1.0,11987,87085,29011,44497,218020,19637,133515,68097,190589,83779,100989,33517,12008,76733,5437,1441,59572,29060,106130,251849,173370,21572,341844,6616,27761,258989,38365,38775,210722,30697,404911,240070,2022-11-15T10:58:40.766000-05:00,25.2,32.54968717413973,100360_9606_705204,20221115_1058_agritech_bfusmalljarmoldy_2_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,71d1fdf7-061c-4e9e-ab73-cf9bc88bbe9a,baseline,moldy
2.0,1.0,11993,87107,29019,44493,217844,19635,133300,68081,190639,83744,101015,33498,12010,76764,5433,1441,59585,29045,105996,251739,173304,21563,341729,6615,27802,258750,38361,38757,210704,30697,405270,239941,2022-11-15T10:58:41.766000-05:00,25.19926804123711,32.54,100360_9606_705204,20221115_1058_agritech_bfusmalljarmoldy_2_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,71d1fdf7-061c-4e9e-ab73-cf9bc88bbe9a,baseline,moldy
3.0,1.0,11995,87079,29031,44476,217834,19644,133343,68089,190654,83731,100989,33479,12007,76751,5433,1440,59596,29056,105826,251839,173404,21565,341865,6613,27783,258952,38363,38753,210635,30717,405071,239871,2022-11-15T10:58:42.766000-05:00,25.191043388429755,32.54,100360_9606_705204,20221115_1058_agritech_bfusmalljarmoldy_2_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,71d1fdf7-061c-4e9e-ab73-cf9bc88bbe9a,baseline,moldy
4.0,1.0,11990,87079,29028,44472,217725,19641,133377,68118,190622,83753,100944,33461,12008,76769,5435,1443,59587,29043,105700,251960,173327,21561,341627,6609,27789,258787,38371,38766,210662,30689,405128,239832,2022-11-15T10:58:43.766000-05:00,25.195882352941176,32.534509803921566,100360_9606_705204,20221115_1058_agritech_bfusmalljarmoldy_2_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,71d1fdf7-061c-4e9e-ab73-cf9bc88bbe9a,baseline,moldy
5.0,1.0,11991,87102,29043,44465,217800,19636,133307,68136,190602,83750,100865,33446,12014,76780,5438,1442,59583,29051,105776,251791,173291,21553,341696,6606,27784,258754,38357,38756,210641,30676,405044,239837,2022-11-15T10:58:44.766000-05:00,25.175077399380807,32.50338493292054,100360_9606_705204,20221115_1058_agritech_bfusmalljarmoldy_2_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,71d1fdf7-061c-4e9e-ab73-cf9bc88bbe9a,baseline,moldy
6.0,1.0,11991,87098,29022,44468,217793,19639,133347,68124,190627,83720,100858,33441,12010,76782,5436,1441,59575,29057,105972,251771,173228,21554,341767,6606,27795,258848,38348,38741,210718,30684,404992,239949,2022-11-15T10:58:45.766000-05:00,25.2,32.51798761609907,100360_9606_705204,20221115_1058_agritech_bfusmalljarmoldy_2_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,71d1fdf7-061c-4e9e-ab73-cf9bc88bbe9a,baseline,moldy
7.0,1.0,11993,87085,29039,44448,217739,19638,133294,68101,190616,83732,100872,33428,12008,76791,5435,1440,59602,29059,106083,251828,173403,21554,341602,6608,27799,258936,38335,38745,210592,30662,405361,239955,2022-11-15T10:58:46.766000-05:00,25.197670103092783,32.507670103092785,100360_9606_705204,20221115_1058_agritech_bfusmalljarmoldy_2_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,71d1fdf7-061c-4e9e-ab73-cf9bc88bbe9a,baseline,moldy
8.0,1.0,11993,87072,29033,44446,217790,19634,133205,68139,190610,83722,100873,33420,12006,76743,5436,1440,59609,29053,106127,251919,173558,21554,341834,6605,27803,258895,38350,38743,210610,30670,405339,240076,2022-11-15T10:58:47.766000-05:00,25.192647362978285,32.5,100360_9606_705204,20221115_1058_agritech_bfusmalljarmoldy_2_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,71d1fdf7-061c-4e9e-ab73-cf9bc88bbe9a,baseline,moldy
9.0,1.0,11991,87051,29043,44450,217789,19638,133233,68139,190632,83733,100826,33400,12009,76680,5436,1441,59631,29053,106120,251831,173308,21551,341645,6605,27810,258785,38350,38727,210588,30662,405297,239952,2022-11-15T10:58:48.766000-05:00,25.1970206185567,32.5,100360_9606_705204,20221115_1058_agritech_bfusmalljarmoldy_2_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,71d1fdf7-061c-4e9e-ab73-cf9bc88bbe9a,baseline,moldy
