seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state,label
0.0,1.0,12058,89110,29153,45231,218652,19742,133818,68060,190873,84987,104081,33599,12059,77320,5479,1446,59897,29171,106374,251293,174207,21620,343258,6676,28194,260608,39565,40230,218442,31648,405566,240361,2022-11-15T11:25:29.116000-05:00,25.24,32.38,100360_9606_705204,20221115_1125_agritech_bfusmalljarmoldy_5_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,ae484f73-177e-4443-b734-81bfad50121d,baseline,moldy
1.0,1.0,12058,89138,29152,45228,218587,19754,133811,68068,190958,85000,104041,33575,12054,77318,5475,1445,59875,29175,106553,251473,174375,21616,343333,6670,28172,260650,39561,40219,218451,31644,405729,240346,2022-11-15T11:25:30.116000-05:00,25.25957731958763,32.36042268041237,100360_9606_705204,20221115_1125_agritech_bfusmalljarmoldy_5_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,ae484f73-177e-4443-b734-81bfad50121d,baseline,moldy
2.0,1.0,12058,89114,29150,45231,218633,19744,133812,68090,190905,84952,104024,33544,12052,77398,5476,1446,59836,29174,106669,251460,174298,21614,343472,6667,28166,260483,39563,40208,218510,31641,405516,240414,2022-11-15T11:25:31.116000-05:00,25.25,32.3670385818561,100360_9606_705204,20221115_1125_agritech_bfusmalljarmoldy_5_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,ae484f73-177e-4443-b734-81bfad50121d,baseline,moldy
3.0,1.0,12059,89128,29169,45185,218686,19750,133748,68022,190928,84942,104033,33544,12058,77342,5473,1446,59864,29168,106523,251487,174428,21610,343604,6671,28164,260525,39571,40209,218437,31632,405449,240374,2022-11-15T11:25:32.116000-05:00,25.25,32.33,100360_9606_705204,20221115_1125_agritech_bfusmalljarmoldy_5_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,ae484f73-177e-4443-b734-81bfad50121d,baseline,moldy
4.0,1.0,12059,89132,29159,45194,218500,19741,133695,68028,190939,84953,104021,33504,12058,77314,5473,1443,59901,29168,106915,251361,174422,21612,343657,6669,28167,260638,39564,40182,218556,31654,405415,240367,2022-11-15T11:25:33.116000-05:00,25.248525773195876,32.33,100360_9606_705204,20221115_1125_agritech_bfusmalljarmoldy_5_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,ae484f73-177e-4443-b734-81bfad50121d,baseline,moldy
5.0,1.0,12061,89152,29159,45198,218461,19746,133516,68016,190911,84930,104030,33478,12058,77359,5473,1447,59905,29181,106208,251455,174548,21605,343684,6666,28170,260535,39544,40188,218535,31634,405451,240349,2022-11-15T11:25:34.116000-05:00,25.23643298969072,32.32643298969072,100360_9606_705204,20221115_1125_agritech_bfusmalljarmoldy_5_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,ae484f73-177e-4443-b734-81bfad50121d,baseline,moldy
6.0,1.0,12062,89122,29172,45185,218430,19746,133752,68037,190942,84936,104022,33461,12056,77297,5471,1446,59875,29173,106343,251477,174469,21609,343331,6666,28178,260520,39549,40169,218517,31613,405448,240391,2022-11-15T11:25:35.116000-05:00,25.22,32.307892004153686,100360_9606_705204,20221115_1125_agritech_bfusmalljarmoldy_5_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,ae484f73-177e-4443-b734-81bfad50121d,baseline,moldy
7.0,1.0,12056,89123,29166,45159,218484,19748,133817,68016,190951,84944,104004,33430,12056,77320,5471,1444,59859,29171,106502,251599,174369,21613,343393,6664,28159,260546,39551,40163,218502,31588,405677,240275,2022-11-15T11:25:36.116000-05:00,25.224943357363543,32.297528321318225,100360_9606_705204,20221115_1125_agritech_bfusmalljarmoldy_5_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,ae484f73-177e-4443-b734-81bfad50121d,baseline,moldy
8.0,1.0,12057,89084,29138,45137,218495,19749,133764,68029,190956,84943,103987,33407,12056,77411,5471,1449,59882,29172,106483,251539,174278,21615,343464,6661,28155,260571,39538,40165,218482,31577,405575,240357,2022-11-15T11:25:37.116000-05:00,25.245557851239667,32.29,100360_9606_705204,20221115_1125_agritech_bfusmalljarmoldy_5_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,ae484f73-177e-4443-b734-81bfad50121d,baseline,moldy
9.0,1.0,12057,89121,29165,45145,218541,19755,133756,68027,190937,84956,104014,33397,12057,77359,5469,1448,59889,29163,106556,251512,174218,21616,343644,6662,28151,260559,39534,40156,218332,31569,405762,240465,2022-11-15T11:25:38.116000-05:00,25.244484536082474,32.28379381443299,100360_9606_705204,20221115_1125_agritech_bfusmalljarmoldy_5_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,ae484f73-177e-4443-b734-81bfad50121d,baseline,moldy
