seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state,label
0.0,1.0,12128,91640,29124,48432,219357,19864,133546,68417,191508,86541,107521,48054,12127,78006,5640,1447,60108,29365,106656,252105,175205,21717,346507,7069,28668,263029,40868,44284,226105,34465,407749,240894,2022-11-15T11:50:42.687000-05:00,25.08,36.32,100360_9606_705204,20221115_1150_agritech_bfusmalljarmoldy_7_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,c5d47bcd-6f32-4e03-af04-941b6fc8f2d7,baseline,moldy
1.0,1.0,12129,91661,29144,48419,219240,19873,133640,68404,191532,86524,107452,47930,12127,77942,5643,1449,60091,29368,106047,252105,175272,21706,346549,7066,28650,263107,40872,44263,225996,34449,408277,240753,2022-11-15T11:50:43.687000-05:00,25.07,36.28938016528925,100360_9606_705204,20221115_1150_agritech_bfusmalljarmoldy_7_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,c5d47bcd-6f32-4e03-af04-941b6fc8f2d7,baseline,moldy
2.0,1.0,12130,91634,29128,48467,219359,19879,133550,68442,191500,86539,107387,47799,12124,78016,5636,1448,60068,29351,106483,251989,175370,21711,346785,7059,28659,262993,40851,44234,225764,34422,408012,240779,2022-11-15T11:50:44.687000-05:00,25.06936082474227,36.26808247422681,100360_9606_705204,20221115_1150_agritech_bfusmalljarmoldy_7_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,c5d47bcd-6f32-4e03-af04-941b6fc8f2d7,baseline,moldy
3.0,1.0,12127,91637,29116,48374,219239,19873,133621,68393,191538,86516,107424,47708,12126,78000,5636,1446,60033,29361,106756,251977,175297,21707,346765,7052,28665,263078,40854,44190,225931,34389,408160,240896,2022-11-15T11:50:45.687000-05:00,25.060954356846473,36.24,100360_9606_705204,20221115_1150_agritech_bfusmalljarmoldy_7_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,c5d47bcd-6f32-4e03-af04-941b6fc8f2d7,baseline,moldy
4.0,1.0,12129,91611,29144,48314,219301,19880,133514,68360,191499,86515,107408,47594,12124,77999,5635,1446,60081,29357,106477,252066,175393,21725,346668,7044,28664,263173,40855,44150,225806,34347,408491,240777,2022-11-15T11:50:46.687000-05:00,25.06735810113519,36.23339525283798,100360_9606_705204,20221115_1150_agritech_bfusmalljarmoldy_7_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,c5d47bcd-6f32-4e03-af04-941b6fc8f2d7,baseline,moldy
5.0,1.0,12125,91627,29139,48249,219246,19875,133567,68354,191493,86495,107400,47469,12124,78005,5633,1447,60034,29367,106635,252053,175559,21723,346853,7038,28656,263201,40849,44121,225891,34305,408350,240693,2022-11-15T11:50:47.687000-05:00,25.053278350515466,36.19,100360_9606_705204,20221115_1150_agritech_bfusmalljarmoldy_7_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,c5d47bcd-6f32-4e03-af04-941b6fc8f2d7,baseline,moldy
6.0,1.0,12127,91629,29122,48234,219236,19885,133630,68391,191455,86496,107388,47411,12124,77974,5632,1447,60057,29362,106581,252114,175357,21718,346702,7033,28637,263051,40850,44106,225703,34268,408084,240773,2022-11-15T11:50:48.687000-05:00,25.064148606811145,36.18804953560371,100360_9606_705204,20221115_1150_agritech_bfusmalljarmoldy_7_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,c5d47bcd-6f32-4e03-af04-941b6fc8f2d7,baseline,moldy
7.0,1.0,12126,91610,29123,48177,219207,19877,133761,68405,191466,86469,107388,47336,12127,77927,5627,1448,60106,29366,106475,251958,175451,21723,346690,7023,28644,262928,40839,44087,225870,34268,408209,240696,2022-11-15T11:50:49.687000-05:00,25.042272727272728,36.17545454545454,100360_9606_705204,20221115_1150_agritech_bfusmalljarmoldy_7_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,c5d47bcd-6f32-4e03-af04-941b6fc8f2d7,baseline,moldy
8.0,1.0,12129,91600,29118,48184,219264,19874,133722,68377,191416,86456,107418,47241,12128,77985,5625,1448,60117,29365,106272,252106,175444,21719,346805,7018,28642,263024,40837,44067,225951,34248,408090,240893,2022-11-15T11:50:50.687000-05:00,25.05,36.15220618556701,100360_9606_705204,20221115_1150_agritech_bfusmalljarmoldy_7_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,c5d47bcd-6f32-4e03-af04-941b6fc8f2d7,baseline,moldy
9.0,1.0,12131,91607,29118,48166,219340,19873,133645,68394,191452,86457,107424,47177,12128,77946,5622,1447,60081,29365,106240,252166,175551,21716,346891,7014,28642,262970,40842,44057,225951,34226,408149,240917,2022-11-15T11:50:51.687000-05:00,25.052922279792746,36.13292227979275,100360_9606_705204,20221115_1150_agritech_bfusmalljarmoldy_7_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,c5d47bcd-6f32-4e03-af04-941b6fc8f2d7,baseline,moldy
