seconds,frequency,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,timestamp_ms,temperature,humidity,sensor_module_id,run_name,trial_id,dataset,session_id,trial_state,label
0.0,1.0,12194,93134,29224,48617,219844,19990,134040,68504,191916,86987,110195,52131,12175,78545,5651,1452,60106,29448,106102,252291,175660,21738,349086,7122,28771,263756,41668,46608,231711,35199,407790,241289,2022-11-15T12:27:16.651000-05:00,24.93,36.34,100360_9606_705204,20221115_1227_agritech_bfusmalljarmoldy_10_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,d18cce7d-0f72-4f8c-8e0b-ebf215c91748,baseline,moldy
1.0,1.0,12196,93117,29222,48617,219876,19987,134004,68438,191974,86977,110198,52090,12176,78660,5650,1450,60072,29463,106189,252340,175994,21738,349088,7126,28761,263676,41647,46611,231855,35191,408121,241040,2022-11-15T12:27:17.651000-05:00,24.910854166666667,36.34,100360_9606_705204,20221115_1227_agritech_bfusmalljarmoldy_10_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,d18cce7d-0f72-4f8c-8e0b-ebf215c91748,baseline,moldy
2.0,1.0,12192,93144,29230,48613,219824,19986,133959,68452,191962,86969,110226,52076,12175,78568,5651,1450,60087,29456,106376,252352,175899,21746,349535,7120,28776,263578,41634,46601,231679,35158,408126,241189,2022-11-15T12:27:18.651000-05:00,24.928328173374613,36.33916408668731,100360_9606_705204,20221115_1227_agritech_bfusmalljarmoldy_10_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,d18cce7d-0f72-4f8c-8e0b-ebf215c91748,baseline,moldy
3.0,1.0,12198,93103,29233,48599,219870,19982,134068,68473,192020,86961,110177,52093,12177,78609,5651,1450,60095,29453,105956,252378,175958,21744,349568,7118,28765,263577,41643,46605,231708,35146,408062,240975,2022-11-15T12:27:19.651000-05:00,24.91,36.32768833849329,100360_9606_705204,20221115_1227_agritech_bfusmalljarmoldy_10_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,d18cce7d-0f72-4f8c-8e0b-ebf215c91748,baseline,moldy
4.0,1.0,12193,93119,29226,48569,219914,19990,133789,68473,191966,86975,110220,52069,12177,78519,5647,1450,60079,29452,105925,252378,175834,21739,349796,7119,28768,263719,41640,46585,231942,35145,407838,241053,2022-11-15T12:27:20.651000-05:00,24.90704850361197,36.31147574819401,100360_9606_705204,20221115_1227_agritech_bfusmalljarmoldy_10_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,d18cce7d-0f72-4f8c-8e0b-ebf215c91748,baseline,moldy
5.0,1.0,12191,93113,29212,48564,219843,19994,133765,68503,192008,86955,110221,52049,12176,78572,5650,1451,60074,29452,106101,252316,176007,21744,349596,7118,28778,263752,41643,46565,231876,35165,408139,241088,2022-11-15T12:27:21.651000-05:00,24.891797520661157,36.318202479338844,100360_9606_705204,20221115_1227_agritech_bfusmalljarmoldy_10_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,d18cce7d-0f72-4f8c-8e0b-ebf215c91748,baseline,moldy
6.0,1.0,12195,93130,29208,48546,219795,19987,133822,68493,191991,86982,110229,52026,12172,78576,5650,1452,60066,29457,106070,252253,176031,21737,349447,7117,28783,263714,41647,46582,231797,35160,408098,241161,2022-11-15T12:27:22.651000-05:00,24.9,36.30787409700722,100360_9606_705204,20221115_1227_agritech_bfusmalljarmoldy_10_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,d18cce7d-0f72-4f8c-8e0b-ebf215c91748,baseline,moldy
7.0,1.0,12195,93104,29217,48580,219793,19987,133860,68463,192001,86984,110243,52005,12172,78554,5650,1450,60080,29459,106142,252297,175955,21732,349515,7115,28769,263702,41648,46562,231750,35128,407816,241256,2022-11-15T12:27:23.651000-05:00,24.907398543184183,36.304932362122784,100360_9606_705204,20221115_1227_agritech_bfusmalljarmoldy_10_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,d18cce7d-0f72-4f8c-8e0b-ebf215c91748,baseline,moldy
8.0,1.0,12198,93112,29240,48572,219806,19988,133904,68499,191983,86954,110210,52000,12175,78546,5645,1452,60074,29454,106018,252285,176012,21736,349449,7111,28769,263607,41639,46567,231781,35153,407861,241160,2022-11-15T12:27:24.651000-05:00,24.924303405572754,36.311455108359134,100360_9606_705204,20221115_1227_agritech_bfusmalljarmoldy_10_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,d18cce7d-0f72-4f8c-8e0b-ebf215c91748,baseline,moldy
9.0,1.0,12198,93094,29237,48548,219699,19990,133872,68462,192001,86952,110205,51986,12173,78534,5646,1450,60100,29457,106052,252270,175990,21728,349408,7110,28766,263638,41640,46559,231823,35169,407750,241097,2022-11-15T12:27:25.651000-05:00,24.906828512396693,36.29,100360_9606_705204,20221115_1227_agritech_bfusmalljarmoldy_10_1trials,1,IAF-AGRITECH-BFUSMALLJARMOLDY,d18cce7d-0f72-4f8c-8e0b-ebf215c91748,baseline,moldy
